ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Raccordé_au_gaz_de_ville,Nombre_de_façades,Date_de_validité_PEB,Permis_de_bâtir_obtenu,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Disponibilité_du_bien,Meublé,Étage_de_lappartement,Parlophone,Chauffage_au_sol,Largeur_de_la_façade,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Niveau_E,Niveau_K,Permis_durbanisation_accordé,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Nombre_de_place_de_parking_intérieur,Orientation_de_la_terrasse,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,Panneaux_solaires,Surface_du_jardin,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Emission_de_CO2,Surface_salle_à_manger,Porte_daccès_sécurisée,Conso_annuelle_totale_dénergie_primaire,Surface_des_caves,Type_de_cuisine,Compteur_électrique_individuel,Compteur_deau_individuel,Attestation__Asbuilt,Espace_ouvert_sensible_à_leau__WORG,Surface_de_lades_salles_de_bain,Nombre_de_douches,Surface_du_grenier,Compteur_Bihoraire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Appartement_de_service,Attestation__Citernes_à_mazout,Surface_de_la_véranda,Surface_du_garage,Surface_totale,Porte_de_garage_motorisée,Adoucisseur_deau,Maison_basse_énergie,Pompe_à_chaleur,Compteur_de_gaz_individuel,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_du_dressing,Surface_du_bureau,Clef_électronique,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Panneaux_solaires_thermiques
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt64587,RBT64587,Appartement à vendre,249900,,8380 Zeebrugge,Excellent,Non,2,95 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,95 m²,Oui,Non,257 kWh/m²/an,20240911-0003368143-RES-1,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1970,,1,,,,Oui,,,,,,Oui,,,4,,,,,,,4,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/dudzele/rbt63030,RBT63030,Maison à vendre,299000,Admiraal Keyesplein 13,8380 Dudzele,,Non,3,134 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,,,Non,0 kWh/m²/an,20250225 0003539,,"Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,1919,,1,1,Non specifié,Double vitrage,,2,,,Non,Non,Non,Non,,,100 m²,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt47421,RBT47421,Appartement à vendre,220000,Baron de Maerelaan 14 31,8380 Zeebrugge,À rénover,Non,2,73 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,,Oui,,100 kWh/m²/an,3550924,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,2004,,1,1,,Double vitrage,Oui,2,,Oui,,,Oui,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt44723,RBT44723,Maison à vendre,399000,Sint-Donaasstraat 34,8380 Zeebrugge,,Non,3,247 m²,Non,Oui,Non,Non,Non,Oui,Non,Oui,1,,Oui,Sud,Oui,271 m²,,Oui,,349 kWh/m²/an,20210728-0002445811-RES-1,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,1969,Equipée,1,3,Gaz,Double vitrage,Oui,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt41460,RBT41460,Appartement à vendre,149800,Vissersstraat 37 0101,8380 Zeebrugge,Excellent,Non,1,65 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,,Oui,Non,65 kWh/m²/an,35441442,"oui, attestation conforme","Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,2012,Equipée,1,,Gaz,Double vitrage,Oui,,,,,,Oui,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt39097,RBT39097,Maison à vendre,584020,Scharphoutstraat 69,8380 Zeebrugge,,,4,189 m²,,,,,,,,Oui,1,2,,,,598 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2025,Equipée,1,2,Non specifié,,,4,,Non,Non,Non,Non,Non,Sud-est,1,,Non,Non,Non,,,,,Oui,8 m,40 m,15 m,30,0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt35200,RBT35200,Appartement à vendre,225000,Tijdokstraat 5 301,8380 Zeebrugge,Excellent,,2,55 m²,,,,,,,,,,,,,Oui,,,Oui,,73 kWh/m²/an,3599092,"oui, attestation conforme",Zone industrielle,Information non communiquée,Information non communiquée,2011,Equipée,1,1,Gaz,Double vitrage,Oui,,,,,,Oui,,,5,6 m²,,,,,Oui,3,Oui,,,,,,,,8 m²,8 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt32781,RBT32781,Appartement à vendre,220000,Duinpad 24,8380 Zeebrugge,À rénover,,5,172 m²,Oui,Oui,,,,,,Oui,,,,,Oui,,,Oui,,339 kWh/m²/an,,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1963,,1,1,Mazout,,Oui,3,04/03/2034,,,,,,Sud,2,9 m²,,Non,,,Non,1,,,,,,,,Non,,,,1,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8380/zeebrugge/rbt30435,RBT30435,Maison à vendre,179000,Heiststraat 84,8380 Zeebrugge,,Non,4,116 m²,Non,Non,Non,Non,Non,Non,Non,,,,Oui,,,129 m²,,,Non,549 kWh/m²/an,20191117-0002219077-RES-1,,"Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,1935,,1,,,Double vitrage,,2,,,,Non,Non,Non,,2,,Non,,Non,A l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8380/zeebrugge/rbt29901,RBT29901,Appartement à vendre,259000,Rederskaai 22 402,8380 Zeebrugge,Excellent,Non,1,77 m²,Non,Non,Non,Non,Non,Non,Non,,,,,,Oui,,,Oui,Non,244 kWh/m²/an,20241412-0003297516-REs-1,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2001,Equipée,1,2,,Double vitrage,,2,14/12/2034,,,,Oui,,,5,,,,,,Oui,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
