ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Nombre_de_place_de_parking_intérieur,Type_de_chauffage,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,Nombre_de_douches,Type_de_vitrage,Air_conditionné,Raccordé_à_leau_courante,Piscine_extérieure,Disponibilité_du_bien,Permis_de_bâtir_obtenu,Surface_de_la_terrasse,Nombre_de_places_de_parking_extérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Possibilités_pour_profession_libérale,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Surface_de_lades_salles_de_bain,Parlophone,Étage_de_lappartement,Feu_ouvert,Surface_salle_à_manger,Surface_des_caves,Surface_du_grenier,Alarme_antieffraction,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Surface_du_dressing,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Surface_chambre_à_coucher_5,Surface_du_garage,Adoucisseur_deau,Orientation_du_jardin,Balcon,Compteur_Bihoraire,Attestation__Installation_électrique__Validité,Citerne_à_eau_de_pluie,Surface_du_bureau,Affectation_urbanistique_la_plus_récente,Maison_basse_énergie,Compteur_deau_individuel,HammamSaunaJacuzzi,Attestation__Asbuilt
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc05373,VBC05373,Appartement à vendre,329000,Rue de la Clef,4650 Herve,,,2,97 m²,,,,,,,,,,,,1,,,,3,,,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,Air pulsé,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc05372,VBC05372,Appartement à vendre,369000,Rue de la Clef,4650 Herve,,,2,97 m²,,,,,,,,,,Oui,,1,,,,3,,,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,Air pulsé,,,,,,,,,,,,,,27 m²,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc05371,VBC05371,Appartement à vendre,415000,Rue de la Clef,4650 Herve,,,2,104 m²,,,,,,,,,,,,1,,,,2,,,Oui,66 m²,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,Air pulsé,,,,,,,,,,,,,,73 m²,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc05370,VBC05370,Appartement à vendre,295000,Rue de la Clef,4650 Herve,,,1,71 m²,,,,,,,,,,,,1,,,,3,,,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,Air pulsé,,,,,,,,,,,,,,32 m²,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4650/herve/vbc05369,VBC05369,Appartement à vendre,375000,Rue de la Clef,4650 Herve,,,2,95 m²,,,,,,,,,,,,1,,,,3,,,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,Air pulsé,,,,,,,,,,,,,,8 m²,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vba00248,VBA00248,Maison à vendre,277700,Rue Ann-Sophie Charlier 37 /M44,4650 Herve,,,3,,Non,,,,,,,,,,,1,,,,2,,,Oui,,Oui,491 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vba00247,VBA00247,Maison à vendre,347900,Rue Ann-Sophie Charlier 37 /M41,4650 Herve,,,3,,Non,,,,,,,,,Oui,,1,,,,3,,,Oui,,Oui,906 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vba00246,VBA00246,Maison à vendre,327000,Rue Ann-Sophie Charlier 37 /M45,4650 Herve,,,3,147 m²,,,,Oui,,,,,,,,1,2,Non,,4,,1,Oui,,Oui,607 m²,,,81 kWh/m²/an,,,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,Nouveau,,,,,,,Triple vitrage,,Oui,Non,,,20 m²,,,,,Non,,,Oui,,,,Oui,,,,,,,,30 m²,,Oui,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4650/herve/vba00244,VBA00244,Maison à vendre,292900,Rue Ann-Sophie Charlier 37 /M43,4650 Herve,,,3,,Non,,,,,,,,,Oui,,1,,,,2,,,Oui,,Oui,419 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4653/bolland/vbc51561,VBC51561,Villa à vendre,565000,"Rue Lescours, 35",4653 Bolland,Non,,5,259 m²,,36 m²,Non,Non,Non,Non,Non,Non,Non,Oui,2,,,,Sud,4,,,Oui,,Oui,2154 m²,,,185 kWh/m²/an,,20240717014766,,45,,Information non communiquée,Information non communiquée,2,Mazout,,,,,,,,,,,,,,50 m²,4,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
