ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Garage,Nombre_de_Garages,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Salle_à_manger,Surface_salle_à_manger,Station_de_charge_électrique,Surface_de_lades_salles_de_bain,Panneaux_solaires,Alarme_antieffraction,Surface_du_jardin,Orientation_de_la_façade_du_bien,Référence_PEB,Bien_actuellement_loué,Équipement_de_la_cuisine,Nombre_de_douches,Piscine_extérieure,Adoucisseur_deau,Parlophone,Surface_chambre_à_coucher_5,Véranda,Possibilités_pour_profession_libérale,Buanderie,Nombre_de_place_de_parking_intérieur,Chauffage_au_sol,Raccordé_au_gaz_de_ville,Niveau_E,Pompe_à_chaleur,Feu_ouvert,Surface_du_bureau,Dressing,Local_vélo,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Air_conditionné,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Surface_du_garage,Affectation_urbanistique_la_plus_récente,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Surface_totale,Compteur_Bihoraire,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_dressing,Porte_de_garage_motorisée,Appartement_de_service,Balcon,Surface_constructible,Citation_pour_infraction_urbanistique,Surface_de_la_véranda,Compteur_électrique_individuel,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Compteur_de_gaz_individuel,Clef_électronique
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt68072,RBT68072,Maison à vendre,520000,Baaskouter 10,1730 Asse,Excellent,1986,A l’acte,3,15 m²,14 m²,10 m²,,252 m²,Non,39 m²,Oui,12 m²,Oui,32 m²,Oui,2,,13 m²,1,2,,Double vitrage,Non,Non,3,7 m,2,2,Oui,,Oui,32 m²,Sud-est,359 m²,,7 m,Oui,,,225 kWh/m²/an,,,,"oui, attestation non conforme",,Oui,Oui,Oui,Information non communiquée,Information non communiquée,,,,7 m²,Oui,,322 m²,,,Non,Super équipée,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,39 m²,,,,,,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt66602,RBT66602,Maison à vendre,374900,Spiegelstraat 22,1730 Asse,Excellent,1930,A l’acte,3,,,,,130 m²,Non,,Oui,,Oui,,,,,,2,3,Gaz,Double vitrage,Non,Non,2,5 m,3,,Oui,,Oui,,Sud-ouest,,,,Oui,Oui,Oui,139 kWh/m²/an,,03/06/2035,,"oui, attestation conforme",,Oui,Non,Oui,Pas de risque d’inondation,Information non communiquée,,,,,Oui,,35 m²,Nord-est,,Non,Super équipée,2,Non,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt37533,RBT37533,Maison à vendre,496100,Kruiskouter 31,1730 Asse,Nouveau,,,3,,,,,184 m²,,,Non,,Oui,,Oui,,,,1,2,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,,,7 m²,,,654 m²,,,Non,,,,,,,Non,,Non,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt64013,RBT64013,Maison à vendre,499000,Bladerenkwartier 1,1730 Asse,,1960,A l’acte,3,17 m²,15 m²,9 m²,,523 m²,Non,20 m²,Oui,100 m²,Oui,85 m²,Oui,1,Kitchenette,9 m²,1,,Mazout,Simple vitrage,Non,Non,4,25 m,,8,Oui,,Oui,40 m²,,2189 m²,,25 m,Oui,Oui,,586 kWh/m²/an,,,,"oui, attestation non conforme",,Oui,Non,Non,Information non communiquée,Information non communiquée,Oui,21 m²,,5 m²,,Oui,1875 m²,,,Non,Semi-équipée,,Non,,,,,,,2,,,,,Oui,,,,,,,,,,,,,20 m²,,,,,,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt46721,RBT46721,Maison à vendre,425000,Huinegem 24,1730 Asse,Excellent,1979,A l’acte,3,8 m²,13 m²,15 m²,,225 m²,Non,59 m²,,,Oui,,Oui,,,15 m²,1,2,Gaz,Double vitrage,,,3,8 m,,,Oui,,Oui,14 m²,,365 m²,,8 m,Oui,Oui,,287 kWh/m²/an,,05/03/2035,,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,,,,,,,59 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1730/asse/rbt44935,RBT44935,Appartement à vendre,179000,Mollestraat 8 45,1730 Asse,Normal,1974,,1,11 m²,,,,58 m²,Non,25 m²,Oui,,,,,,Kitchenette,5 m²,1,1,Gaz,,Oui,Non,4,9 m,7,,,,Oui,15 m²,Sud,,,9 m,Oui,Oui,,257 kWh/m²/an,,17/05/2025,,"oui, attestation non conforme",,Oui,Non,Oui,Information non communiquée,Information non communiquée,,,,4 m²,,,,,,Oui,Semi-équipée,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,2,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt41317,RBT41317,Maison à vendre,329000,Brusselsesteenweg 208,1730 Asse,Normal,,A l’acte,1,25 m²,,,,220 m²,Non,,Oui,9 m²,Oui,30 m²,,,,,,1,Gaz,Double vitrage,Non,Non,2,9 m,1,,Oui,Sud-ouest,Oui,25 m²,Sud-ouest,270 m²,,9 m,Oui,Oui,,,,,,"oui, attestation non conforme",,Oui,Non,Oui,Information non communiquée,Information non communiquée,,,,,,Oui,100 m²,,,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt39906,RBT39906,Maison à vendre,775000,Lierput 14,1730 Asse,,2005,A l’acte,4,20 m²,17 m²,19 m²,9 m²,250 m²,Non,40 m²,Oui,23 m²,,,Oui,2,,12 m²,1,,Gaz,Double vitrage,Non,,4,,,4,Oui,,Oui,40 m²,,940 m²,,,Oui,Oui,Oui,271 kWh/m²/an,,,,"oui, attestation conforme",,Oui,,Oui,Information non communiquée,Information non communiquée,,,,17 m²,Oui,,,,,,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,47 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1730/asse/vbc80040,VBC80040,Villa à vendre,650000,Merchtemsebaan 34,1730 Asse,À rénover,1965,Immédiatement,3,,,,,250 m²,Non,28 m²,Oui,18 m²,Non,,Oui,2,,14 m²,1,2,Mazout,Double vitrage,,,4,15 m,,6,Oui,,Oui,90 m²,,1566 m²,,35 m,Non,Oui,,511 kWh/m²/an,,,,pas d'application,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,Non,,,,Non,,1,Non,,Non,,Oui,,Non,,Non,Non,,,Oui,7 m²,Non,Non,,Non,,,Non,Non,,pas d'application,,,"Zone, info non disponible",,,,,,,,,,,,,,,,,,35 m²,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt38240,RBT38240,Maison à vendre,658000,Winhof 21,1730 Asse,Excellent,2008,A l’acte,4,13 m²,18 m²,10 m²,17 m²,200 m²,Non,39 m²,,,Oui,,,,,17 m²,1,,Gaz,Double vitrage,Non,,3,,,,Oui,,Oui,,,572 m²,,,Oui,Oui,,145 kWh/m²/an,,22/05/2025,,"oui, attestation conforme",,Oui,Oui,Oui,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,,,Oui,Super équipée,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt37536,RBT37536,Maison à vendre,631500,Kruiskouter 31,1730 Asse,Nouveau,,,4,,,,,188 m²,,,Non,,Oui,,,,,,2,2,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,,,,,,1482 m²,,,Non,,,,,,,Non,,Non,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1730/asse/rbt37535,RBT37535,Maison à vendre,556000,Kruiskouter 31,1730 Asse,Nouveau,,,4,,,,,188 m²,,,Non,,Oui,,Oui,,,,2,2,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,,,,,,732 m²,,,Non,,,,,,,Non,,Non,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
