ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_du_séjour,Garage,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Parlophone,Nombre_de_places_de_parking_extérieur,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Niveau_E,Nombre_de_Garages,Orientation_du_jardin,Surface_constructible,Piscine_extérieure,Surface_du_jardin,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Attestation__Asbuilt,Largeur_de_la_façade,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Air_conditionné,Alarme_antieffraction,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Nombre_de_douches,Surface_salle_à_manger,Accessible_aux_moins_valides,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Espace_ouvert_sensible_à_leau__WORG,Balcon,Surface_du_bureau,Surface_du_dressing,Surface_du_garage,Surface_de_lades_salles_de_bain,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Surface_des_caves,Surface_du_grenier,Niveau_K,Porte_daccès_sécurisée,Surface_totale,Porte_de_garage_motorisée,Feu_ouvert,Panneaux_solaires_thermiques,Clef_électronique,Domotique,HammamSaunaJacuzzi,Conso_annuelle_totale_dénergie_primaire
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/vbc66120,VBC66120,Maison à vendre,502130,,2930 Brasschaat,Nouveau,,,,3,162 m²,,,,,,,,,,2,2,,,,3,,,505 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,Oui,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/vbc66119,VBC66119,Maison à vendre,502654,,2930 Brasschaat,Nouveau,,,,3,132 m²,,,,,,,,,,1,2,,,,3,,,776 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,Oui,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2930/brasschaat/rbt15525,RBT15525,Appartement à vendre,375000,Van Hemelrijcklei 1-3,2930 Brasschaat,Nouveau,,2021,A l’acte,3,130 m²,Non,,,,,,,,Super équipée,1,1,Non specifié,Oui,,2,Oui,Oui,,Oui,Oui,,,,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,37 m²,0,4,,Non,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/2930/brasschaat/rbt13973,RBT13973,Villa à vendre,,Bredabaan 25,2930 Brasschaat,,,1973,A l’acte,4,334 m²,,,,,,,,,Equipée,2,2,,Non,Sud-est,4,Oui,,2805 m²,,,294 kWh/m²/an,20220401-0002575444-RES-1,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Double vitrage,,,6,,,,,,,Oui,,,,,,,125 m,Oui,,,,,,,,,,,,Oui,,30 m,,,Non,,,,Non,,,,,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2930/brasschaat/rbt09056,RBT09056,Appartement à vendre,299000,Kapelsesteenweg 336 1002,2930 Brasschaat,Excellent,Non,1976,,2,108 m²,,Non,Non,Non,Non,Non,Oui,Non,Equipée,1,1,Gaz,,,2,Oui,Oui,,Oui,Oui,160 kWh/m²/an,,,"non, pas d'attestation",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,Triple vitrage,,,,,,,2,Est,,Non,,1,2,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt03273,RBT03273,Maison à vendre,395000,Goordijk 7,2930 Brasschaat,À rénover,,1969,,4,175 m²,,,,,,,,,,1,1,,,,3,Oui,,526 m²,Oui,Oui,241 kWh/m²/an,,,"non, pas d'attestation",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,,,,,,,,1,Nord-est,,,,,1,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbt02510,RBT02510,Maison à vendre,349000,De Vroente 46,2930 Brasschaat,Normal,Non,1931,,3,176 m²,,Non,Non,Non,Non,Non,Non,Non,Equipée,2,3,Gaz,,,2,Oui,Oui,170 m²,Oui,Oui,398 kWh/m²/an,,,"non, pas d'attestation",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Oui,,,,,,,Double vitrage,,,,,,,1,Est,,Non,,,1,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/2930/brasschaat/rbs95866,RBS95866,Villa à vendre,1495000,Bredabaan 32,2930 Brasschaat,,,1924,A l’acte,5,400 m²,,Oui,Oui,,Oui,Oui,Oui,,Equipée,4,5,Gaz,Non,,4,Oui,Oui,4309 m²,Oui,Oui,394 kWh/m²/an,,22/05/2034,,Non,,Pas de risque d’inondation,Information non communiquée,42 m²,Oui,4,Américaine,,,,,Double vitrage,,Oui,6,,,,2,,,Oui,,,,20 m²,,,,Oui,Non,18 m²,18 m²,17 m²,12 m²,15 m²,,,,,,Oui,Sud,,,19 m²,,,,Non,,,11 m²,,9 m²,,12 m²,150 m²,41 m²,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2930/brasschaat/rbs81621,RBS81621,Maison à vendre,749000,Zegersdreef 197,2930 Brasschaat,Normal,,1993,,6,231 m²,,,,,,,Oui,,Equipée,2,2,Electrique,,,4,Oui,,3501 m²,,Oui,332 kWh/m²/an,,,"non, pas d'attestation",,Parc résidentiel,Risque moyen,Information non communiquée,,,,,,,,,Double vitrage,,,,,,,,Sud-ouest,,,,,2,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/2930/brasschaat/rbs67709,RBS67709,Villa à vendre,2750000,,2930 Brasschaat,,,1963,A l’acte,5,875 m²,Non,,Oui,,,,,,,4,7,Gaz,Oui,,,Oui,Oui,10995 m²,,,455 kWh/m²/an,20241015-0003386768-RES-2,,"oui, attestation non conforme",,,Information non communiquée,Information non communiquée,140 m²,Oui,,,,,,,,,,8,,,,,,,Oui,,,,,,,200 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
