ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Véranda,Dressing,Buanderie,Local_vélo,Nombre_de_Garages,Orientation_de_la_façade_du_bien,Jardin,Surface_du_jardin,Référence_PEB,Année_de_construction,Surface_du_garage,Équipement_de_la_cuisine,Surface_de_lades_salles_de_bain,Largeur_de_la_façade,Orientation_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Nombre_de_places_de_parking_extérieur,Surface_des_caves,Surface_du_grenier,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Surface_constructible,Étage_de_lappartement,Panneaux_solaires,Parlophone,Possibilités_pour_profession_libérale,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Orientation_du_jardin,Espace_ouvert_sensible_à_leau__WORG,Surface_du_bureau,Balcon,Surface_du_dressing,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Niveau_S,Surface_de_la_véranda
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6511/stree/vbc89216,VBC89216,Immeuble mixte à vendre,197500,Chaussée de charleroi 146 & 146/1,6511 Strée,Normal,,A l’acte,3,10 m²,8 m²,22 m²,,241 m²,,,,,,,Oui,,,,1,,2,,,,,3,1,Oui,87 m²,874 m²,,,,,462 kWh/m²/an,88589 kWh/an,06/07/2027,116,,,Information non communiquée,Information non communiquée,,,,,,,Oui,662 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8520/kuurne/rbt68979,RBT68979,Maison à vendre,110000,Kattestraat 14,8520 Kuurne,À rénover,,,3,,,,,120 m²,,,Non,Oui,,,,,,,1,,,Gaz,Simple vitrage,Non,Non,,,,,122 m²,,,,,639 kWh/m²/an,,,,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,20230817-0002966297-RES-1,,,,3 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5190/moustier-sur-sambre/vbc89196,VBC89196,Maison à vendre,335500,,5190 Moustier-Sur-Sambre,,,,3,,,,,212 m²,,,,,,,Oui,,,,1,,2,Air pulsé,Double vitrage,,,2,,Oui,14 m²,159 m²,,,Oui,,84 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,,Oui,,1,,Oui,71 m²,,,,Super équipée,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68851,RBT68851,Appartement à vendre,349500,Kluizendorpstraat 58 102,9940 Kluizen,Nouveau,Non,,2,,,,,88 m²,Non,,Non,Non,Non,,,,,,1,,1,Electrique,,Oui,,2,,Oui,21 m²,,,Oui,Oui,,,,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,,Sud-est,,,,2024,,,,,,,,,,,,,,,,1,,,,,,,,Oui,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68850,RBT68850,Appartement à vendre,385500,Kluizendorpstraat 58 201,9940 Kluizen,Nouveau,Non,,3,,,,,137 m²,Non,,Non,Non,Non,,,,,,1,,1,Electrique,,Oui,,2,3,Oui,6 m²,,,Oui,Oui,,,,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,,Sud-est,,,,2024,,,,,,,,,,,,,,,,2,,,,,,,,Oui,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9940/kluizen/rbt68849,RBT68849,Appartement à vendre,367500,Kluizendorpstraat 58 101,9940 Kluizen,Nouveau,Non,,2,,,,,99 m²,Non,,Non,Non,Non,,,,,,1,,1,Electrique,,Oui,,2,,Oui,21 m²,,,Oui,Oui,,,,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,,Sud-est,,,,2024,,,,,,,,,,,,,,,,1,,,,,,,,Oui,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9550/herzele/rbt68841,RBT68841,Maison à vendre,438000,Eikestraat 61,9550 Herzele,Normal,Non,Immédiatement,3,11 m²,13 m²,15 m²,,252 m²,Non,45 m²,Non,Oui,Non,,Oui,1,,14 m²,1,,2,,Double vitrage,Non,Non,,,Oui,40 m²,,,Oui,Oui,Non,297 kWh/m²/an,,,,,Non,Information non communiquée,Information non communiquée,Non,Non,Non,Non,,,Oui,1400 m²,20250522-0003584528-RES-2,,,,6 m²,,,,,,,1,,,,,1589 m²,,,,,,,Non,Non,,,Non,Non,Non,,Non,Non,,,,Non,,,,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,Non,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8930/menen/rbt68826,RBT68826,Maison à vendre,99000,,8930 Menen,,,A l’acte,3,,,,,94 m²,,,,,,,,,,,1,,,Gaz,Simple vitrage,Non,Non,2,3,,,75 m²,,,,,757 kWh/m²/an,,,,,Oui,Pas de risque d’inondation,Information non communiquée,,,,,,,Oui,,20250611-0003622656-RES-1,1930,,Non équipée,,4 m,,,4 m,,,,,,,,,,,,,,,,,,,Non,,Non,,,,,,,Non,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8511/aalbeke/rbt68813,RBT68813,Maison à vendre,295000,Bijstert 4,8511 Aalbeke,,Non,A l’acte,3,,,,,196 m²,,,Non,Oui,Non,,Oui,,,,1,,2,,,Non,Non,2,2,Oui,,367 m²,,,,,369 kWh/m²/an,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,1,,Oui,,20220518-0002605988-RES-1,1971,,,,10 m,,37 m,10 m,Oui,Oui,1,,,,,,,,,,,,,,,,,,Non,,,,,,,Non,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8820/torhout/rbt68819,RBT68819,Maison à vendre,179000,Guldensporenlaan 1,8820 Torhout,,Non,A l’acte,3,,,,,,,,Non,Non,Non,,Oui,,,,1,,1,,,Non,Non,3,2,,,324 m²,,,,Non,952 kWh/m²/an,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,1,Nord-est,,,20241030-0003430815-RES-1,1931,,,,14 m,,23 m,20 m,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,Non,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,
