ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Garage,Équipement_de_la_cuisine,Nombre_de_façades,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Véranda,Nombre_de_salles_de_bain,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Largeur_de_la_façade,Surface_constructible,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_Garages,Type_de_vitrage,Panneaux_solaires,Pompe_à_chaleur,Air_conditionné,Alarme_antieffraction,Orientation_de_la_façade_du_bien,Parlophone,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Étage_de_lappartement,Nombre_de_places_de_parking_extérieur,Permis_de_bâtir_obtenu,Largeur_du_terrain_à_rue,Bien_actuellement_loué,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_toilettes,Raccordé_à_leau_courante,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Emission_de_CO2,Surface_du_garage,Conso_annuelle_totale_dénergie_primaire,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Chauffage_au_sol,Compteur_Bihoraire,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Niveau_S,Surface_du_séjour,Surface_du_bureau,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_des_caves,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Profondeur_du_terrain,Surface_du_grenier,Possibilités_pour_profession_libérale,Surface_totale,Porte_de_garage_motorisée,Domotique,Porte_daccès_sécurisée,Niveau_K,Nombre_de_douches,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Piscine_extérieure,Surface_salle_à_manger,Orientation_de_la_terrasse,Feu_ouvert,Balcon,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Station_de_charge_électrique,Adoucisseur_deau,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Attestation__Installation_électrique__Validité,Panneaux_solaires_thermiques,Appartement_de_service,Surface_du_dressing,Surface_de_la_véranda,Niveau_E,Attestation__Citernes_à_mazout__Validité,Clef_électronique
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc59783,VBC59783,Maison à vendre,279000,Rue du Centre 97,4050 Chaudfontaine,À rénover,,A l’acte,3,135 m²,Non,,Oui,Oui,,3,Oui,150 m²,Oui,383 m²,525 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,1,Mazout,Non,Non,,,,,"oui, attestation conforme",,,1,,,,,,,,2,,,,,,,,,,,1,,,,130,,75321 kWh/an,,Indépendante,,,,,,,,,,15 m²,15 m²,30 m²,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc56381,VBC56381,Maison à vendre,200000,Avenue des Thermes 122,4050 Chaudfontaine,Normal,,A l’acte,4,193 m²,Non,,,Oui,Equipée,3,Oui,,Oui,1407 m²,339 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,1,Gaz,,Non,,,,20/02/2025,,,,1,Double vitrage,,,,,,,,,,,,,Non,Oui,,,,2,,,,62,,65379 kWh/an,,Américaine,,,,,,,,17 m²,,17 m²,17 m²,17 m²,,16 m²,,,,,,,,,,,,17 m²,,,13 m²,,,,,,,Oui,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc53918,VBC53918,Maison à vendre,435000,Avenue des Thermes 15,4050 Chaudfontaine,Excellent,1932,A l’acte,4,223 m²,Non,Oui,Oui,,Super équipée,3,Oui,,Oui,323 m²,159 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,1,Gaz,,,7 m,,,26/03/2035,"oui, attestation conforme",,,,,,,,,,,2,,,,,7 m,,,,,,,Oui,,,,,41045 kWh/an,,,,,,Non,Oui,,,37 m²,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,06/10/2024,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc49749,VBC49749,Maison à vendre,169000,Rue Fond des Cris 16,4050 Chaudfontaine,À restaurer,1967,A l’acte,5,236 m²,Non,Oui,Oui,Oui,,4,Oui,,Oui,3286 m²,702 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,1,Electrique,,,12 m,,,10/03/2035,"non, pas d'attestation",,,2,,,,,,,,2,,,,,12 m,,,,,,,Oui,,,,,233488 kWh/an,,,,,,Non,,,,41 m²,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc44122,VBC44122,Maison à vendre,220000,Rue Namont 56,4050 Chaudfontaine,Excellent,,,1,116 m²,Non,Non,Non,,Super équipée,2,Oui,,Oui,140 m²,294 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,1,Gaz,Non,,8 m,48 m²,20250220009603,20/02/2035,"oui, attestation non conforme",,,,,,,,,,,,20 m²,,,,,Non,Non,Non,Non,Non,1,,,,56,,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4050/chaudfontaine/vbc13857,VBC13857,Appartement à vendre,139000,Rue des Belles Fontaines 24 11,4050 Chaudfontaine,Remis à neuf,,A l’acte,2,75 m²,Non,Oui,,,Semi-équipée,4,,,,,302 kWh/m²/an,,,,,,Risque moyen,Information non communiquée,,1,,Non,Non,,,,,"oui, attestation conforme",,,,Double vitrage,,,,,,Oui,,,,,,,,,,,,1,Oui,,,,,22650 kWh/an,,Kitchenette,,,,Oui,,,,18 m²,,15 m²,12 m²,,,10 m²,,,,,,,,,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vbc09914,VBC09914,Maison à vendre,230000,,4050 Chaudfontaine,Normal,,,3,,,,,Oui,,3,Oui,,,,335 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,1,,,,,,,06/12/2034,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,40629 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4050/chaudfontaine/vba34597,VBA34597,Maison à vendre,890000,Rue Fond des Cris 1,4050 Chaudfontaine,,,,3,176 m²,,,,Oui,,4,,,Oui,11677 m²,585 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,,Non specifié,,,,,20231019009073,,,,,1,,,,,,Sud,,,50 m²,,4,,,,,,,,,,,,110,,102812 kWh/an,1,,,,,,,,,52 m²,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4050/chaudfontaine/vbc28241,VBC28241,Appartement à vendre,260000,Avenue des Thermes 67,4050 Chaudfontaine,Normal,,,2,136 m²,Non,Non,Non,Oui,Super équipée,2,,,Oui,,125 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,1,Gaz,Oui,,,,20240903009042,03/09/2034,"oui, attestation conforme",,,1,,,,,,Nord-est,,3,6 m²,3,,,,Non,Non,Non,Non,Non,2,,,,23,,,,,,,,,,,,55 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/4050/chaudfontaine/vaz29749,VAZ29749,Bungalow à vendre,299000,de la Corniche 18,4050 Chaudfontaine,À rénover,1965,,3,116 m²,Non,Non,Non,Oui,Semi-équipée,4,,,Oui,1206 m²,558 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,1,Mazout,Non,,,116 m²,,,pas d'application,,,1,,,,,,Sud,,,30 m²,,,,,Non,Non,Non,Non,Non,1,,,,,,,,,,,,,,,,37 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
