ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Garage,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Jardin,Terrasse_aménagée,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Dressing,Buanderie,Nombre_de_Garages,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Maison_basse_énergie,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_deau_individuel,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Nombre_détages_de_limmeuble,Raccordé_aux_égouts,Raccordé_à_leau_courante,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Disponibilité_du_bien,Surface_chambre_à_coucher_4,Type_de_cuisine,Nombre_de_douches,Ascenseur,Accessible_aux_moins_valides,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Piscine_extérieure,Date_de_validité_PEB,Meublé,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Véranda,Local_vélo,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Surface_du_bureau,Nombre_de_place_de_parking_intérieur,Adoucisseur_deau,Étage_de_lappartement,Balcon,Surface_du_garage,Orientation_du_jardin,Surface_des_caves,Surface_du_grenier,Surface_de_lades_salles_de_bain,Attestation__Installation_électrique__Validité,Clef_électronique,Orientation_de_la_terrasse,Possibilités_pour_profession_libérale,Surface_totale,Pompe_à_chaleur,Compteur_Bihoraire,Niveau_S,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Surface_du_dressing,Niveau_E,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Appartement_de_service,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Niveau_K,Porte_de_garage_motorisée,Affectation_urbanistique_la_plus_récente,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Surface_de_la_véranda
https://immovlan.be/fr/detail/maison/a-vendre/5190/moustier-sur-sambre/vbc78966,VBC78966,Maison à vendre,249000,Rue de jemeppe 39,5190 Moustier-Sur-Sambre,,1920,5,208 m²,Oui,Mazout,Double vitrage,3,Oui,Oui,418 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Normal,15 m²,22 m²,16 m²,,Oui,Oui,Oui,23 m²,,,1,Equipée,9 m²,1,1,,Oui,,,,,,,,,,,4,Oui,,,"oui, attestation conforme",,,,,,A l’acte,16 m²,Américaine,1,Non,Non,,,Non,,Non,,10 m,28 m²,1567 m²,74 m,10 m,,,3,1387 m²,15 m²,,,,,,,36 m²,46 m²,5 m²,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1060/saint-gilles/vbc70285,VBC70285,Appartement à vendre,290000,Chaussée de Waterloo 222,1060 Saint-Gilles,Non,,4,175 m²,,Gaz,,2,,Oui,964 kWh/m²/an,,20240813-0000687542-01-3,Information non communiquée,Information non communiquée,À rénover,14 m²,14 m²,13 m²,45 m²,Non,Oui,Oui,,Oui,Non,,Non équipée,11 m²,1,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,3,Oui,Oui,194,"oui, attestation non conforme",pas d'application,,,Non,Non,Immédiatement,10 m²,,,,,,,Non,,,,,3 m²,,,,Non,Non,,,,,,2,,,,,33 m²,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/4102/ougree/vbc60776,VBC60776,Studio à vendre,56500,Rue de l'Enseignement 101 1,4102 Ougrée,,,1,32 m²,,Electrique,Double vitrage,,,,920 kWh/m²/an,340026 kWh/an,20250319027738,Pas de risque d’inondation,Information non communiquée,À rénover,,,,,Non,Non,,,,,,,,1,,,,,,,,,,,,,,1,,,,pas d'application,,,Non,,,,,,,Non,Non,,,,19/03/2035,,,,,,,,Non,,,,,,,1,,,,,,2 m²,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/4102/ougree/vbc60777,VBC60777,Studio à vendre,56500,Rue de l'Enseignement 101 2,4102 Ougrée,,,1,28 m²,,Electrique,Double vitrage,,,,770 kWh/m²/an,23567 kWh/an,20250319027216,Pas de risque d’inondation,Information non communiquée,À rénover,,,,,Non,Non,,,,,,,,1,,,,,,,,,,,,,,1,,,,pas d'application,,,Non,,,,,,,Non,Non,,,,19/03/2035,,,,,,,,Non,,,,,,,1,,,,,,3 m²,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/2240/zandhoven/rbt73312,RBT73312,Villa à vendre,995000,Mussenbaan 10,2240 Zandhoven,Non,1972,5,388 m²,Oui,Mazout,,,,Oui,393 kWh/m²/an,,20250606-0003619639,Information non communiquée,Information non communiquée,Normal,,,,,Non,,Non,,Non,Non,2,,,2,3,,,,,,,,,,,,,,,Oui,,"oui, attestation non conforme",,,,Non,,A l’acte,,,,Non,,,,,,Non,Sud,,,57564 m²,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone naturelle,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4100/seraing/vbc92115,VBC92115,Maison à vendre,185000,,4100 Seraing,,,3,144 m²,,Mazout,,2,Oui,Oui,399 kWh/m²/an,57298 kWh/an,,Information non communiquée,Inondable délimitée,À rénover,15 m²,15 m²,5 m²,13 m²,,,Oui,16 m²,,,,Semi-équipée,8 m²,1,1,,,,,,,,Oui,,,,,,Oui,Oui,,,,Non,Non,Non,,A l’acte,,Kitchenette,,Non,Non,,,,19/06/2035,Non,,,,174 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3550/heusden-zolder/rbt73309,RBT73309,Maison à vendre,349000,Schootstraat 126,3550 Heusden-Zolder,,1961,6,235 m²,,Gaz,Double vitrage,3,Oui,Oui,157 kWh/m²/an,,,Information non communiquée,Information non communiquée,Normal,,,,,Oui,Oui,,,,,,,,1,2,,,,,,,,,Oui,,,,,Oui,,,,,,Oui,Non,,A l’acte,,,,Non,,Oui,,,,Non,,,,950 m²,,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2660/hoboken/rbt73307,RBT73307,Appartement à vendre,245000,Steynstraat 357 10,2660 Hoboken,Non,,2,75 m²,,Gaz,,2,,Oui,164 kWh/m²/an,,20250608-0003620285-RES-1,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non,,Non,Non,,,,1,1,,,,,,,,,,,,,,,Oui,,"oui, attestation non conforme",,,,Non,,A l’acte,,,,Oui,,Oui,,,08/06/2035,Non,,,,,,,Non,Non,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2470/retie/rbt73306,RBT73306,Maison à vendre,550000,Obroek 14,2470 Retie,,1956,5,348 m²,,Gaz,Simple vitrage,,,,534 kWh/m²/an,,20250607-0002942464-RES-1,Pas de risque d’inondation,Information non communiquée,À rénover,,,,,Non,,,,,,,,,2,,,,,,,,,,,,,,,,,,pas d'application,,,Non,Non,,,,,,Non,Non,,,,07/06/2025,Non,,,,1910 m²,,,Non,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1030/schaerbeek/vbc92109,VBC92109,Appartement à vendre,350000,Rue Eugène Smits 80,1030 Schaerbeek,,,2,112 m²,,Gaz,,,,Oui,203 kWh/m²/an,22 kWh/an,,Pas de risque d’inondation,Information non communiquée,Normal,,,,,Non,,,,,,,,,1,,,,,,,,,,,,,,,,,40,pas d'application,,,Non,,,,,,,Non,Non,,,,,,,6 m,11 m²,,,70 m,Non,,,,,,,1,,,,,,6 m²,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
