ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Largeur_de_la_façade,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Garage,Nombre_de_douches,Surface_du_jardin,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Piscine_extérieure,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_de_la_cuisine,Type_de_vitrage,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Équipement_de_la_cuisine,Surface_de_lades_salles_de_bain,Air_conditionné,Orientation_de_la_façade_du_bien,Raccordé_aux_égouts,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Possibilités_pour_profession_libérale,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Pompe_à_chaleur,Appartement_de_service,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Nombre_de_Garages,Alarme_antieffraction,Largeur_du_terrain_à_rue,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Orientation_du_jardin,Nombre_de_places_de_parking_extérieur,Attestation__Installation_électrique__Validité,Type_de_cuisine,Chauffage_au_sol,Compteur_Bihoraire,Niveau_E,Porte_daccès_sécurisée,Surface_des_caves,Surface_de_la_véranda,Surface_du_garage,Surface_du_bureau,HammamSaunaJacuzzi,Espace_ouvert_sensible_à_leau__WORG,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Panneaux_solaires_thermiques,Surface_du_grenier,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing,Surface_salle_à_manger,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt72120,RBT72120,Maison à vendre,529000,Beersebaan 47,2310 Rijkevorsel,Normal,Non,A l’acte,4,227 m²,Non,Non,Non,Non,Non,Non,Non,Non,1,2,Gaz,Non,4,,Oui,Oui,2874 m²,,,Oui,Oui,,Certificaat-20250403-0003569599-RES-1,03/04/2035,"oui, attestation non conforme",Non,Zone agricole,Pas de risque d’inondation,Information non communiquée,1974,Oui,,,,,,,,,,,,52 m²,,,,,,,,,,,Est,,,,,,,,,,,,Oui,,,,,,1,,,,,,4,,,,,,,,,,10 m²,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt71251,RBT71251,Maison à vendre,699000,Lijsterstraat 77,2310 Rijkevorsel,Excellent,Oui,,4,325 m²,Non,,Oui,Oui,Oui,,,,2,,Air pulsé,,4,14 m,Oui,Oui,1290 m²,,,Oui,Oui,33 kWh/m²/an,,,,Non,Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,2007,Oui,,,,1,,,17 m²,12 m²,13 m²,20 m²,,33 m²,23 m²,Double vitrage,,Non,,Oui,,Super équipée,,,Sud-ouest,Oui,,,,,,2,,,,,,Oui,,Oui,,,1,,14 m,,,,6,,,,,,,,,,,,Non,,,,,,,13 m²,
https://immovlan.be/fr/detail/appartement/a-vendre/2310/rijkevorsel/rbt70667,RBT70667,Appartement à vendre,375000,Bochtenstraat 42,2310 Rijkevorsel,Normal,Oui,,2,105 m²,Non,,,,,,,,1,1,Gaz,Oui,2,,,Oui,,,,Oui,Oui,142 kWh/m²/an,,,"oui, attestation conforme",Non,,Information non communiquée,Information non communiquée,2001,Oui,,,2,1,13 m²,,17 m²,18 m²,,,,,,Double vitrage,Oui,Non,Nord-est,Oui,Non,Super équipée,,,,Oui,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/2310/rijkevorsel/rbt46869,RBT46869,Duplex à vendre,419000,Hoek 2 101,2310 Rijkevorsel,Normal,,,3,132 m²,Non,,,,,,,,1,2,Gaz,,3,,,Oui,,,,Oui,Oui,96 kWh/m²/an,,,"oui, attestation conforme",Non,,Pas de risque d’inondation,Information non communiquée,2014,Oui,,,1,2,153 m²,,,,,,,,,Double vitrage,Oui,Non,,Oui,Non,,,,,Oui,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt43812,RBT43812,Maison à vendre,285000,Dorp 36,2310 Rijkevorsel,À rénover,Non,A l’acte,,221 m²,Non,Non,Non,Non,Non,Non,Non,Non,,3,Gaz,Oui,2,,Oui,Non,,,,,,,20230526-0002902542-KNR-1,26/05/2033,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt39049,RBT39049,Maison à vendre,649000,Merksplassesteenweg 27,2310 Rijkevorsel,Normal,,A l’acte,5,272 m²,Non,Oui,Oui,,Oui,,,,1,2,Gaz,,3,13 m,Oui,Oui,1609 m²,,,Oui,Oui,128 kWh/m²/an,,,,Non,,Pas de risque d’inondation,Information non communiquée,1966,,,,,,24 m²,Oui,15 m²,16 m²,16 m²,16 m²,18 m²,52 m²,,Double vitrage,,Non,,Oui,Non,Super équipée,,,Sud-ouest,Oui,,,,,,,,,,,,,,Oui,,,,Oui,13 m,,,,3,,,,,,,,,,,,Non,,,,,,,15 m²,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt37812,RBT37812,Maison à vendre,849000,Sterstraat 23,2310 Rijkevorsel,Normal,Non,A l’acte,4,296 m²,Non,Non,Oui,Non,Non,Non,Non,Non,1,2,Gaz,Non,4,,Oui,Oui,2300 m²,,,Oui,Oui,152 kWh/m²/an,Certificaat-20250224-0003538415-RES-1,24/02/2035,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2001,Oui,1,,,,,Oui,,,,,,,,,,,,,,Super équipée,,,Nord,,,,,,,,,,,,Oui,,,,,,2,,,,,,5,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt26475,RBT26475,Maison à vendre,435000,Uitbreidingsstraat 11,2310 Rijkevorsel,Excellent,,A l’acte,2,193 m²,Non,,Oui,,Oui,,,,2,2,,,4,14 m,Oui,Oui,557 m²,,,,Oui,460 kWh/m²/an,,,,Oui,Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,1990,Oui,,,,1,24 m²,,15 m²,11 m²,,,,15 m²,,Double vitrage,,Non,Nord-ouest,Oui,Oui,Super équipée,,,Sud-est,Oui,,,,,,1,,,,,Oui,,,,,,1,,14 m,,,,4,,,Oui,,,,,,,,,Non,,,,,,,18 m²,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt16784,RBT16784,Maison à vendre,365000,Otterdaelstraat 32,2310 Rijkevorsel,Normal,Non,,3,139 m²,Non,Oui,Oui,,,,,,1,1,Gaz,,4,12 m,Oui,Oui,596 m²,,,Oui,Oui,371 kWh/m²/an,,,,Non,,Pas de risque d’inondation,Information non communiquée,1969,Oui,,,,,24 m²,,,,,,,26 m²,,Double vitrage,,Non,Sud-est,Oui,Oui,Equipée,,,Nord-ouest,Oui,,,,,,2,,,,,,,,Oui,,,2,,12 m,,,,4,,Américaine,,,,,,,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbt09709,RBT09709,Maison à vendre,449000,Oostmalsesteenweg 22,2310 Rijkevorsel,Excellent,,,4,188 m²,,Oui,Oui,Oui,,,,,1,2,Gaz,,4,7 m,Oui,,674 m²,,,Oui,Oui,370 kWh/m²/an,,,,Non,,Information non communiquée,Information non communiquée,1936,Oui,,,,,,,15 m²,13 m²,7 m²,31 m²,,31 m²,,Double vitrage,,Non,,Oui,,Semi-équipée,,,,Oui,,,,,,1,,,,,,,,Oui,,,1,,7 m,,,,6,,Kitchenette,,,,,,,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/loft/a-vendre/2310/rijkevorsel/rbs82896,RBS82896,Loft à vendre,602738,De Klampoven 15.01.03 15,2310 Rijkevorsel,Nouveau,,,3,131 m²,,,,,,,,,1,2,,,2,,,Oui,,,,,Oui,,,,,Non,,Information non communiquée,Information non communiquée,2026,Oui,,,1,2,21 m²,,11 m²,9 m²,8 m²,,,18 m²,12 m²,Double vitrage,,,Sud,,,Super équipée,7 m²,,,Oui,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/2310/rijkevorsel/rbs82895,RBS82895,Rez-de-chaussée à vendre,391758,De Klampoven 03,2310 Rijkevorsel,Nouveau,,,1,77 m²,,,,,,,,,1,1,,,2,6 m,,Oui,,,,,Oui,,,,,Non,,Information non communiquée,Information non communiquée,2026,Oui,,,0,,37 m²,,12 m²,,,,,20 m²,12 m²,Double vitrage,,,,,,Super équipée,4 m²,,,Oui,,,,,,1,,,,,,,,,,,,,6 m,,,,1,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2310/rijkevorsel/rbr55747,RBR55747,Appartement à vendre,319000,Dijkbeemd 14 202,2310 Rijkevorsel,,Oui,A l’acte,3,95 m²,Non,Oui,,,,,,,1,2,,,3,,,Oui,,,,Oui,Oui,127 kWh/m²/an,,09/12/2031,"oui, attestation conforme",,,Pas de risque d’inondation,Information non communiquée,2017,Oui,,,2,2,12 m²,,9 m²,12 m²,12 m²,,,34 m²,,Double vitrage,Oui,,,,,Equipée,7 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,1,,Américaine,,,,,,,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbs81344,RBS81344,Maison à vendre,449000,Oostmalsesteenweg 97,2310 Rijkevorsel,Normal,Oui,,3,176 m²,Non,,Oui,,,,,,1,2,Gaz,,4,13 m,Oui,Oui,740 m²,,,Oui,Oui,985 kWh/m²/an,,,,Non,,Pas de risque d’inondation,Information non communiquée,1975,Oui,,,,,24 m²,,,,,,,38 m²,16 m²,Double vitrage,,Non,Sud-est,,,Equipée,,Oui,Nord-ouest,Oui,,,,,,1,,,,,,,,Oui,,,1,,13 m,,,,3,,Américaine,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbs74727,RBS74727,Maison à vendre,435000,Stevennekens 2,2310 Rijkevorsel,Normal,Non,Immédiatement,3,187 m²,Non,,,,Oui,,,,1,2,Gaz,,4,10 m,Oui,Oui,862 m²,,,Oui,Oui,301 kWh/m²/an,,,"oui, attestation non conforme",Non,,Pas de risque d’inondation,Information non communiquée,1999,Oui,,,,,18 m²,Non,18 m²,20 m²,21 m²,,,65 m²,23 m²,Double vitrage,,Non,,Oui,Non,Super équipée,,,Est,Oui,,,,,,,,,,,,,,,,,,,10 m,,,,,,,,,,,,,,,,Non,,,,,,,14 m²,
https://immovlan.be/fr/detail/maison/a-vendre/2310/rijkevorsel/rbs65441,RBS65441,Maison à vendre,399000,Oostmalsesteenweg 68,2310 Rijkevorsel,Normal,Oui,,3,178 m²,Non,,,,Oui,,,,1,1,,,3,7 m,Oui,Oui,600 m²,,,Oui,Oui,218 kWh/m²/an,,,,Non,,Pas de risque d’inondation,Information non communiquée,1966,Oui,,,,,24 m²,,26 m²,11 m²,8 m²,,,35 m²,,Double vitrage,,Non,Ouest,Oui,Non,Semi-équipée,,Oui,Est,Oui,,,,,,1,,,,,,,,Oui,,,1,,7 m,,,,4,,Kitchenette,,,,,,,,,,Non,,,,,,,16 m²,
https://immovlan.be/fr/detail/appartement/a-vendre/2310/rijkevorsel/rbs00571,RBS00571,Appartement à vendre,299000,De Klampoven 13,2310 Rijkevorsel,,,,1,79 m²,,,,,,,,,1,1,,,2,,Oui,Oui,,,,,,,,,,,,Information non communiquée,Information non communiquée,2024,,,,,1,35 m²,,,,,,,,,,,,,,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Américaine,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2310/rijkevorsel/rbs00570,RBS00570,Appartement à vendre,299000,De Klampoven 3,2310 Rijkevorsel,,,,1,77 m²,,,,,,,,,1,1,,,,,Oui,Oui,,,,,,,,,,,,Information non communiquée,Information non communiquée,2024,,,,,1,37 m²,,,,,,,,,,,,,,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Américaine,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2310/rijkevorsel/rbr55835,RBR55835,Appartement à vendre,264000,Hoogstraatsesteenweg 16 18,2310 Rijkevorsel,,,,1,73 m²,,,,,,,,,1,1,,,,,Oui,Oui,,,,,,,,,,,,Information non communiquée,Information non communiquée,2024,,,,0,2,10 m²,,,,,,,,,,,,,,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Américaine,,,,,,,,,,,,,,,,,,
