ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Grenier,Véranda,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Caves,Salle_à_manger,Dressing,Buanderie,Local_vélo,Surface_constructible,Référence_PEB,Emission_de_CO2,Nombre_détages_de_limmeuble,Garage,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_au_gaz_de_ville,Balcon,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_salle_à_manger,Nombre_de_Garages,Surface_chambre_à_coucher_5,Possibilités_pour_profession_libérale,Nombre_de_place_de_parking_intérieur,Citerne_à_eau_de_pluie,Panneaux_solaires,Surface_du_grenier,Parlophone,Étage_de_lappartement,Surface_du_dressing,Pompe_à_chaleur,Surface_des_caves,Surface_du_garage,Orientation_du_jardin,Porte_daccès_sécurisée,Maison_basse_énergie,Compteur_deau_individuel,Attestation__Installation_électrique__Validité,Surface_totale,Compteur_Bihoraire,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Profondeur_du_terrain,Appartement_de_service
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbc16713,VBC16713,Appartement à vendre,252000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,12 m²,9 m²,,,87 m²,Non,35 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,10 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/maison/a-vendre/6900/marche-en-famenne/vbc06623,VBC06623,Maison à vendre,298500,Chemin de Champlon 39,6900 Marche-en-Famenne,À rénover,Non,,Immédiatement,4,11 m²,10 m²,10 m²,13 m²,118 m²,Non,28 m²,Oui,,Equipée,,11 m²,1,,1,,,Double vitrage,Non,Non,,,,1,Oui,,,,,,,,Oui,,542 kWh/m²/an,63796 kWh/an,,"oui, attestation conforme",Oui,Oui,Non,Pas de risque d’inondation,Information non communiquée,Oui,,,,,899 m²,20241122002644,134,,Oui,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,pas d'application,Non,Non,,,,,1,,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6900/waha/vwd11106,VWD11106,Villa à vendre,750000,,6900 Waha,Excellent,,2008,A l’acte,4,,,,,248 m²,,35 m²,Oui,,Super équipée,Indépendante,43 m²,2,,,,Mazout,Double vitrage,,,,4,25 m,4,Oui,,Oui,,,1102 m²,,Oui,Oui,Oui,123 kWh/m²/an,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,Oui,,,20180606009756,,,Oui,,,,,Oui,Oui,,,,,,,,Non,,,,,2,Oui,Oui,,,,,,,,Sud,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb57193,VBB57193,Appartement à vendre,295000,,6900 Marche-en-Famenne,Nouveau,,2021,,2,16 m²,14 m²,,,88 m²,Non,,,,Equipée,Américaine,,1,1,1,,Gaz,,Oui,Oui,,2,,,,,Oui,16 m²,,,,,,Non,52 kWh/m²/an,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09941,VBB09941,Appartement à vendre,231000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,13 m²,8 m²,,,81 m²,Non,27 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,6 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09940,VBB09940,Appartement à vendre,276000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,13 m²,10 m²,,,96 m²,Non,40 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,10 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09939,VBB09939,Appartement à vendre,252000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,12 m²,9 m²,,,87 m²,Non,35 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,10 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09938,VBB09938,Appartement à vendre,248000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,1,15 m²,,,,87 m²,Non,34 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,6 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09937,VBB09937,Appartement à vendre,286000,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,14 m²,10 m²,,,100 m²,Non,34 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,8 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
https://immovlan.be/fr/detail/appartement/a-vendre/6900/marche-en-famenne/vbb09936,VBB09936,Appartement à vendre,292600,Rue du Luxembourg 71,6900 Marche-en-Famenne,,,2025,,2,13 m²,10 m²,,,103 m²,Non,44 m²,,,Super équipée,,,1,1,1,,,Double vitrage,Oui,Oui,,,,9,Oui,,Oui,8 m²,Sud-ouest,,,Oui,Oui,Non,,,,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,,,,,3,Oui,,,,,,,,,,Oui,,,,,,,,,15,,,,Oui,1,,,,,,,,,,,,,,Oui,,
