ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Surface_constructible,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Équipement_de_la_cuisine,Type_de_vitrage,Alarme_antieffraction,Feu_ouvert,Accessible_aux_moins_valides,Surface_du_jardin,Orientation_du_jardin,Orientation_de_la_terrasse,Raccordé_aux_égouts,Piscine_extérieure,Date_de_validité_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_chambre_à_coucher_5,Surface_du_bureau,Surface_salle_à_manger,Surface_de_la_cuisine,Parlophone,Largeur_de_la_façade,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Grenier,Chauffage_au_sol,Surface_du_grenier,Surface_du_garage,Surface_de_lades_salles_de_bain,Orientation_de_la_façade_du_bien,Raccordé_au_gaz_de_ville,Nombre_de_place_de_parking_intérieur,Station_de_charge_électrique,Panneaux_solaires,Air_conditionné,Surface_des_caves,Surface_du_dressing,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Étage_de_lappartement,Balcon,Surface_totale,Attestation__Citernes_à_mazout__Validité,Possibilités_pour_profession_libérale,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Pompe_à_chaleur,Adoucisseur_deau
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc62115,VBC62115,Maison à vendre,1350000,,1380 Lasne,,,1977,A l’acte,5,300 m²,Non,60 m²,Oui,,,,,,Oui,2,4,,4,Mazout,Non,4,1,3,Oui,Oui,100 m²,2600 m²,,Oui,455 kWh/m²/an,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,60 m²,45 m²,15 m²,11 m²,,,Oui,Oui,Non,2000 m²,Sud,Sud,Oui,Non,,,,,,16 m²,,,,,,167924 kWh/an,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vwd13018,VWD13018,Villa à vendre,1650000,,1380 Lasne,,,,,5,350 m²,,65 m²,Oui,,,,,,Oui,,4,,,Gaz,,,,2,Oui,Oui,,2352 m²,,Oui,254 kWh/m²/an,20220316001502,,Information non communiquée,Information non communiquée,22 m²,20 m²,18 m²,15 m²,Super équipée,,Oui,,,,Sud-est,Sud-est,Oui,,,,7 m²,16 m²,,16 m²,,15 m,,,,,63,,,,Oui,,,,,,Oui,4,,Oui,,,,,,,,,Oui,,,,,,455 m²,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc58714,VBC58714,Villa à vendre,995000,,1380 Lasne,À rénover,Non,1850,A l’acte,5,295 m²,Non,22 m²,Oui,,Oui,,,,Oui,1,2,,3,Mazout,Non,4,,4,Oui,Oui,,3172 m²,,Oui,384 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,18 m²,14 m²,11 m²,18 m²,Super équipée,,,,Non,,,Ouest,Oui,Non,12/08/2034,Non,12 m²,,33 m²,13 m²,,,,,,113304 kWh/an,,08/12/2024,Oui,Non,,,,,,Est,,,,,,,,,,,,,,,,,,,,09/02/2024,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc58706,VBC58706,Villa à vendre,995000,,1380 Lasne,Normal,Non,1800,A l’acte,5,253 m²,Non,,,,Oui,,,,Oui,1,2,1,3,Mazout,Non,4,1,4,Oui,Oui,,3172 m²,,,384 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,18 m²,18 m²,13 m²,20 m²,Equipée,,,,Non,3172 m²,,,Oui,Non,12/08/2034,,,18 m²,,,,,,,,113304 kWh/an,95,,,,,,,,,,,,,,,,,Américaine,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc55964,VBC55964,Maison à vendre,2450000,,1380 Lasne,Normal,,1993,Immédiatement,6,420 m²,,,,,Non,Non,,,,,4,,,Mazout,,4,2,,Oui,,,23810 m²,,Oui,233 kWh/m²/an,20250203007508,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,,Non équipée,Double vitrage,Non,Oui,,,,,Non,Oui,,Oui,,27 m²,,,Non,40 m,,,,67081 kWh/an,58,,Oui,Oui,Oui,Non,,,,,,,,Non,Non,,,,Non,Non,Oui,Non,Non,Non,"oui, attestation conforme",Oui,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc55985,VBC55985,Villa à vendre,775000,,1380 Lasne,Normal,Non,1860,A l’acte,5,300 m²,Non,50 m²,Oui,,Oui,,,,Oui,1,4,3,4,Mazout,Non,4,1,4,Oui,Oui,,2359 m²,,,283 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,17 m²,17 m²,15 m²,14 m²,Equipée,Double vitrage,,,Non,2359 m²,,Sud-ouest,Non,Non,20/10/2024,,8 m²,19 m²,,13 m²,,,,,,85489 kWh/an,70,,,,Oui,,,,,,Oui,,,Oui,,,,Américaine,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc55418,VBC55418,Maison à vendre,1800000,,1380 Lasne,,,1918,Immédiatement,,,,,,,Oui,Oui,,,,,,,,Non specifié,,4,1,,,,,9796 m²,,Oui,255 kWh/m²/an,20211001017839,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,,Non équipée,Double vitrage,Non,Non,,,,,Non,,,Non,,,,,Non,,,,,53128 kWh/an,64,,Oui,Oui,,Non,,,,,Oui,,,Non,Non,,,,Non,Non,,Non,Non,Non,pas d'application,Non,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1380/lasne/vbc54061,VBC54061,Maison à vendre,1095000,,1380 Lasne,Excellent,,1976,A l’acte,5,310 m²,Non,70 m²,Oui,,,,,,Oui,,3,,4,Mazout,,4,2,4,Oui,Oui,100 m²,3646 m²,,Oui,280 kWh/m²/an,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,45 m²,35 m²,12 m²,12 m²,,Double vitrage,Oui,Oui,Non,2000 m²,Sud,Sud,Oui,,,,10 m²,,,25 m²,,,,,,87028 kWh/an,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1380/lasne/vbc48866,VBC48866,Appartement à vendre,295000,,1380 Lasne,Excellent,Oui,2017,A l’acte,1,60 m²,,,Oui,,Oui,,,,Oui,1,1,1,1,Gaz,Oui,,2,1,,Oui,15 m²,,,,207 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,12 m²,,,,Super équipée,Double vitrage,,,Oui,,,Sud-ouest,,Non,26/01/2032,,,1 m²,,,Oui,,,,,,4387,,,,,,,,,,,1,,,,,,,,,,,Oui,,,,0,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1380/lasne/vbc46007,VBC46007,Villa à vendre,995000,,1380 Lasne,À rénover,,1850,Immédiatement,5,280 m²,,,Oui,,Oui,Non,,,Oui,,2,,1,Mazout,,4,1,,,,,8950 m²,,,586 kWh/m²/an,20230728004985,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,,Non équipée,,Oui,Oui,,,,,Non,,,Non,,,,,Non,,,,,163352 kWh/an,146,,Non,Non,Oui,Non,,,,,,,,Non,Non,,,,Non,Non,,Non,Non,Non,"oui, attestation non conforme",Non,,,,,,,,,,,,
