ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Parlophone,Ascenseur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_constructible,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Disponibilité_du_bien,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Nombre_de_façades,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Etat_du_bien,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Meublé,Surface_du_séjour,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_douches,Orientation_de_la_façade_du_bien,Raccordé_aux_égouts,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_salle_à_manger,Niveau_E,Surface_du_jardin,Niveau_K,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Surface_du_garage,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/maison/a-vendre/9800/deinze/rbt72933,RBT72933,Maison à vendre,363000,Brunshaag 3,9800 Deinze,Non,2025,3,179 m²,,,,Oui,,,,Oui,1,1,2,,Non,,2,1,Oui,Sud,,,,Oui,Non,"oui, attestation conforme",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,284 m²,,8 m,,,,Non,,8 m,Nouveau,,13 m²,Non,17 m²,Equipée,13 m²,,Nord,Oui,,,,Oui,,,,,,12 m²,15 m²,,Américaine,15 m²,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9800/deinze/rbt72932,RBT72932,Maison à vendre,383011,Bremkouter 20-28,9800 Deinze,Non,2023,3,148 m²,,,,Oui,,,,Oui,1,1,2,,Non,,2,,Oui,Est,,,,Oui,Non,"oui, attestation conforme",Zone d'extension d'habitat,Information non communiquée,Information non communiquée,,Air pulsé,Double vitrage,,,Non,3,313 m²,,6 m,,,,Non,,6 m,Nouveau,,16 m²,Non,26 m²,Equipée,9 m²,,Ouest,Oui,,,,Oui,,,,,,10 m²,13 m²,,Américaine,12 m²,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9800/deinze/rbt72931,RBT72931,Maison à vendre,378001,Bremkouter 20-28,9800 Deinze,Non,2023,3,156 m²,,,,,,,,Oui,1,1,2,,Non,,2,,Oui,Sud-ouest,,,,Oui,Non,"oui, attestation conforme",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,3,303 m²,,6 m,,,,Non,,6 m,Nouveau,,16 m²,Non,41 m²,Equipée,9 m²,,Est,Oui,,,,Oui,,,,,,10 m²,13 m²,,Américaine,,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9800/deinze/rbt72930,RBT72930,Maison à vendre,374001,Bremkouter 20-28,9800 Deinze,Non,2023,3,183 m²,,,,,,,,Oui,1,1,2,,Non,,2,,Oui,Nord-est,,,,Oui,Non,"oui, attestation conforme",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,304 m²,,6 m,,,,Non,,6 m,Nouveau,,10 m²,Non,41 m²,Equipée,9 m²,,Sud-ouest,Oui,,,,Oui,,,,,,13 m²,16 m²,,Américaine,,,,,Oui,Oui,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72929,RBT72929,Appartement à vendre,489000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,4,134 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,3,,,11 m,,,,Non,,11 m,Nouveau,27 m²,22 m²,Non,23 m²,Super équipée,12 m²,,Sud-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,19 m²,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72928,RBT72928,Appartement à vendre,386000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,99 m²,Oui,,,,,,,Oui,1,1,2,Oui,Oui,1,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,23 m²,14 m²,Non,,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,10 m²,9 m²,,,,,,,Oui,Oui,,,,5 m²,,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72927,RBT72927,Appartement à vendre,420000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,95 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,3,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,25 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,6 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72926,RBT72926,Appartement à vendre,395000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,96 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,26 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72925,RBT72925,Appartement à vendre,489000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,4,134 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,3,,,11 m,,,,Non,,11 m,Nouveau,27 m²,22 m²,Non,23 m²,Super équipée,12 m²,,Sud-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,19 m²,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72923,RBT72923,Appartement à vendre,420000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,3,95 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,3,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,25 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,6 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
