ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Caves,Grenier,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_du_séjour,Véranda,Dressing,Buanderie,Local_vélo,Étage_de_lappartement,Référence_PEB,Surface_du_bureau,Surface_des_caves,Garage,Nombre_de_Garages,Surface_de_lades_salles_de_bain,Panneaux_solaires,Parlophone,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Orientation_du_jardin,Profondeur_du_terrain,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_de_la_terrasse,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Nombre_de_place_de_parking_intérieur,Surface_du_grenier,Air_conditionné,Panneaux_solaires_thermiques,Surface_du_dressing,Station_de_charge_électrique,Maison_basse_énergie,Pompe_à_chaleur,Attestation__Citernes_à_mazout,Adoucisseur_deau,Surface_du_garage,Chauffage_au_sol,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,Attestation__Asbuilt,Surface_totale,Possibilités_pour_profession_libérale,Niveau_E,Appartement_de_service,Compteur_Bihoraire,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Affectation_urbanistique_la_plus_récente,Porte_de_garage_motorisée,Balcon,Surface_constructible,Citation_pour_infraction_urbanistique,Attestation__Citernes_à_mazout__Validité,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc78526,VBC78526,Maison à vendre,320000,Chaussée de nivelles 183,1470 Genappe,À rénover,,A l’acte,3,22 m²,9 m²,11 m²,,,208 m²,,,Oui,,,,,,1,,2,Mazout,,,,,3,,,,Oui,,Oui,,854 m²,,,421 kWh/m²/an,85484 kWh/an,,,,Information non communiquée,Information non communiquée,,,,,,,,20250127013083,,,Oui,,,,,,,,,,,,,Non,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc74212,VBC74212,Maison à vendre,695000,,1470 Genappe,À rénover,,A l’acte,8,20 m²,16 m²,13 m²,13 m²,15 m²,437 m²,Non,Oui,Oui,Oui,,Super équipée,,23 m²,4,1,4,Mazout,Double vitrage,Non,Oui,Sud-ouest,4,12 m,2,10,Oui,1720 m²,Oui,50 m²,2064 m²,12 m,Oui,155 kWh/m²/an,79563 kWh/an,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,60 m²,,Oui,,,,,,28 m²,Oui,2,11 m²,,,,,Oui,Nord-est,80 m,Oui,Non,39,,,Non,Sud,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc72838,VBC72838,Maison à vendre,165000,Rue Emile Boucquéau 25,1470 Genappe,À rénover,1850,,2,16 m²,12 m²,,,,125 m²,Non,Oui,Oui,Oui,11 m²,,Indépendante,12 m²,1,,1,Mazout,Double vitrage,Non,Non,Sud,2,7 m,2,,Oui,240 m²,Oui,13 m²,320 m²,7 m,Oui,500 kWh/m²/an,62367 kWh/an,11/03/2035,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,Non,14 m²,Oui,,,,,,,,,,,,,,,,,,Oui,Non,124,Non,Non,Non,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/1470/genappe/vwd13326,VWD13326,Maison de maître à vendre,500000,Rue De Ways 63,1470 Genappe,Normal,,,6,,,,,,320 m²,,,Oui,,,,,,1,,,Gaz,Double vitrage,,,,2,,,,Oui,875 m²,Oui,20 m²,,,,408 kWh/m²/an,,,pas d'application,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,Non,Non,Non,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbb54012,VBB54012,Maison à vendre,175000,Rue Cala 22,1470 Genappe,À rénover,1850,A l’acte,2,26 m²,10 m²,,,,142 m²,Non,,Oui,Oui,26 m²,,,14 m²,1,1,1,Mazout,Double vitrage,Non,Oui,Nord-est,3,19 m,1,,Oui,140 m²,Oui,,282 m²,19 m,Oui,568 kWh/m²/an,80688 kWh/an,16/01/2034,"non, pas d'attestation",,Risque moyen,Inondable délimitée,Non,18 m²,,,,,,,,,Oui,1,,,,,,,,,Non,Non,142,Non,Non,Non,Sud-ouest,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1470/genappe/vbc62164,VBC62164,Villa à vendre,875000,,1470 Genappe,Normal,1987,A l’acte,4,28 m²,20 m²,17 m²,10 m²,,486 m²,,Oui,,Oui,22 m²,Super équipée,,27 m²,2,,4,Mazout,Double vitrage,Non,Non,Nord-est,4,11 m,1,10,Oui,2779 m²,Oui,63 m²,3162 m²,11 m,Oui,170 kWh/m²/an,61162 kWh/an,15/09/2034,,,Pas de risque d’inondation,Information non communiquée,,61 m²,,,,,,,,,Oui,3,13 m²,Oui,Oui,Oui,,,Sud-ouest,98 m,Oui,Oui,42,Oui,,Non,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/triplex/a-vendre/1470/genappe/vbc60250,VBC60250,Triplex à vendre,225000,,1470 Genappe,Excellent,1920,,2,11 m²,15 m²,,,,90 m²,Non,Oui,Oui,,,Super équipée,,,1,,1,Gaz,Double vitrage,Non,Non,Nord,2,,,,,,,,,,Oui,383 kWh/m²/an,29816 kWh/an,24/02/2035,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Non,30 m²,,,,,,,,,,,,,,,,,,,Oui,Non,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc60249,VBC60249,Maison à vendre,225000,,1470 Genappe,Excellent,1920,,2,11 m²,15 m²,,,,90 m²,Non,Oui,Oui,,,Super équipée,,,1,,1,Gaz,Double vitrage,Non,Non,Nord,2,,,,,,,,41 m²,,Oui,383 kWh/m²/an,29816 kWh/an,24/02/2035,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Non,30 m²,,,,,,,,,,,,,,,,,,,Oui,Non,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc57352,VBC57352,Maison à vendre,338300,Rue Des Bassins 40,1470 Genappe,Nouveau,,,3,,,,,,,,,,,,,,,1,,,,,,,,2,,,,Oui,,,,182 m²,,,,,,"non, pas d'attestation",,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1470/genappe/vbc57358,VBC57358,Maison à vendre,384500,Rue Des Bassins 27,1470 Genappe,Nouveau,,,3,,,,,,,,,,,,,,,1,,,,,,,,4,,,,Oui,,,,583 m²,,,,,,"non, pas d'attestation",,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
