ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Accessible_aux_moins_valides,Nombre_de_façades,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Permis_de_bâtir_obtenu,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Année_de_construction,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_places_de_parking_extérieur,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Raccordé_au_gaz_de_ville,Conso_spécifique_dénergie_primaire,Parlophone,Ascenseur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Nombre_de_place_de_parking_intérieur,Air_conditionné,Date_de_validité_PEB,Référence_PEB,Surface_du_séjour,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Alarme_antieffraction,Largeur_de_la_façade,Orientation_du_jardin,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_durbanisation_accordé,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Porte_de_garage_motorisée,Type_de_cuisine,Chauffage_au_sol,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,HammamSaunaJacuzzi,Le_bien_fait_lobjet_dun_droit_de_préemption,Espace_ouvert_sensible_à_leau__WORG,Surface_des_caves,Surface_de_la_véranda,Orientation_de_la_façade_du_bien,Balcon,Nombre_de_douches,Clef_électronique,Panneaux_solaires_thermiques,Domotique,Feu_ouvert,Attestation__Asbuilt,Surface_totale,Maison_basse_énergie,Compteur_Bihoraire,Niveau_E,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Attestation__Citernes_à_mazout,Surface_du_grenier,Surface_du_bureau,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_du_dressing,Surface_salle_à_manger,Emission_de_CO2,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Conso_annuelle_totale_dénergie_primaire,Appartement_de_service,Surface_chambre_à_coucher_5,Attestation__Installation_électrique__Validité,Adoucisseur_deau,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Niveau_K
https://immovlan.be/fr/detail/villa/a-vendre/9400/ninove/rbt26547,RBT26547,Villa à vendre,485000,Neerstraat 105,9400 Ninove,Normal,Immédiatement,5,12 m²,18 m²,15 m²,325 m²,Non,Oui,,,1,2,,,,Simple vitrage,Non,,Oui,1200 m²,Oui,,,Oui,,,,,,,Information non communiquée,Information non communiquée,Non,,Non,Oui,Non,,,Non,Non,1,Non,"oui, attestation non conforme",,Non,820 kWh/m²/an,,Non,,,50 m²,1,Non,,20240716-0003315356-RES-1,,,11 m²,,Oui,,,,,,1499 m²,Non,Non,,Non,,,,Non,Non,,,,,Non,,Non,,Non,Oui,Non,,,,,,,"oui, attestation conforme",,,,12 m²,,,,,,,,17 m²,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/ninove/rbt25990,RBT25990,Maison à vendre,,Stenenmolen 125,9400 Ninove,À rénover,A l’acte,2,11 m²,20 m²,,122 m²,Non,,,,1,1,,,,Double vitrage,,3,Oui,,Oui,880 m²,Oui,Oui,,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,,,,,,,"oui, attestation non conforme",,,953 kWh/m²/an,,Non,,,,,,08/05/2035,,30 m²,,12 m²,,,9 m,,,,Non,,,,,,,,,,Non,Non,,,Sud-ouest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/nederhasselt/rbt25718,RBT25718,Maison à vendre,300000,,9400 Nederhasselt,À rénover,A l’acte,4,,,,195 m²,Non,Oui,1,,1,1,,Gaz,,,,3,Oui,,,,,Oui,,,,,,,Information non communiquée,Information non communiquée,Non,1964,Non,Non,Non,Non,Non,Non,Non,3,,"oui, attestation non conforme",,Oui,588 kWh/m²/an,,Non,,,,,,,20230806-0002959050-RES-1,40 m²,,,,,,,,,,,,,,,,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9400/ninove/rbt25649,RBT25649,Appartement à vendre,245000,Stationsstraat 6,9400 Ninove,Normal,A l’acte,2,,,,151 m²,Non,,,Semi-équipée,1,,,Electrique,,,Non,2,,,,,Oui,Oui,,,,,,,Information non communiquée,Information non communiquée,,1850,Oui,,,,,,,,Non,"oui, attestation non conforme",,Oui,816 kWh/m²/an,,Non,,2,,,,05/05/2031,,,,,,,6 m,,,6 m,,,,,Kitchenette,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/ninove/rbt24559,RBT24559,Maison à vendre,385000,Geraardsbergsesteenweg 306,9400 Ninove,Normal,,4,16 m²,15 m²,19 m²,275 m²,Non,Oui,1,Super équipée,1,2,,Air pulsé,Oui,,Oui,3,Oui,,Oui,430 m²,Oui,Oui,Oui,,,,,,Information non communiquée,Information non communiquée,,1952,Oui,Oui,,Oui,,,,,Non,"oui, attestation conforme",,,,Oui,Non,,,,,Oui,,,19 m²,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,32 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/9400/ninove/rbt23481,RBT23481,Immeuble mixte à vendre,245000,Stationsstraat 6,9400 Ninove,Normal,A l’acte,2,,,,151 m²,Non,,,Semi-équipée,1,,,Electrique,,,Non,2,,,,80 m²,Oui,Oui,,,,,,,Information non communiquée,Information non communiquée,,1850,Oui,,,,,,,,Non,"oui, attestation non conforme",,Oui,816 kWh/m²/an,,Non,,2,,,,,,,,,,,6 m,,,6 m,,,,,Kitchenette,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2025,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/ninove/vbc54472,VBC54472,Maison à vendre,395000,,9400 Ninove,,,3,,,,160 m²,,,,,,,,Electrique,,,,2,Oui,380 m²,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,2,,,,,,,,,,2 m²,,,,,33 m²,,,,,,,,,,,,,,,,,,,,,,,Sud,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/9400/ninove/rbt22140,RBT22140,Duplex à vendre,359000,Vaartweg 9 3,9400 Ninove,Excellent,A l’acte,3,11 m²,10 m²,9 m²,122 m²,Non,Oui,1,Super équipée,1,2,,Gaz,,Double vitrage,,2,,,Oui,,Oui,Oui,,Oui,,,,,Pas de risque d’inondation,Information non communiquée,,2000,,,,,,,,1,,"oui, attestation non conforme",,Oui,195 kWh/m²/an,Oui,Oui,3,4,10 m²,1,,29/04/2035,,34 m²,,8 m²,7 m²,,,,,,,,,,,,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/ninove/rbt21428,RBT21428,Maison à vendre,,Nekkersput 29,9400 Ninove,À rénover,A l’acte,6,,,,233 m²,Non,Oui,,Semi-équipée,2,2,Oui,Gaz,,Double vitrage,,3,Oui,,Oui,558 m²,,,,Oui,,,,,Information non communiquée,Information non communiquée,Non,,Oui,Oui,,,,,,1,,"non, pas d'attestation",,,490 kWh/m²/an,,Non,,,,1,,14/02/2034,,,,,,,14 m,,,,Non,,,,Kitchenette,,,,,,Non,Non,,,Sud-est,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9400/ninove/rbt20081,RBT20081,Maison à vendre,,Lieferingeplaats 14,9400 Ninove,À rénover,A l’acte,2,,,,110 m²,Non,,,,1,1,,,,,,3,Oui,,Oui,700 m²,,,,Non,,,,,Information non communiquée,Information non communiquée,Non,,Oui,Oui,,,,,,,,"oui, attestation non conforme",,,966 kWh/m²/an,,Non,,,,,,29/04/2035,,,,,,,,,,,Non,,,,,,,,,,Non,Non,,,Nord-est,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
