ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_douches,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Piscine_extérieure,Conso_spécifique_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Surface_totale_du_terrain,Air_conditionné,Alarme_antieffraction,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_constructible,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Étage_de_lappartement,Surface_du_jardin,Surface_des_caves,Surface_du_grenier,Surface_de_la_véranda,Permis_durbanisation_accordé,Parlophone,Surface_du_bureau,Emission_de_CO2,Attestation__Asbuilt,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Domotique,Porte_daccès_sécurisée,Raccordé_aux_égouts,Attestation__Citernes_à_mazout,Orientation_du_jardin,Surface_chambre_à_coucher_3,Nombre_de_place_de_parking_intérieur,Attestation__Installation_électrique__Validité,Station_de_charge_électrique,Maison_basse_énergie,Pompe_à_chaleur,Compteur_Bihoraire,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Appartement_de_service,Surface_chambre_à_coucher_5,Conso_annuelle_totale_dénergie_primaire,Surface_du_garage,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Citerne_à_eau_de_pluie,Niveau_S,Possibilités_pour_profession_libérale,Surface_totale,Niveau_E
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt36346,RBT36346,Maison à vendre,234000,Heiligstraat 153,2620 Hemiksem,À rénover,,,,2,108 m²,,Oui,Oui,Oui,,,,,,,1,,Gaz,Non,,,Oui,,,,20220811-0002654391-RES-1,11/08/2032,"non, pas d'attestation",,,Pas de risque d’inondation,Information non communiquée,,,,,,,,4 m²,Simple vitrage,Non,,,,,,,,851 kWh/m²/an,,,,,,130 m²,,,,Non,181 m²,,,,,36 m²,37 m²,8 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/loft/a-vendre/2620/hemiksem/rbt33171,RBT33171,Loft à vendre,299500,Delvauxstraat 41 2,2620 Hemiksem,Excellent,Non,2006,,,108 m²,,Non,Non,Non,Non,Oui,Non,Non,,,1,1,Gaz,,,,,Oui,,,20220720-0002643570-RES-1,,"non, pas d'attestation",,"Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,,,52 m²,Equipée,,,,,Double vitrage,,,,1,67 m²,,,Non,298 kWh/m²/an,,,,,,,,,,,,,,0,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbt14435,RBT14435,Maison à vendre,550000,Provinciale steenweg 33,2620 Hemiksem,À rénover,Non,1918,A l’acte,6,342 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,2,2,Gaz,Non,3,,Oui,,Oui,Oui,20221201-0002742528-RES-1,01/12/2032,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,54 m²,Super équipée,,,1,,,,Est,,,,,,Oui,394 kWh/m²/an,,,,,,363 m²,,,,,157 m²,26 m,,,150 m²,,,,,,31 m²,26955,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/2620/hemiksem/rbs83785,RBS83785,Duplex à vendre,295000,Kerkeneinde 75 V1,2620 Hemiksem,Nouveau,,2023,A l’acte,2,139 m²,Non,,,,,,,,Oui,1,1,2,Gaz,Oui,2,,Non,Oui,Oui,Oui,https://www.bolt.immo/nl/11018-G-OMV_20190693346/EP17761/A001/D01/SD006,,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Super équipée,,,,,,,Nord-ouest,6 m,3,15 m²,,,,62 kWh/m²/an,,,,,,,,,,,123 m²,38 m,Oui,1,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2620/hemiksem/rbs83743,RBS83743,Appartement à vendre,274000,Kerkeneinde 75 V1L,2620 Hemiksem,Nouveau,Non,2023,A l’acte,2,87 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Gaz,Oui,2,,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Super équipée,,,,,,,Nord-ouest,6 m,3,11 m²,,,,,,,,,,,,,,,98 m²,38 m,,1,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2620/hemiksem/rbs63288,RBS63288,Maison à vendre,329000,Jan Sanderslaan 141,2620 Hemiksem,À rénover,Non,1966,A l’acte,3,166 m²,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Gaz,Non,3,2,Oui,,Oui,Oui,20250207-0003524040-RES-1,07/02/2035,"oui, attestation non conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Semi-équipée,,,,,,,Nord-ouest,,,,,,,394 kWh/m²/an,,,,,,225 m²,,,,,94 m²,28 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/2650/edegem/rbt66872,RBT66872,Rez-de-chaussée à vendre,275000,Laureysstraat 2 001,2650 Edegem,,Non,1954,A l’acte,2,71 m²,Non,Non,Non,Non,Non,Non,Non,Non,,,1,1,,Non,,,,,,,202103316-0002388160-RES-1,16/03/2031,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,Nord,,,,,,,250 kWh/m²/an,,,,,,,,,,,,,,,,,,,,,,61030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2650/edegem/rbt73194,RBT73194,Appartement à vendre,255000,Archimedeslaan 3,2650 Edegem,Excellent,Non,1973,A l’acte,2,80 m²,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Gaz,,2,,,Oui,Oui,Oui,,,pas d'application,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,25 m²,,,7 m²,,,,,,,2,,,,Non,183 kWh/m²/an,,,,,,,,Non,,,,,,2,,4 m²,,,,Oui,,,,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2650/edegem/rbt70122,RBT70122,Maison à vendre,539000,Timmerdonckstraat 25,2650 Edegem,Normal,Non,1960,A l’acte,4,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,2,Gaz,Non,2,,Oui,Oui,,,20241303-0003176783-RES-1,14/03/2034,"oui, attestation conforme",,,Information non communiquée,Information non communiquée,,,,,,,,,,,,6 m,,15 m²,,,,164 kWh/m²/an,,,,,,194 m²,,,,,,32 m,,,119 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2650/edegem/rbt69650,RBT69650,Maison à vendre,2895000,,2650 Edegem,Excellent,Non,2001,,7,593 m²,,Oui,Oui,Non,Non,Non,Non,Non,Oui,3,4,1,,,4,,Oui,Oui,Oui,Oui,20250211-0003526778-RES-1,,"oui, attestation conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,45 m²,,,,,,,,,,,,,,Oui,207 kWh/m²/an,,,,,,3303 m²,,Oui,,,,,,,,250 m²,,,,Oui,45 m²,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,
