ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Disponibilité_du_bien,Surface_salle_à_manger,Nombre_de_places_de_parking_extérieur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Surface_totale,Surface_du_bureau,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Porte_de_garage_motorisée,Station_de_charge_électrique,Maison_basse_énergie,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Espace_ouvert_sensible_à_leau__WORG,Surface_du_grenier,Citerne_à_eau_de_pluie,Surface_constructible,Attestation__Installation_électrique__Validité,Orientation_du_jardin,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Niveau_E,Niveau_K,Attestation__Asbuilt,Surface_des_caves,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Clef_électronique,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Possibilités_pour_profession_libérale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Niveau_S,Surface_de_la_véranda,Surface_du_dressing
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc76260,VBC76260,Maison à vendre,349000,Voie Saint-Antoine 7,6800 Libramont-Chevigny,Non,1992,3,180 m²,Non,Oui,,,,,,,Oui,1,2,1,2,,Mazout,Non,Sud-est,4,13 m,Oui,Oui,1431 m²,,238 kWh/m²/an,,30/01/2035,117,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,À rénover,16 m²,12 m²,10 m²,,,33 m²,Semi-équipée,Kitchenette,7 m²,6 m²,Double vitrage,Non,1200 m²,24 m²,Ouest,13 m,Oui,Oui,Non,46132 kWh/an,Oui,Oui,Non,A l’acte,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc62057,VBC62057,Appartement à vendre,110000,Grand'Rue 30,6800 Libramont-Chevigny,Oui,,1,42 m²,Non,Oui,,,,,,,,,1,1,1,,Mazout,Non,Ouest,2,11 m,,,,,236 kWh/m²/an,,02/06/2033,61,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Normal,11 m²,,,,,24 m²,Equipée,Américaine,,,Double vitrage,Non,,,,11 m,Oui,Oui,Non,12106 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6800/libramont/vaz85821,VAZ85821,Immeuble mixte à vendre,599000,Avenue de Houffalize 20,6800 Libramont,,,8,,Non,,,,,,,,,,4,,,,,,,2,,Oui,Oui,881 m²,,,,,,,Information non communiquée,Information non communiquée,Normal,,,,,,,,,,,,,360 m²,,,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont/vwd13717,VWD13717,Maison à vendre,475000,a la voie d ochamps 3,6800 Libramont,,2008,5,225 m²,,Oui,Non,Non,,,Oui,,Oui,,2,,,Non,Mazout,Non,Sud,4,22 m,Oui,Oui,600 m²,,234 kWh/m²/an,20250606007663,06/06/2035,235,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Excellent,20 m²,14 m²,13 m²,13 m²,12 m²,35 m²,Equipée,Américaine,17 m²,,Double vitrage,Non,,40 m²,,,Oui,Oui,Non,50480 kWh/an,Oui,Oui,,,,4,,,Non,Oui,Non,,225 m²,9 m²,1,20 m²,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"oui, attestation conforme",Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc84189,VBC84189,Appartement à vendre,239000,Rue des Chasseurs Ardennais 4 7,6800 Libramont-Chevigny,Non,2008,2,98 m²,Non,,,,,,,,Oui,,1,1,1,Oui,Gaz,Non,Sud,,,,Oui,,,139 kWh/m²/an,,06/07/2027,26,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,17 m²,11 m²,,,,35 m²,Super équipée,,10 m²,9 m²,Double vitrage,Non,,16 m²,Est,,Oui,Oui,Non,15908 kWh/an,Oui,Non,Non,Immédiatement,,1,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc82435,VBC82435,Appartement à vendre,110000,Grand'Rue 30,6800 Libramont-Chevigny,Oui,1918,2,50 m²,Non,,,,,,,,,,1,,1,,Mazout,Non,Ouest,2,11 m,,,,,291 kWh/m²/an,,02/06/2033,74,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Normal,9 m²,15 m²,,,,18 m²,Equipée,Américaine,,,Double vitrage,Non,,,,11 m,Oui,Oui,Non,14887 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc81087,VBC81087,Maison à vendre,409000,Rue de Lhommal 34,6800 Libramont-Chevigny,Non,,3,400 m²,Non,,Oui,,Oui,,,,Oui,,1,,2,,Mazout,Non,Ouest,3,19 m,Oui,Oui,1050 m²,,324 kWh/m²/an,,11/11/2034,80,,Pas de risque d’inondation,Information non communiquée,Normal,16 m²,11 m²,14 m²,,,16 m²,Equipée,Américaine,15 m²,12 m²,Double vitrage,Non,300 m²,15 m²,Est,19 m,Oui,Oui,Non,53691 kWh/an,Non,Non,Non,Immédiatement,16 m²,4,,,,,,,,,4,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6800/libramont-chevigny/vbc80057,VBC80057,Appartement à vendre,199000,Rue de la Gare 39 68,6800 Libramont-Chevigny,Non,1978,2,85 m²,Non,Oui,Oui,,,,,,,,1,1,1,,Gaz,Oui,Sud-ouest,,,,Oui,,,160 kWh/m²/an,,05/02/2035,30,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Remis à neuf,11 m²,11 m²,,,,30 m²,Super équipée,,8 m²,,Triple vitrage,Non,,,Sud-ouest,,Oui,Oui,Non,13609 kWh/an,Oui,,Non,A l’acte,,,,,,,,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc76372,VBC76372,Maison à vendre,549900,Champ Colin 61,6800 Libramont-Chevigny,Non,1930,4,470 m²,Non,Oui,Oui,,,,,,Oui,1,1,,1,,Mazout,,Est,4,29 m,Oui,Oui,3250 m²,,295 kWh/m²/an,,12/03/2035,72,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,À rénover,24 m²,20 m²,23 m²,28 m²,,23 m²,Equipée,Américaine,24 m²,9 m²,Double vitrage,Non,2800 m²,15 m²,Sud,29 m,Oui,Oui,Non,73553 kWh/an,Non,Non,Non,Immédiatement,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,276 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc73548,VBC73548,Maison à vendre,300000,Hersamont 27,6800 Libramont-Chevigny,Non,,3,,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,1,1,,2,,Mazout,Non,Sud-est,4,,,Oui,500 m²,,280 kWh/m²/an,20240417004585,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Normal,,,,,,,Super équipée,,,,,,,,,,,Oui,,,,,,A convenir,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
