ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Garage,Équipement_de_la_cuisine,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_vitrage,Parlophone,Accessible_aux_moins_valides,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Emission_de_CO2,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_Garages,Nombre_de_douches,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Orientation_du_jardin,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Station_de_charge_électrique,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Surface_du_bureau,Surface_des_caves,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Pompe_à_chaleur,Attestation__Citernes_à_mazout,Maison_basse_énergie,Compteur_Bihoraire,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_garage,Adoucisseur_deau,Surface_du_grenier
https://immovlan.be/fr/detail/appartement/a-vendre/5340/faulx-les-tombes/vbc43813,VBC43813,Appartement à vendre,190000,Route d'Andenne 58,5340 Faulx-les-Tombes,À rénover,A l’acte,3,100 m²,,,,Mazout,,,4,2,,,,,Information non communiquée,Information non communiquée,,13 m²,11 m²,42 m²,1,2,,Double vitrage,,,0,2,,,,,239 kWh/m²/an,,,Oui,Oui,,,Oui,,,,1,,,,,20250207016204,,,,,,,,,,,,,,,,,8 m²,,,Oui,,,26309 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5340/faulx-les-tombes/vba16144,VBA16144,Immeuble mixte à vendre,950000,,5340 Faulx-les-Tombes,Excellent,A l’acte,12,,Non,Oui,Equipée,Mazout,Non,Sud-ouest,4,4,Oui,Oui,941 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,6,6,,Double vitrage,Oui,Non,,2,500 m²,20 m²,Nord-est,Non,226 kWh/m²/an,58,Oui,Oui,Oui,,,,,,1,6,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,Oui,Oui,,19781 kWh/an,Américaine,,,,,,,,,2,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5340/gesves/vbc50896,VBC50896,Maison à vendre,260000,Trou Bouquiau 27,5340 Gesves,À rénover,,3,140 m²,Non,Oui,Semi-équipée,Mazout,Non,Nord-ouest,4,2,Oui,Oui,5393 m²,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,1800,,,28 m²,1,1,,,,,,2,,20 m²,,,568 kWh/m²/an,,Non,Non,Oui,Non,Non,Non,Non,Non,1,,95 m²,,,Oui,20230901008498,01/09/2033,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/barvaux-condroz/vbc89454,VBC89454,Maison à vendre,395000,La Foulerie 85,5370 Barvaux-Condroz,Normal,A l’acte,4,170 m²,Non,,Equipée,Mazout,Non,,4,,Oui,Oui,1115 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,22 m²,15 m²,16 m²,1,,Oui,Double vitrage,,Non,,2,,,,Non,319 kWh/m²/an,,Non,Oui,Oui,,Oui,,,,,,,,,Oui,,,,,17 m²,5 m²,,,,,,,,,Non,,,13 m²,11 m²,,Non,Oui,,64778 kWh/an,Américaine,Oui,,,,,,8 m²,30 m²,,,,,,,,,,20 m²
https://immovlan.be/fr/detail/fermette/a-vendre/5370/havelange/vbb56171,VBB56171,Fermette à vendre,,,5370 Havelange,À rénover,A l’acte,3,403 m²,,,,Mazout,Non,,4,6,Oui,Oui,4665 m²,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,13 m²,13 m²,,1,2,,Double vitrage,,,,2,4044 m²,,,Non,642 kWh/m²/an,159,Non,Oui,Oui,,Oui,,,,,,,68 m,,Oui,,09/06/2033,,,16 m²,8 m²,,,,,,,,,Non,,,10 m²,,,,Oui,Est,116494 kWh/an,,,Non,,35 m,35 m,,39 m²,23 m²,,,,,,,,,,38 m²
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc84379,VBC84379,Maison à vendre,225000,Avenue de Criel 66,5370 Havelange,À rénover,,1,167 m²,,,,Mazout,Non,Est,,,,,170 m²,pas d'application,Pas de risque d’inondation,Information non communiquée,,,,,1,,,Simple vitrage,,Non,,2,,,,,444 kWh/m²/an,110,,Oui,Non,Non,,,,,,,,,,,20250523006593,23/05/2035,,,,12 m²,,,,,,,,,,,Non,,,,,,,73636 kWh/an,,,Non,,,,,8 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83882,VBC83882,Maison à vendre,300000,Rue des Forges 2,5370 Havelange,Nouveau,Immédiatement,3,120 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,14 m²,11 m²,27 m²,1,1,Oui,Double vitrage,,Non,,,352 m²,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,352 m²,,Oui,Oui,RWPEB-147307,,Non,Non,14 m²,8 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,9 m²,,,,,,,,,,,,,,,,,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5370/havelange/vbc83881,VBC83881,Villa à vendre,360000,Rue des Forges 4,5370 Havelange,Nouveau,Immédiatement,4,150 m²,Non,Oui,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,16 m²,12 m²,29 m²,2,1,Oui,Double vitrage,,Non,,,496 m²,,,,,,Non,,Oui,,,,,,,,608 m²,,Oui,Oui,RWPEB-147307,,Non,Non,12 m²,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,9 m²,11 m²,,,,,,,Oui,Oui,,,,,,,1,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83880,VBC83880,Maison à vendre,320000,Rue des Forges 4,5370 Havelange,Nouveau,Immédiatement,3,135 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,12 m²,12 m²,31 m²,1,1,Oui,Double vitrage,,Non,,,496 m²,,,,,,Non,,,,,,,,,,496 m²,,Oui,Oui,RWPEB-147307,,Non,Non,12 m²,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,14 m²,,,,,,,,Oui,Oui,,,,,,,,,pas d'application,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5370/havelange/vbc83879,VBC83879,Maison à vendre,300000,Rue des Forges 3,5370 Havelange,Nouveau,Immédiatement,3,120 m²,Non,,Equipée,,Non,,,1,Oui,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,10 m²,9 m²,30 m²,1,1,Oui,Double vitrage,,Non,,,352 m²,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,352 m²,,Oui,Oui,RWPEB-147307,,Non,Non,15 m²,6 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,20 m²,,,,,,,,,,,,,,,,,,pas d'application,,,,,,,
