ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Buanderie,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Nombre_de_places_de_parking_extérieur,Orientation_du_jardin,Référence_PEB,Véranda,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Nombre_de_douches,Nombre_détages_de_limmeuble,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_du_garage,Surface_constructible,Bien_actuellement_loué,Permis_de_bâtir_obtenu,Attestation__Installation_électrique__Validité,Étage_de_lappartement,Station_de_charge_électrique,Local_vélo,Feu_ouvert,Surface_du_bureau,Parlophone,Alarme_antieffraction,HammamSaunaJacuzzi,Profondeur_du_terrain,Dressing,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Air_conditionné,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Adoucisseur_deau,Porte_de_garage_motorisée,Maison_basse_énergie
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc24244,VBC24244,Maison à vendre,325000,Bihain 19,6690 Vielsalm,Normal,1850,,4,,,,,,Non,,,,,,,Oui,2,Super équipée,,,3,3,,Mazout,,Non,,Est,3,,Non,,Oui,,,2860 m²,,,,Oui,,338 kWh/m²/an,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,20241204022319,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6690/vielsalm/vbc19283,VBC19283,Appartement à vendre,140000,Fraiture 40,6690 Vielsalm,Excellent,1979,A l’acte,1,,,,,50 m²,Oui,21 m²,,,,,,,,Equipée,Américaine,7 m²,1,,3 m²,,Double vitrage,Non,Non,,,,Oui,,Oui,,,,,,,,Non,195 kWh/m²/an,9821 kWh/an,15/02/2033,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/6690/vielsalm/vwd09980,VWD09980,Chalet à vendre,140000,Neuville-Haut 62 E,6690 Vielsalm,À rénover,,A l’acte,1,,,,,81 m²,,,Non,Non,,,,,,Non équipée,,,,,,Gaz,,,,,4,,Oui,,Oui,,,1898 m²,,,Oui,Oui,,331 kWh/m²/an,26707 kWh/an,27/09/2027,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,,,,,,,,,20170927000733,Non,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vbc05594,VBC05594,Maison à vendre,195000,Rue Tiennemesse 2,6690 Vielsalm,,,A l’acte,5,,,,,207 m²,Non,44 m²,Oui,,,,,Oui,1,Equipée,Américaine,,2,,,Mazout,,,,,2,,Oui,,Oui,,,117 m²,,Oui,,Oui,Non,297 kWh/m²/an,75394 kWh/an,18/07/2034,,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6690/vielsalm/vbb87765,VBB87765,Immeuble mixte à vendre,275000,Rue du Vieux Marché 23,6690 Vielsalm,Normal,1978,,3,14 m²,13 m²,12 m²,,345 m²,Non,,,Oui,,,,Oui,2,Equipée,Américaine,,2,3,,Mazout,Double vitrage,Non,Non,Ouest,3,,Oui,75 m²,Oui,30 m²,,260 m²,,Oui,,Oui,Non,242 kWh/m²/an,,,61,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,1,4,,,27 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6690/vielsalm/vwd10324,VWD10324,Maison à vendre,220000,Burtonville 23,6690 Vielsalm,À rénover,,A convenir,4,,,,,195 m²,,,Oui,Oui,,,,Oui,,Non équipée,,,,,,Mazout,,,,,,,Oui,,,,,,,Non,,Oui,,335 kWh/m²/an,64806 kWh/an,08/01/2028,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,20180108001523,Oui,,,,,,,,,,Oui,,,,,Oui,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay-la-neuve/vbc91233,VBC91233,Appartement à vendre,,,6720 Habay-la-Neuve,,,,2,,,,,102 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,14 m²,,,,,,,,20 kWh/m²/an,1947 kWh/an,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc70980,VBC70980,Maison à vendre,470000,Rue de la hasse 22,6720 Habay-la-Neuve,Normal,1992,Immédiatement,4,14 m²,20 m²,13 m²,,173 m²,Non,35 m²,Oui,Oui,3 m²,,,Oui,2,Super équipée,,17 m²,1,2,,Mazout,Double vitrage,Non,Non,,4,12 m,Oui,1251 m²,Oui,43 m²,Ouest,1370 m²,12 m,Oui,,Oui,Non,235 kWh/m²/an,40660 kWh/an,11/11/2034,58,,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,2,Ouest,,,Oui,,,1,1,,88 m²,,,Non,Oui,,,,,Oui,13 m²,Oui,Oui,Oui,44 m,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay/vbc86475,VBC86475,Appartement à vendre,149900,Rue des Ecoles 22 /A1,6720 Habay,Normal,2007,,1,7 m²,,,,47 m²,Non,20 m²,,,,,,Oui,1,Equipée,Américaine,,1,1,,Mazout,Double vitrage,Non,Non,,4,,Oui,30 m²,,,,,,Oui,,Oui,Non,241 kWh/m²/an,11046 kWh/an,26/11/2029,60,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,2,,,,,Oui,Oui,,0,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc83379,VBC83379,Maison à vendre,310000,Rue du Prévôt 2,6720 Habay-la-Neuve,Normal,1951,,4,,,,,164 m²,Non,46 m²,Non,Oui,,Non,,Oui,1,Super équipée,,,1,1,,,,Non,,Nord,4,17 m,Non,,Non,,,628 m²,,,,,,406 kWh/m²/an,66406 kWh/an,,8,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,,,,,,20250523019171,Non,,,,1,,,,,130 m²,Non,,,,,Non,,,,,,24 m,Non,,,,,,,,,,
