ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Largeur_du_terrain_à_rue,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_du_séjour,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Surface_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Disponibilité_du_bien,Meublé,Équipement_de_la_cuisine,Nombre_de_douches,Ascenseur,Nombre_détages_de_limmeuble,Orientation_de_la_terrasse,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Permis_durbanisation_accordé,Étage_de_lappartement,Niveau_E,Niveau_K,Permis_de_bâtir_obtenu,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Citerne_à_eau_de_pluie,Parlophone,Chauffage_au_sol,Surface_de_la_véranda,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Asbuilt,Espace_ouvert_sensible_à_leau__WORG,Raccordé_aux_égouts,Surface_totale,Compteur_Bihoraire,Attestation__Citernes_à_mazout,Station_de_charge_électrique,Panneaux_solaires_thermiques,Surface_chambre_à_coucher_5,Surface_du_bureau,Surface_salle_à_manger,Maison_basse_énergie,Conso_annuelle_totale_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Emission_de_CO2,Adoucisseur_deau,Possibilités_pour_profession_libérale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Appartement_de_service
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt47317,RBT47317,Maison à vendre,365000,Marialoopplaats 5,8760 Meulebeke,À rénover,Non,,4,323 m²,Oui,Oui,Non,Non,Non,Non,Non,,,1,,,,4,,,Oui,Est,Oui,720 m²,,,Oui,Oui,Non,,20240718-0003121880-KNR-1,18/07/2034,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,17 m²,19 m²,15 m²,29 m²,,8 m²,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt44608,RBT44608,Maison à vendre,135000,Kasteeldreef 5,8760 Meulebeke,À rénover,,,3,195 m²,Non,Oui,Non,,,,,,,,,Electrique,Simple vitrage,,,,,,,180 m²,,,,,,1010 kWh/m²/an,,,pas d'application,,Pas de risque d’inondation,Information non communiquée,,,,,,,36 m²,,,1,10 m²,,,,,,,,Non,,,,,,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt43847,RBT43847,Maison à vendre,355000,Boekweitstraat 1,8760 Meulebeke,Nouveau,Non,,3,140 m²,Non,Oui,Non,Non,Non,Non,Non,,,,,,,3,10 m,,Oui,Sud,,414 m²,70 m²,,Oui,Oui,,,,,"non, pas d'attestation",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt43846,RBT43846,Maison à vendre,355000,Boekweitstraat 3,8760 Meulebeke,Nouveau,Non,,3,140 m²,Non,Oui,Non,Non,Non,Non,Non,,,,,,,3,10 m,,Oui,Sud,,431 m²,70 m²,,Oui,Oui,,,,,"non, pas d'attestation",Zone d'extension d'habitat,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/8760/meulebeke/rbt43179,RBT43179,Villa à vendre,465000,Spoorweglaan 4,8760 Meulebeke,À rénover,Non,1955,4,500 m²,Oui,Oui,,,,,,Oui,1,1,,Gaz,,4,,2,Oui,,Oui,1308 m²,,,Oui,Oui,Non,751 kWh/m²/an,,,,,Pas de risque d’inondation,Information non communiquée,20 m²,27 m²,20 m²,28 m²,56 m²,,,,8 m²,1,16 m²,,,,A l’acte,Non,Equipée,,,3,,,,,,,,,,,,,,,,,,1,Américaine,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt42924,RBT42924,Maison à vendre,146500,Barnumstraat 31,8760 Meulebeke,Excellent,,1918,2,,,Oui,,,,,,,,,,,,3,,,,,Oui,151 m²,,,Oui,Oui,,315 kWh/m²/an,2319729,24/09/2030,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8760/meulebeke/rbt42919,RBT42919,Appartement à vendre,199000,Abeeldreef 2A 4,8760 Meulebeke,Excellent,Non,1997,2,102 m²,Non,Non,Non,Non,Non,Non,Non,Oui,,1,,,,,,,,,Oui,,,,Oui,Oui,Non,167 kWh/m²/an,2278684,08/06/2030,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Risque moyen,Information non communiquée,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt42587,RBT42587,Maison à vendre,425000,Oostrozebekestraat 7,8760 Meulebeke,,Non,1992,2,197 m²,Non,Oui,Non,Non,Non,Non,Non,,,3,,,,2,,,Oui,,Oui,210 m²,,,,,Non,210 kWh/m²/an,20231214-0003073871-RES-1,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,,A l’acte,,,,Non,,,Non,,,,,,Non,Non,Est,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8760/meulebeke/rbt41954,RBT41954,Appartement à vendre,450000,Tieltstraat 94 A 10,8760 Meulebeke,,Non,2021,3,123 m²,Non,Non,Non,Non,Non,Non,Non,,,1,,Gaz,,,,,,,Oui,,,,,,Non,55 kWh/m²/an,EPB Ref: 37007-G-OMV_2018097686/EP18003/A001/D01/S,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,2,,,126 m²,,,,Equipée,,Oui,3,,Non,,,,,Non,Non,Non,Sud-est,Non,Non,,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8760/meulebeke/rbt41953,RBT41953,Maison à vendre,433780,Bruggesteenweg 17,8760 Meulebeke,,Non,2025,3,217 m²,Non,Oui,Non,Non,Non,Non,Non,Oui,,2,Oui,Gaz,Double vitrage,3,,,Oui,,Oui,405 m²,,,,,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,1,,,,,,,Equipée,,Non,,,Non,,,,,Non,Non,Non,Ouest,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
