ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Alarme_antieffraction,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Surface_du_jardin,Surface_de_la_terrasse,Véranda,Surface_du_garage,Orientation_de_la_façade_du_bien,Référence_PEB,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_place_de_parking_intérieur,Chauffage_au_sol,Parlophone,Porte_daccès_sécurisée,Étage_de_lappartement,Possibilités_pour_profession_libérale,Surface_chambre_à_coucher_5,Surface_totale,Surface_du_bureau,Orientation_de_la_terrasse,Attestation__Citernes_à_mazout,Panneaux_solaires,Air_conditionné,Balcon,Adoucisseur_deau,Le_bien_fait_lobjet_dun_droit_de_préemption,Espace_ouvert_sensible_à_leau__WORG,Pompe_à_chaleur,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Dressing,Buanderie,Local_vélo,Surface_constructible,Affectation_urbanistique_la_plus_récente,Surface_du_dressing,Porte_de_garage_motorisée,Station_de_charge_électrique,Maison_basse_énergie,Compteur_Bihoraire,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout__Validité,Attestation__Asbuilt,Panneaux_solaires_thermiques,Compteur_électrique_individuel,Domotique,Niveau_E,Clef_électronique
https://immovlan.be/fr/detail/duplex/a-vendre/3140/keerbergen/rbt43832,RBT43832,Duplex à vendre,262500,Haachtsebaan 52 B,3140 Keerbergen,,,A l’acte,2,10 m²,14 m²,,,114 m²,Non,,,,,,,,Oui,,Super équipée,,,1,,2,,Gaz,,,,,,,,,,,,Oui,,,,,,,,,154 kWh/m²/an,,,,"oui, attestation conforme",,Oui,,,,,,Pas de risque d’inondation,Information non communiquée,2003,,18 m²,,,,,,1,,Oui,,1,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3140/keerbergen/rbt42877,RBT42877,Maison à vendre,1950000,Tremelobaan 131,3140 Keerbergen,Excellent,Non,,4,,,,,1191 m²,,,Non,,Oui,,Non,,Oui,2,,,,3,,4,,,,Oui,,,,4,,2,,Oui,Sud,Oui,3835 m²,,,,,Oui,,Oui,97 kWh/m²/an,,,,"oui, attestation conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,1978,,,Non,,,20231003-0003004677-RES-1,,,,,,,,,,,,,,Oui,,,,,Oui,,,,Oui,Oui,Non,,Parc résidentiel,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3140/keerbergen/rbt42867,RBT42867,Maison à vendre,1195000,Tremelobaan 107,3140 Keerbergen,,Non,,4,,,,,478 m²,,,Non,,Oui,,Non,,Oui,2,,,,2,,2,,,,Oui,,,,4,,1,,Oui,Sud,Oui,3005 m²,,,,,Oui,,,212 kWh/m²/an,,,,"oui, attestation non conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,1997,,,Non,,,202311290003053043-RES-1,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,Oui,Non,,Parc résidentiel,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3140/keerbergen/rbs75904,RBS75904,Maison à vendre,229000,Kapelstraat 42,3140 Keerbergen,,Non,,1,12 m²,,,,66 m²,,30 m²,Non,,Non,,Non,,,,,,,1,,,,,Double vitrage,,,,,2,,,,,,Oui,102 m²,,,,Oui,Oui,,Non,233 kWh/m²/an,,,,"oui, attestation conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,,,24 m²,Non,,,UC0003511431-RES-1,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3140/keerbergen/rbt41296,RBT41296,Appartement à vendre,,Putsebaan 59 1.3,3140 Keerbergen,Normal,,,2,,,,,80 m²,,,Oui,,Non,,,,Oui,,,,,1,,,,Electrique,,,Oui,,Non,,,,,,,Oui,,,,,,,,,24 kWh/m²/an,,,,"non, pas d'attestation",,,Non,,,,,Pas de risque d’inondation,Information non communiquée,2023,,10 m²,Non,,,24048-G-OMV_2020069469/EP05954/A001/D01/SD005,Non,,Oui,Oui,,1,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3140/keerbergen/rbt39904,RBT39904,Maison à vendre,398000,Nieuwstraat 190,3140 Keerbergen,Excellent,,,3,,,,,137 m²,,,,,Oui,,,,,,,,,1,,2,,Gaz,Double vitrage,,,,,4,,,,Oui,,Oui,502 m²,,,Oui,Oui,Oui,,,204 kWh/m²/an,,18/05/2035,,"oui, attestation conforme",,,,,,,,Pas de risque d’inondation,Information non communiquée,1957,,,,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3140/keerbergen/rbt38393,RBT38393,Appartement à vendre,340000,Kempenlaan 3 1,3140 Keerbergen,,,,3,,,,,137 m²,,,,,,,,,Oui,1,Super équipée,,,1,,1,,Gaz,Double vitrage,,,,,3,,2,,Oui,Est,Oui,,,,,Oui,Oui,,,288 kWh/m²/an,,,,"oui, attestation conforme",,Oui,,,,,,Risque moyen,Information non communiquée,1978,,,,,,20231006-0003005009-RES-1,,,,,,1,,,,,,,,Oui,,,,,,,,,,Oui,,,Parc résidentiel,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/3140/keerbergen/rbt36878,RBT36878,Bungalow à vendre,349000,Schrieksebaan 221 A,3140 Keerbergen,Normal,,Immédiatement,3,,,,,132 m²,Non,,,,Oui,,,,Oui,1,Semi-équipée,,,1,,1,,Electrique,,,Non,,,4,,,2,Oui,,Oui,1222 m²,,,,,Oui,,,822 kWh/m²/an,,,,"oui, attestation non conforme",,Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,1979,,,,,Sud-est,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3140/keerbergen/rbt36688,RBT36688,Villa à vendre,735000,Koebaan 21,3140 Keerbergen,,Non,A l’acte,3,,,,,250 m²,,,Non,,Oui,,Non,,Oui,2,Equipée,,,1,,2,,Non specifié,Double vitrage,Non,Non,,Non,4,18 m,2,3,Oui,,Oui,2382 m²,,,,,,,Non,159 kWh/m²/an,,,,,,,,,,,,Pas de risque d’inondation,Information non communiquée,1986,,,Non,,Sud,20250507-0003595277,Non,,,,,,,,,,,,,Non,Non,,Non,,,,,,Non,Non,Non,,Parc résidentiel,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3140/keerbergen/rbt35262,RBT35262,Villa à vendre,580000,Kasteeldreef 19,3140 Keerbergen,Normal,,,5,,,,,305 m²,,38 m²,,,,,,,Oui,1,,,,2,,,,,,,,,,4,,,,Oui,Nord-ouest,,748 m²,,,,,Oui,,,552 kWh/m²/an,,,,"non, pas d'attestation",,Oui,,,,,,Information non communiquée,Information non communiquée,1971,,,Oui,62 m²,,3594683-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,
