ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Meublé,Caves,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_des_caves,Dressing,Surface_du_dressing,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Jardin,Surface_du_jardin,Terrasse_aménagée,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Attestation__Installation_électrique,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Pompe_à_chaleur,Étage_de_lappartement,Surface_de_la_terrasse,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Chauffage_au_sol,Citerne_à_eau_de_pluie,Affectation_urbanistique_la_plus_récente,Orientation_de_la_terrasse,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_du_jardin,Véranda,Raccordé_au_gaz_de_ville,Buanderie,Local_vélo,Feu_ouvert,Référence_PEB,Surface_constructible,Surface_du_bureau,Station_de_charge_électrique,Maison_basse_énergie,Air_conditionné,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Porte_de_garage_motorisée,Adoucisseur_deau,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc88428,VBC88428,Maison à vendre,358000,Steinbach 14,4950 Waimes,Normal,,4,9 m²,13 m²,96 m²,Non,Oui,1,1,1,,Mazout,Double vitrage,,Non,Non,Nord-est,4,13 m,,4,4607 m²,,Oui,383 kWh/m²/an,72466 kWh/an,05/06/2035,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,,A l’acte,11 m²,9 m²,,27 m²,,,,Oui,1,,9 m²,Oui,,Oui,13 m,Non,Non,95,"oui, attestation conforme",2,Equipée,Américaine,,,,23 m²,Oui,,,,,,,Sud-ouest,11/12/2013,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/waimes/vbc42464,VBC42464,Appartement à vendre,365000,Rue du Barrage 46,4950 Waimes,Excellent,Non,2,17 m²,17 m²,115 m²,Non,Oui,2,1,,7 m²,,Double vitrage,,Oui,Non,Est,3,,2,,,,Oui,117 kWh/m²/an,13326 kWh/an,26/06/2026,Information non communiquée,Information non communiquée,,,,,,,,,,Oui,,,,Oui,,Oui,,,Non,,,1,,,Oui,,0,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc60237,VBC60237,Maison à vendre,295000,Rue Du Wèrhê 33,4950 Waimes,À rénover,Non,3,11 m²,11 m²,161 m²,Non,Oui,1,1,2,7 m²,Mazout,,,Non,Non,,4,24 m,2,4,1869 m²,50 m,Oui,557 kWh/m²/an,83388 kWh/an,25/06/2034,Pas de risque d’inondation,Information non communiquée,,A l’acte,13 m²,,,34 m²,36 m²,,,Oui,2,,10 m²,Oui,1575 m²,Oui,24 m,,Non,138,"oui, attestation non conforme",,,Indépendante,,,,17 m²,Oui,53 m²,,,,,,,,Oui,Non,Non,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4950/waimes/vbc82452,VBC82452,Immeuble mixte à vendre,350000,Rue du Marché 21,4950 Waimes,Normal,,6,12 m²,8 m²,262 m²,Non,Oui,2,2,3,,Mazout,Double vitrage,,Non,Non,,3,,2,,273 m²,,Oui,395 kWh/m²/an,47732 kWh/an,30/04/2035,Pas de risque d’inondation,Information non communiquée,1968,A l’acte,14 m²,12 m²,12 m²,,,,,,,,,,,,,Oui,Non,98,"oui, attestation conforme",,Equipée,Américaine,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4950/waimes/vbc80298,VBC80298,Villa à vendre,275000,Champagne 84,4950 Waimes,À rénover,Non,3,7 m²,18 m²,136 m²,Non,Oui,1,,1,4 m²,Mazout,,,,Non,Est,4,11 m,4,2,400 m²,22 m,Oui,412 kWh/m²/an,65548 kWh/an,17/04/2035,Information non communiquée,Information non communiquée,1963,A l’acte,18 m²,12 m²,,,9 m²,,,Oui,1,21 m²,6 m²,Oui,294 m²,Oui,11 m,,Non,,,,,,,,,23 m²,Oui,45 m²,Oui,13 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4950/waimes/vbc78986,VBC78986,Villa à vendre,625000,,4950 Waimes,Excellent,,5,18 m²,16 m²,400 m²,Oui,Oui,1,1,2,,Mazout,Double vitrage,,Non,Oui,,4,,2,,1579 m²,,Oui,274 kWh/m²/an,107331 kWh/an,14/08/2032,Pas de risque d’inondation,Information non communiquée,,Immédiatement,14 m²,,,,,,,Oui,1,,,Oui,1130 m²,Oui,,Oui,Non,67,"oui, attestation non conforme",,Equipée,Américaine,Oui,,,90 m²,Oui,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4950/waimes/vbc75167,VBC75167,Immeuble mixte à vendre,460000,Rue de Wemmel 6,4950 Waimes,Normal,Non,4,,,195 m²,,Oui,1,1,6,,Mazout,Double vitrage,,,Non,Sud,4,,,6,1156 m²,,Oui,119 kWh/m²/an,23348 kWh/an,28/04/2035,Pas de risque d’inondation,Information non communiquée,1965,A l’acte,,,,,,,,Oui,,,,Oui,,Oui,,Non,Non,28,,2,Equipée,Américaine,Oui,,,40 m²,Oui,,,,,,,,,Oui,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc71720,VBC71720,Maison à vendre,456000,Rue du Bac 20,4950 Waimes,Normal,Non,4,17 m²,22 m²,150 m²,,Oui,2,,2,,Mazout,Double vitrage,,,,Nord,4,,,3,907 m²,,,219 kWh/m²/an,,,Information non communiquée,Information non communiquée,1996,A convenir,16 m²,14 m²,,32 m²,45 m²,Oui,,Oui,,,15 m²,Oui,,Oui,,,Non,,,1,,,,,,48 m²,Oui,,Non,,,,,,,,,,,Non,,Non,Non,Oui,20241022009639,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc70211,VBC70211,Maison à vendre,750000,4950 Waimes,,Normal,Non,17,18 m²,16 m²,711 m²,Oui,Oui,14,14,17,,Mazout,Double vitrage,,Non,Non,Sud,4,30 m,,10,2200 m²,,Oui,295 kWh/m²/an,67885 kWh/an,28/11/2027,Pas de risque d’inondation,Information non communiquée,1940,A l’acte,16 m²,17 m²,14 m²,50 m²,,,,Oui,1,40 m²,44 m²,Oui,1500 m²,Oui,30 m,Oui,Non,73,"oui, attestation conforme",2,,,,,,60 m²,,,Oui,50 m²,,,,Est,,Non,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc69134,VBC69134,Maison à vendre,530000,Morfat 132,4950 Waimes,Normal,Non,4,21 m²,11 m²,255 m²,Non,Oui,2,2,2,,Air pulsé,Double vitrage,,Non,Non,Est,4,,,6,2931 m²,,Oui,135 kWh/m²/an,46319 kWh/an,18/04/2035,Pas de risque d’inondation,Information non communiquée,1993,,11 m²,9 m²,,32 m²,,,,Oui,2,,16 m²,Oui,,Oui,,Non,Non,35,,,Equipée,Américaine,Oui,Oui,,,Oui,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
