ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Étage_de_lappartement,Surface_de_la_terrasse,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Ascenseur,Surface_du_jardin,Raccordé_au_gaz_de_ville,Piscine_extérieure,Référence_PEB,Surface_salle_à_manger,Surface_du_dressing,Alarme_antieffraction,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Balcon,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Parlophone,Orientation_de_la_terrasse,Largeur_de_la_façade,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_du_garage,Largeur_du_terrain_à_rue,Surface_des_caves,Orientation_du_jardin,Surface_du_grenier,Surface_chambre_à_coucher_5,Maison_basse_énergie,Compteur_Bihoraire,Pompe_à_chaleur,Station_de_charge_électrique,Surface_du_bureau,Adoucisseur_deau,Porte_daccès_sécurisée,Espace_ouvert_sensible_à_leau__WORG,Attestation__Citernes_à_mazout,Surface_de_la_véranda,Affectation_urbanistique_la_plus_récente,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/5590/ciney/vbc86928,VBC86928,Rez-de-chaussée à vendre,169000,,5590 Ciney,,Non,,,1,,,,,76 m²,Non,15 m²,Non,Non,,,,Super équipée,,,,1,1,Mazout,,,,2,3,,,,,,,,22/01/2035,85,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,,Non,,,,20250122022251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc86844,VBC86844,Appartement à vendre,190000,,5590 Ciney,,Non,,,2,,,,,101 m²,Non,29 m²,Non,Non,,,,,,,1,,1,Electrique,,,,2,3,,,,,Oui,,,07/12/2027,67,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,3,,Non,Non,Non,Non,Non,,Oui,,,,20171207021227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/ciney/vbc85204,VBC85204,Maison à vendre,325000,,5590 Ciney,Normal,Oui,1960,,3,9 m²,12 m²,24 m²,,183 m²,Non,,,,Oui,1,1,Equipée,Américaine,12 m²,1,1,2,,Double vitrage,Non,,4,1,3,Oui,Oui,1020 m²,Oui,227 kWh/m²/an,60103 kWh/an,24/05/2035,58,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,20 m²,,,,,,,Non,700 m²,,Non,,,,,Oui,,,,,,,Oui,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/ciney/vbc84279,VBC84279,Maison à vendre,235000,Rue Charles Balthasar 81,5590 Ciney,À rénover,,1955,A l’acte,3,18 m²,15 m²,9 m²,,222 m²,Non,36 m²,,Oui,Oui,1,,,,10 m²,1,1,2,Mazout,Double vitrage,Non,,3,2,,Oui,Oui,472 m²,,457 kWh/m²/an,80515 kWh/an,21/05/2035,113,"oui, attestation non conforme",,,Non,Pas de risque d’inondation,Information non communiquée,,40 m²,,,,,,,Non,472 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc80599,VBC80599,Appartement à vendre,125000,,5590 Ciney,À rénover,Non,,,2,,,,,60 m²,Non,21 m²,Non,Non,Oui,,,,,,1,1,1,Gaz,,,,3,2,1,,,,Oui,,,20/08/2025,72,pas d'application,,,,Information non communiquée,Information non communiquée,2,,Non,Non,Non,Non,Non,,Non,,Oui,,20150820016684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc80597,VBC80597,Appartement à vendre,125000,,5590 Ciney,,Non,,,1,,,,,51 m²,Non,24 m²,Non,Non,,,,,,,1,,1,Mazout,,,Sud-ouest,3,3,,,,,Oui,,,23/01/2035,110,pas d'application,,,,Information non communiquée,Information non communiquée,3,,Non,Non,Non,Non,Non,,Non,,Oui,,20250123013968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/triplex/a-vendre/5590/ciney/vbc75826,VBC75826,Triplex à vendre,249000,,5590 Ciney,Normal,Oui,,A l’acte,3,20 m²,10 m²,7 m²,,140 m²,Non,75 m²,,,,,,Super équipée,,,1,,2,Gaz,Double vitrage,Non,,2,3,,,Oui,,Oui,154 kWh/m²/an,24538 kWh/an,29/04/2032,29,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,1,,,,,,,,Non,,Oui,Non,,,,,Oui,,,,6 m²,,,,,,,,,,,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc74589,VBC74589,Appartement à vendre,225000,,5590 Ciney,,,,A partir du : 01/07/2025,2,,,,,90 m²,Non,33 m²,,,,,,,,,,1,2,Electrique,,,,,4,,Non,Oui,,Oui,340 kWh/m²/an,30451 kWh/an,14/09/2027,97,pas d'application,,,,Information non communiquée,Information non communiquée,3,3 m²,,,,,,,Oui,,,,20170914007777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5590/achene/vbc74084,VBC74084,Maison à vendre,384923,,5590 Achêne,Nouveau,,,,3,,,,,126 m²,,,,,,,,,,,1,,2,,,,,4,,,,,1502 m²,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,9 m,,,,,9 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5590/ciney/vbc72334,VBC72334,Appartement à vendre,235000,,5590 Ciney,Normal,,,A l’acte,3,15 m²,11 m²,9 m²,,114 m²,,19 m²,,,,,,,,18 m²,1,,1,Gaz,,Non,,2,2,,,Oui,,Oui,333 kWh/m²/an,45041 kWh/an,,63,,,,,Pas de risque d’inondation,Information non communiquée,1,37 m²,,,,,,,Non,,Oui,,,,,,Oui,,,,13 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
