ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Disponibilité_du_bien,Grenier,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Orientation_de_la_façade_du_bien,Jardin,Terrasse_aménagée,Piscine_extérieure,Le_bien_fait_lobjet_dun_droit_de_préemption,Etat_du_bien,Équipement_de_la_cuisine,Nombre_de_douches,Permis_de_bâtir_obtenu,Meublé,Nombre_de_place_de_parking_intérieur,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Surface_de_la_terrasse,Attestation__Installation_électrique,Panneaux_solaires,Pompe_à_chaleur,Orientation_du_jardin,Étage_de_lappartement,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Surface_du_jardin,Raccordé_au_gaz_de_ville,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Date_de_validité_PEB,Type_de_cuisine,Orientation_de_la_terrasse,Raccordé_aux_égouts,Emission_de_CO2,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Chauffage_au_sol,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Parlophone,Surface_chambre_à_coucher_4,Conso_annuelle_totale_dénergie_primaire,Maison_basse_énergie,Compteur_Bihoraire,Surface_chambre_à_coucher_5,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Station_de_charge_électrique,Niveau_E,Possibilités_pour_profession_libérale,Surface_totale,Niveau_K,Attestation__Installation_électrique__Validité,Surface_de_la_véranda,Adoucisseur_deau,Niveau_S,Appartement_de_service,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/appartement/a-vendre/8570/anzegem/rbt32733,RBT32733,Appartement à vendre,245000,Grote Leiestraat 2 0002A,8570 Anzegem,,2007,2,100 m²,,,,,,,,,1,1,,,,4,,3,,,,,,261 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,,A l’acte,,Gaz,Double vitrage,,,,Oui,,,Excellent,Super équipée,,,Non,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/8570/anzegem/rbt27141,RBT27141,Villa à vendre,765000,Vichtsesteenweg 64,8570 Anzegem,,1970,3,350 m²,,,,,,,,,1,3,,Non,,4,,2,10,1443 m²,,,,157 kWh/m²/an,,,Information non communiquée,Information non communiquée,,A l’acte,,Mazout,Double vitrage,,,Oui,Oui,Oui,,Excellent,Super équipée,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8570/anzegem/rbt25025,RBT25025,Appartement à vendre,198000,Kerkstraat 42 0008,8570 Anzegem,,1996,2,140 m²,,,,,,,Oui,1,1,1,,Oui,,2,,3,2,,,,,177 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,Double vitrage,,,,,,,,,,,Non,1,Oui,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/vichte/rbt20315,RBT20315,Maison à vendre,249000,Weggevoerdenlaan 81,8570 Vichte,,1971,3,134 m²,Oui,,,,,,Oui,1,1,1,,,,4,,,,391 m²,,,,558 kWh/m²/an,20250325-0003561747-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,Mazout,Simple vitrage,,,Oui,,,,,,,Oui,,,Oui,,,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/8570/anzegem/rbt19843,RBT19843,Maison de maître à vendre,585000,Stijn Streuvelsstraat 11,8570 Anzegem,,1935,4,600 m²,Oui,Oui,,,,,Oui,3,2,3,Oui,Non,,4,,4,3,1507 m²,,,,724 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,Mazout,,,,Oui,,Non,,À rénover,Super équipée,2,Oui,,3,Oui,,,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8570/anzegem/rbt18007,RBT18007,Appartement à vendre,229000,Kruisweg 11 103,8570 Anzegem,Non,2020,1,,Non,Non,Non,Non,Non,Non,,,1,1,Non,Non,Non,,,2,,,,,Non,68 kWh/m²/an,34002-G-2016_13/EP02179/A001/D01/SD006,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,Double vitrage,,,,Oui,Non,Non,,,,,,,,,1 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8570/vichte/rbt10894,RBT10894,Appartement à vendre,309750,Oudenaardestraat 18 0101,8570 Vichte,,,2,92 m²,,,,,,,,,1,1,,,,4,,2,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,Air pulsé,Double vitrage,,,,Oui,,,,Super équipée,,,,,,,17 m²,"oui, attestation conforme",,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8570/vichte/rbt08791,RBT08791,Appartement à vendre,299680,Vichteplaats 1.6,8570 Vichte,,,2,94 m²,,,,,,,,,1,1,,,,4,,2,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,Non specifié,,,,,Oui,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Indépendante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbt08436,RBT08436,Maison à vendre,295000,Pieter Busschaertstraat 2C,8570 Anzegem,,2024,3,130 m²,,,,,,,Oui,,1,,,Non,,2,,,1,125 m²,,,,,,,Information non communiquée,Information non communiquée,,A l’acte,,Air pulsé,Double vitrage,,,Oui,Oui,,,Nouveau,,,Oui,,,,,,"oui, attestation conforme",,Oui,,,13 m²,12 m²,10 m²,46 m²,,,,,,,,7 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8570/anzegem/rbs89675,RBS89675,Maison à vendre,690000,Vichtsesteenweg 56,8570 Anzegem,,1998,1,1100 m²,,,,,,,Oui,5,,4,,,,4,,,,1450 m²,,,,,,,Pas de risque d’inondation,Information non communiquée,,A l’acte,,Mazout,Double vitrage,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,Indépendante,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
