ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Disponibilité_du_bien,Grenier,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Orientation_de_la_façade_du_bien,Jardin,Terrasse_aménagée,Piscine_extérieure,Le_bien_fait_lobjet_dun_droit_de_préemption,Etat_du_bien,Équipement_de_la_cuisine,Nombre_de_douches,Permis_de_bâtir_obtenu,Meublé,Nombre_de_place_de_parking_intérieur,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Surface_de_la_terrasse,Attestation__Installation_électrique,Panneaux_solaires,Pompe_à_chaleur,Orientation_du_jardin,Étage_de_lappartement,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Surface_du_jardin,Raccordé_au_gaz_de_ville,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Date_de_validité_PEB,Type_de_cuisine,Orientation_de_la_terrasse,Raccordé_aux_égouts,Emission_de_CO2,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Chauffage_au_sol,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Surface_constructible,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Parlophone,Surface_chambre_à_coucher_4,Conso_annuelle_totale_dénergie_primaire,Maison_basse_énergie,Compteur_Bihoraire,Surface_chambre_à_coucher_5,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Station_de_charge_électrique,Niveau_E,Possibilités_pour_profession_libérale,Surface_totale,Niveau_K,Attestation__Installation_électrique__Validité,Surface_de_la_véranda,Adoucisseur_deau,Niveau_S,Appartement_de_service,Citation_pour_infraction_urbanistique
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbs87842,RBS87842,Maison à vendre,,Grote Markt 25,8600 Dixmude,,,4,,Oui,,,,,,,,2,,,,,2,,,,225 m²,,,,740 kWh/m²/an,20210122-0002363215-KNE-1,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,,,,Oui,À rénover,,,Oui,,,Oui,,,"non, pas d'attestation",,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/pervijze/rbs86458,RBS86458,Maison à vendre,314000,Pervijzestraat 41,8600 Pervijze,Non,,4,,Non,Non,Non,Non,Non,Non,,,1,2,,,,,,,,,,,,139 kWh/m²/an,20250310-0003546513-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,Oui,,,,,Oui,Oui,Non,,Excellent,,,,,,Oui,,,"oui, attestation conforme",,,Sud,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/8600/dixmude/rwc38797,RWC38797,Villa à vendre,410550,,8600 Dixmude,,2025,3,799 m²,,,,,,,,,,,,,,4,,,,,,,,,,,Information non communiquée,Information non communiquée,,A convenir,Oui,Non specifié,,,,Oui,,,,Excellent,Super équipée,,,,,Oui,Oui,,,Oui,,,,,,,,,Oui,,,,,,,,Américaine,,Oui,,,,,,,,,Oui,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbs81708,RBS81708,Maison à vendre,329000,Kaaskerkestraat 125,8600 Dixmude,,1937,2,127 m²,,,,,,,,,,,Non,Non,Non,4,25 m,,,3430 m²,100 m,37 m,Non,1132 kWh/m²/an,20210522-0002418938-RES-1,Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Non specifié,Simple vitrage,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbm60359,RBM60359,Maison à vendre,329000,Kaaskerkestraat 125,8600 Dixmude,,1937,,,,,,,,,,,,,,,,4,,,,,,,,1132 kWh/m²/an,20220522-0002418938-RES-1,Zone agricole d'intérêt paysager,Information non communiquée,Information non communiquée,,,,,,,,,,,,À rénover,,,Oui,,,Oui,,,"non, pas d'attestation",,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs57664,RBS57664,Appartement à vendre,179900,Vestenwal 5 21,8600 Dixmude,Non,1995,2,79 m²,Non,Non,Non,Non,Non,Non,,,1,1,Non,Oui,Non,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,Non,,Double vitrage,,,,Oui,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs68607,RBS68607,Appartement à vendre,311000,Bloemmolenkaai 10 2.0.C,8600 Dixmude,,2024,2,103 m²,,,,,,,Oui,,,,Non,Oui,Non,,24 m,8,,,90 m,40 m,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,Gaz,,Non,,,Oui,,Non,,Equipée,,Oui,,,,,32 m²,,,,,0,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,60,,,0,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs68037,RBS68037,Appartement à vendre,442000,Bloemmolenkaai 10 2.0.B,8600 Dixmude,,2024,3,139 m²,,,,,,,Oui,,,,Non,Oui,Non,,24 m,8,,,90 m,40 m,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,Gaz,Double vitrage,Non,,,Oui,,Non,,Equipée,,Oui,,,,,51 m²,,,,,0,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,70,,,0,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/pervijze/rbs65400,RBS65400,Maison à vendre,375000,Veurnestraat 46 A,8600 Pervijze,,2013,1,,,,,,,,,,1,,Non,Non,Non,2,,,,737 m²,,,Non,0 kWh/m²/an,20221223-0002763841-KNR-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs63520,RBS63520,Appartement à vendre,265000,Lekedorpstraat 7 1.2,8600 Dixmude,Non,2014,,99 m²,Non,Non,Non,Non,Non,Non,,,,,Non,Non,Non,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rwc38438,RWC38438,Maison à vendre,286550,,8600 Dixmude,,2025,3,289 m²,,,,,,,,,1,,,,,3,,,,,,,,,,,Information non communiquée,Information non communiquée,,A convenir,Oui,Non specifié,,,,Oui,,,,Excellent,Super équipée,,,,,Oui,Oui,,,Oui,,,,,,,,,Oui,,,,,,,,Américaine,,Oui,,,,,,,,,Oui,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs60964,RBS60964,Appartement à vendre,695000,Generaal Baron Jacquesstraat 27,8600 Dixmude,,,4,543 m²,,,,,,,Oui,1,2,,,,,,,,,,,,,313 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,,,,,,Non,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbs60962,RBS60962,Maison à vendre,420000,Generaal Baron Jacquesstraat 27,8600 Dixmude,,,4,300 m²,,,,,,,Oui,1,2,,,,,2,,,,,,,,313 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,,Excellent,,,,Non,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs60961,RBS60961,Appartement à vendre,420000,Generaal Baron Jacquesstraat 27,8600 Dixmude,,,4,300 m²,,,,,,,Oui,,2,,,,,,,,,,,,,313 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,,Excellent,,,,Non,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbs57957,RBS57957,Maison à vendre,489000,Roeselarestraat 118,8600 Dixmude,Non,,3,,Non,Non,Non,Non,Non,Non,Oui,2,1,1,,,,4,,,6,3181 m²,,,,727 kWh/m²/an,20240919-0003379308-RES-1,Zone agricole d'intérêt paysager,Pas de risque d’inondation,Information non communiquée,,,Non,,,,,Oui,,Non,,,,,,,,,,,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/esen/rbs53464,RBS53464,Maison à vendre,335321,Esenbroekstraat 24,8600 Esen,,2024,3,160 m²,,,,,,,Oui,1,1,2,Non,Non,Non,3,12 m,2,,254 m²,20 m,8 m,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,Immédiatement,,Gaz,Double vitrage,Non,Sud-est,,,,Non,,Equipée,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,30,,,0,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs49924,RBS49924,Appartement à vendre,185000,Esenweg 38 A 0302,8600 Dixmude,,,1,55 m²,,,,,,,Oui,1,1,1,Non,Oui,Non,,16 m,5,1,,18 m,16 m,Non,149 kWh/m²/an,2485269,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Non specifié,Double vitrage,Non,,,Oui,,Non,,Equipée,,Oui,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbr53632,RBR53632,Maison à vendre,139000,Grauwe Broedersstraat 19,8600 Dixmude,Non,1930,3,118 m²,Non,Non,Non,Non,Non,Non,,,1,1,Non,Non,Non,2,7 m,,,125 m²,20 m,8 m,Non,484 kWh/m²/an,20230906-0002982240-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Oui,Gaz,Double vitrage,Non,,Oui,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs29412,RBS29412,Appartement à vendre,259000,Oostendestraat 21 2.4,8600 Dixmude,,,2,,,,,,,,,,1,,Non,Non,Non,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Gaz,,Non,,,Oui,,Non,,Equipée,,Oui,,,,,16 m²,,,,,0,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,40,,,0,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbs29411,RBS29411,Appartement à vendre,237500,Oostendestraat 21 3.3,8600 Dixmude,,,2,100 m²,,,,,,,,,1,1,Non,Oui,Non,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Gaz,,Non,Est,,Oui,,Non,,Equipée,,Oui,,,,,9 m²,,,,,0,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,40,,,0,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rwc37811,RWC37811,Maison à vendre,263050,,8600 Dixmude,Non,2025,3,225 m²,,,,,Oui,,Oui,,,,,,,2,,,1,,,,,,,,Pas de risque d’inondation,Information non communiquée,,A convenir,Oui,Non specifié,,,,,,,,Excellent,Super équipée,,,,1,,Oui,,,Oui,,,,,,,,,Oui,,,,,,,,Américaine,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,23,Non,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbr87349,RBR87349,Appartement à vendre,286500,Esenweg 31 0.3,8600 Dixmude,,,2,171 m²,,,,,,,Oui,1,1,1,Non,Oui,Non,,23 m,4,,,31 m,22 m,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,Gaz,Double vitrage,Non,,Oui,Oui,,Non,,Equipée,,Oui,,,,,8 m²,,,,,0,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,40,,,0,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbo93004,RBO93004,Maison à vendre,695000,Generaal Baron Jacquesstraat 27,8600 Dixmude,,,4,543 m²,,,,,,,Oui,1,2,,,,,2,,,,292 m²,,,,313 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,,,,,,Non,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/8600/dixmude/rbj42713,RBJ42713,Rez-de-chaussée à vendre,137500,Oostvesten 12 01,8600 Dixmude,,1996,2,85 m²,Non,Non,,,,,,,1,,,Non,Non,,,3,,,,,,488 kWh/m²/an,20220909-0002669446-RES-,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Electrique,Double vitrage,,,,,,,À rénover,,,,Non,,,,,"non, pas d'attestation",,,,,,,,,,,,,,,,,06/09/2032,,,,5288,,,,,,,,,,,,,,,Oui,,39699 kWh/an,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbh83226,RBH83226,Maison à vendre,469000,Zannekinstraat 22 A,8600 Dixmude,,2022,3,200 m²,Non,Non,,,,,,,1,,,Non,Non,,,,1,204 m²,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Oui,Gaz,Double vitrage,,,Oui,Non,,,Normal,,,,,,,,,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbh79542,RBH79542,Maison à vendre,265000,Wijnendalestraat 166 A,8600 Dixmude,Non,2023,3,195 m²,Non,Non,Non,Non,Non,Non,,,1,2,Non,Non,Non,3,,,,600 m²,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Oui,,,,,Oui,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbh22080,RBH22080,Appartement à vendre,254000,Esenweg 31,8600 Dixmude,,,2,,,,,,,,Oui,1,1,1,Non,Oui,Non,,23 m,4,,,31 m,22 m,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,Gaz,Double vitrage,Non,,,Oui,,Non,,Equipée,,Oui,,,,,15 m²,,,,,0,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,40,,,0,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbh10049,RBH10049,Appartement à vendre,150000,Generaal Baron Jacquesstraat 18 0031,8600 Dixmude,,,2,63 m²,,,,,,,,,1,1,Non,Non,Non,,8 m,4,,,37 m,8 m,Non,331 kWh/m²/an,2848804,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,Non,,,Electrique,Double vitrage,Non,,,Oui,,Non,,,,Oui,,,,,,,,,,3,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbh10048,RBH10048,Appartement à vendre,160000,Generaal Baron Jacquesstraat 18 0021,8600 Dixmude,,,2,69 m²,,,,,,,,,1,1,Non,Non,Non,,8 m,4,,,37 m,8 m,Non,328 kWh/m²/an,2848791,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Electrique,Double vitrage,Non,,,Oui,,Non,,,,Oui,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbh10047,RBH10047,Appartement à vendre,180000,Generaal Baron Jacquesstraat 18 0012,8600 Dixmude,,,3,86 m²,,,,,,,,,1,1,Non,Non,Non,,8 m,4,,,37 m,8 m,Non,383 kWh/m²/an,2848786,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,,Electrique,Double vitrage,Non,,,Oui,,Non,,,,Oui,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbh10044,RBH10044,Appartement à vendre,297500,Generaal Baron Jacquesstraat 18 001,8600 Dixmude,,,2,204 m²,,,,,,,Oui,,1,1,Non,Non,Non,,8 m,4,,,37 m,8 m,Non,0 kWh/m²/an,2848786,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,Non,,,Electrique,Double vitrage,Non,,,,,Non,,,,Oui,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbd79417,RBD79417,Appartement à vendre,211500,Esenweg 31,8600 Dixmude,,,2,94 m²,,,,,,,Oui,1,1,1,Non,Oui,Non,,23 m,4,,,31 m,22 m,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,,Gaz,Double vitrage,Non,,,Oui,,Non,,Equipée,,Oui,,,,,15 m²,,,,,0,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbd60480,RBD60480,Maison à vendre,279000,Esenweg 145,8600 Dixmude,,,3,,,,,,,,Oui,1,1,1,Non,Non,Non,2,9 m,1,2,582 m²,45 m,13 m,Non,421 kWh/m²/an,20211117-0002494573-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,Oui,,,,Sud,Oui,Oui,,Non,,Equipée,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbt72281,RBT72281,Maison à vendre,405000,Lappersfortstraat,8600 Dixmude,,,4,210 m²,,,,,,,Oui,,1,,,,,3,,,,393 m²,,,,30 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,Oui,,,,,Oui,Oui,,,Excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbt72280,RBT72280,Appartement à vendre,325000,Generaal Baron Jacquesstraat 27,8600 Dixmude,,,2,181 m²,,,,,,,Oui,,1,,,,,,,,,,,,,313 kWh/m²/an,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,,,Excellent,,,,Non,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbt71121,RBT71121,Maison à vendre,425000,Keiemdorpstraat 149,8600 Dixmude,,,3,128 m²,,,,,,,,,1,,,,,2,,,,8000 m²,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbt69359,RBT69359,Maison à vendre,275000,Kuipkeboterstraat 6,8600 Dixmude,Non,1987,3,168 m²,Non,Non,Non,Non,Non,Non,Oui,1,1,2,Oui,Non,Non,2,10 m,2,1,662 m²,35 m,19 m,Non,548 kWh/m²/an,3229147,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Oui,Gaz,Double vitrage,Non,Est,Oui,Oui,Non,Non,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbt69357,RBT69357,Maison à vendre,260000,Werkenstraat 15,8600 Dixmude,Non,1930,2,174 m²,Non,Non,Non,Non,Non,Non,,,2,2,Non,Non,Non,2,6 m,3,,521 m²,54 m,6 m,Non,333 kWh/m²/an,2810044,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Oui,Gaz,Double vitrage,Non,,Oui,Oui,Non,Non,,Equipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8600/dixmude/rbt66794,RBT66794,Maison à vendre,285000,Kruiskalsijdestraat 1,8600 Dixmude,,2024,3,135 m²,,,,,,,Oui,,1,2,Non,Non,Non,2,7 m,3,1,200 m²,29 m,7 m,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,,Oui,Non specifié,,Non,,Oui,,,Non,,Equipée,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbt66089,RBT66089,Appartement à vendre,238000,Lekedorpstraat 44 0102,8600 Dixmude,Non,2024,2,85 m²,Non,Non,Non,Non,Non,Non,Oui,,1,1,Non,Non,Non,,,,1,,,,Non,29 kWh/m²/an,32003-G-OMV_2020172141/EP02064/E260/D01/SD002,"Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,,,,,Oui,Non,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbt66088,RBT66088,Appartement à vendre,235000,Lekedorpstraat 44 0101,8600 Dixmude,Non,2024,2,82 m²,Non,Non,Non,Non,Non,Non,Oui,,1,1,Non,Non,Non,,,,1,,,,Non,29 kWh/m²/an,32003-G-OMV_2020172141/EP02064/E260/D01/SD002,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,,,,,Oui,Non,Non,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8600/dixmude/rbt66087,RBT66087,Appartement à vendre,240000,Lekedorpstraat 44 0001,8600 Dixmude,Non,2024,2,,Non,Non,Non,Non,Non,Non,Oui,1,1,1,Non,Non,Non,,,,,,,,Non,11 kWh/m²/an,32003-G-OMV_2020172141/EP02064/E260/D01/SD001,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Non,,,,,Oui,Oui,Non,Non,,,,,,,,,1 m²,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
