ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Caves,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Alarme_antieffraction,Profondeur_du_terrain,Balcon,Référence_PEB,Affectation_urbanistique_la_plus_récente,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Air_conditionné,Garage,Nombre_de_Garages,Étage_de_lappartement,Parlophone,Orientation_du_jardin,Surface_constructible,Surface_du_séjour,Surface_de_la_cuisine,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Niveau_E,Niveau_K,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Surface_du_garage,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/villa/a-vendre/1180/uccle/vwd13938,VWD13938,Villa à vendre,1550000,Avenue Kamerdelle 21,1180 Uccle,Normal,,1953,A l’acte,5,25 m²,25 m²,21 m²,335 m²,,Oui,Equipée,,3,,,Gaz,Double vitrage,,,,4,,,,Oui,800 m²,,,1096 m²,,,Oui,Oui,Oui,358 kWh/m²/an,,,117,,,,,Pas de risque d’inondation,Information non communiquée,Oui,,,,Oui,,,,,,,,,,Oui,,,,Sud-ouest,,72 m²,20 m²,,,,Oui,,14 m²,,,,,,150 m²,,Oui,,2,,,,,,,,,,,100 m²,9 m²,,,19 m²,,,,,585 m²,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1200/woluwe-saint-lambert/vbc91832,VBC91832,Appartement à vendre,395000,,1200 Woluwe-Saint-Lambert,Normal,Non,1960,A l’acte,3,15 m²,9 m²,9 m²,126 m²,,Oui,Equipée,Américaine,1,,1,Mazout,Double vitrage,Oui,Oui,Sud,2,,7,,,,Oui,6 m²,,,Oui,Oui,Oui,Non,193 kWh/m²/an,24303 kWh/an,24/11/2033,48,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,Oui,1,5,Oui,,,37 m²,10 m²,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1180/uccle/vbc91831,VBC91831,Villa à vendre,950000,,1180 Uccle,Remis à neuf,Non,1953,A l’acte,3,28 m²,11 m²,9 m²,205 m²,Non,,Super équipée,,3,,3,Gaz,Double vitrage,Non,Non,,4,,1,1,Oui,,Oui,70 m²,850 m²,,,Oui,Oui,Non,203 kWh/m²/an,41638 kWh/an,15/10/2029,39,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,Oui,,,Oui,,,27 m²,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3970/bourg-leopold/rbt72890,RBT72890,Maison à vendre,385000,Asdonckstraat,3970 Bourg-Léopold,,,,,3,,,,144 m²,,,,,1,,,,,,,,3,,,,Oui,,Oui,,450 m²,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2060/anvers/rbt72889,RBT72889,Appartement à vendre,259000,Vliegenstraat 4,2060 Anvers,,,,,1,,,,62 m²,,Oui,,,1,,,,,,,,2,,,,,,Oui,,,,,,,,189 kWh/m²/an,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9500/grammont/rbt72886,RBT72886,Maison à vendre,324000,Veldekensdreef 81,9500 Grammont,Normal,Oui,1980,A l’acte,3,13 m²,10 m²,50 m²,215 m²,Non,Oui,,,1,,2,Gaz,Double vitrage,Non,,Nord-ouest,4,11 m,,2,Oui,1200 m²,Oui,40 m²,1364 m²,11 m,Oui,Oui,Oui,,599 kWh/m²/an,,17/04/2035,,"oui, attestation non conforme",Oui,Oui,Non,Pas de risque d’inondation,Information non communiquée,Oui,Oui,,,,,,,,,,,,,Oui,1,,,,,32 m²,9 m²,,,,,,,,,,,Oui,,,,Sud-est,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1070/anderlecht/vbc91824,VBC91824,Appartement à vendre,220000,Avenue des Crocus 9,1070 Anderlecht,Normal,Oui,1963,,1,22 m²,,,89 m²,Non,Oui,,,1,,1,Gaz,Double vitrage,Non,Non,Sud-est,3,,3,,,,,,,,,,,Non,257 kWh/m²/an,22790 kWh/an,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,Oui,2,3,Oui,,,34 m²,10 m²,,,,,,,,,,,,,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9968/oosteeklo/rbt72884,RBT72884,Maison à vendre,675000,Muikemstraat 19 a,9968 Oosteeklo,,Non,1966,A l’acte,5,,,,265 m²,,Non,,,,,,Mazout,Double vitrage,Non,Oui,Sud,4,,,6,Oui,,Oui,25 m²,10130 m²,,,,,Non,,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,,Non,,Non,,Zone agricole,Non,Non,Oui,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9060/zelzate/rbt72883,RBT72883,Maison à vendre,475000,Zonnebloemstraat 37,9060 Zelzate,,Non,2013,,7,,,,280 m²,,Non,,,,,2,Solaire,Triple vitrage,Non,Non,,4,,,4,,,Oui,,336 m²,,,,,Oui,,,,,,,,Non,Pas de risque d’inondation,Information non communiquée,Non,Non,Non,Non,Non,Non,Oui,Non,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Oui,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4041/milmort/vbc91823,VBC91823,Maison à vendre,135000,Rue Masuy 32,4041 Milmort,,,,,3,,,,243 m²,Non,,,,1,1,1,Gaz,Double vitrage,Non,Non,,2,,,1,,,Oui,,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
