ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Grenier,Surface_du_grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_du_séjour,Surface_du_bureau,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Type_de_chauffage,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Surface_constructible,Emission_de_CO2,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Pompe_à_chaleur,Compteur_Bihoraire,Parlophone,Raccordé_au_gaz_de_ville,Niveau_E,Surface_des_caves,Surface_salle_à_manger,Surface_de_la_cuisine,Alarme_antieffraction,Feu_ouvert,Maison_basse_énergie,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Air_conditionné,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Panneaux_solaires_thermiques,Étage_de_lappartement,Porte_daccès_sécurisée,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Installation_électrique__Validité,Possibilités_pour_profession_libérale,Surface_totale,Orientation_du_jardin,Surface_du_dressing,Compteur_deau_individuel,Adoucisseur_deau
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc31749,VBC31749,Maison à vendre,139999,,5070 Vitrival,Oui,1950,A l’acte,3,16 m²,10 m²,12 m²,,254 m²,Non,Oui,,,,,,1,1,2,,,,Double vitrage,Non,Non,,3,,2,,Oui,230 m²,Oui,15 m²,,400 m²,,Oui,Oui,,Non,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,À rénover,,,,,,,,,Equipée,Mazout,,275 kWh/m²/an,,19/09/2033,,69,69867 kWh/an,Américaine,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vbc44137,VBC44137,Maison à vendre,990000,Rue de la Giloterie 19,5070 Vitrival,Non,,A convenir,5,,,,,506 m²,Non,Non,,,,,,3,,5,,,,,Non,,Sud,4,,,6,Oui,,Oui,,,19302 m²,,,,,Oui,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Normal,,,Non,Non,Non,Non,Non,Non,,Non specifié,,146 kWh/m²/an,,,,146,59460 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/vitrival/vaw61178,VAW61178,Maison à vendre,270000,,5070 Vitrival,Non,,,5,,,,,,Non,Oui,,Oui,2,,,1,,1,,,,,Non,,,3,,,3,Oui,,Oui,,,,,,Oui,,,pas d'application,,,,Information non communiquée,Information non communiquée,Normal,,,Non,Non,Non,Non,Non,Non,,Mazout,,319 kWh/m²/an,20210421023768,21/04/2031,,,73707 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc91165,VBC91165,Maison à vendre,180000,Rue de Rome 5,5070 Fosses-la-Ville,Non,,A l’acte,3,,,,,170 m²,Non,Non,,Oui,,,,1,,1,,,,,Non,,Nord,3,,,,,,Oui,25 m²,,,,,Oui,,,"oui, attestation non conforme",,,,Information non communiquée,Information non communiquée,Normal,37 m²,,Non,Non,Non,Non,Non,Non,,Mazout,,557 kWh/m²/an,,26/04/2032,100 m²,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5070/sart-eustache/rwc39919,RWC39919,Villa à vendre,361050,,5070 Sart-Eustache,Non,2025,A convenir,3,,,,,1 m²,,,,Oui,,1,,,,,,Oui,Oui,Double vitrage,,,,4,,,2,Oui,,,,,1192 m²,,Oui,Oui,Oui,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Excellent,,,,,,,,,Super équipée,Solaire,,,,,,,,Américaine,Oui,Oui,Oui,Oui,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5070/fosses-la-ville/rwc39895,RWC39895,Villa à vendre,336050,,5070 Fosses-la-Ville,,2025,A convenir,3,,,,,1 m²,,Oui,,Oui,,1,,,,,,Oui,Oui,Double vitrage,,,,4,,,2,Oui,,,,,1207 m²,,Oui,Oui,Oui,,"oui, attestation conforme",,Oui,,Pas de risque d’inondation,Information non communiquée,Excellent,,,,,,,,,Super équipée,Solaire,,,,,,,,Américaine,Oui,Oui,Oui,Oui,23,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc87296,VBC87296,Maison à vendre,349000,Rue du Tisserand 1,5070 Fosses-la-Ville,,,Immédiatement,5,20 m²,16 m²,16 m²,16 m²,195 m²,,Oui,,,,,,,1,1,,,,,,,Sud,4,,,,Oui,,Oui,10 m²,,892 m²,,Oui,Oui,,,,,,,Information non communiquée,Information non communiquée,À rénover,47 m²,,Oui,,Oui,,,,,Bois,,544 kWh/m²/an,,13/06/2035,,6,127227 kWh/an,,,,,,,,20 m²,20 m²,,,,12 m²,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc78902,VBC78902,Maison à vendre,650000,Place de Hauvent 9 A,5070 Fosses-la-Ville,Non,,,3,,,,,362 m²,Non,Oui,,Oui,1,,,2,,3,,,,,Non,,Sud-est,4,,1,3,Oui,1004 m²,,,,1004 m²,,,,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Nouveau,,,Non,Non,Non,Non,Non,Non,Super équipée,Gaz,,145 kWh/m²/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc01262,VBC01262,Maison à vendre,165000,Rue du Ministre 2,5070 Fosses-la-Ville,,,,4,7 m²,7 m²,13 m²,17 m²,111 m²,,Oui,30 m²,,,,,1,1,2,7 m²,,,Double vitrage,Non,Non,,2,10 m,2,,,,Oui,25 m²,,80 m²,10 m,Oui,Oui,,Non,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,Normal,,7 m²,Oui,Oui,Oui,,,,Equipée,,8 m,415 kWh/m²/an,,,,104,69045 kWh/an,Américaine,,,,Oui,,13 m²,17 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc61252,VBC61252,Maison à vendre,364736,,5070 Fosses-la-Ville,,,,3,,,,,185 m²,,,,Oui,1,,,2,,2,,,,,,,,4,9 m,,,,,,,,401 m²,9 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
