ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Grenier,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_du_séjour,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Attestation__Asbuilt,Bien_actuellement_loué,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_douches,Surface_chambre_à_coucher_1,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Type_de_vitrage,Accessible_aux_moins_valides,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Surface_des_caves,Parlophone,Surface_totale,Surface_chambre_à_coucher_2,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Orientation_de_la_terrasse,Surface_du_bureau,Panneaux_solaires_thermiques,Attestation__Citernes_à_mazout,Largeur_de_la_façade,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_jardin,Surface_salle_à_manger,Alarme_antieffraction,Largeur_du_terrain_à_rue,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Chauffage_au_sol,Feu_ouvert,Orientation_du_jardin,Citerne_à_eau_de_pluie,Possibilités_pour_profession_libérale,Surface_constructible,Pompe_à_chaleur,Attestation__Installation_électrique__Validité,Adaptations_pour_les_seniors,Surface_du_grenier,Espace_ouvert_sensible_à_leau__WORG,Balcon,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Maison_basse_énergie,Station_de_charge_électrique,Surface_du_garage,Adoucisseur_deau,Porte_daccès_sécurisée,Air_conditionné,Niveau_E,Appartement_de_service,Compteur_Bihoraire,Compteur_deau_individuel,Domotique,HammamSaunaJacuzzi
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc65057,VBC65057,Maison à vendre,290000,Rue des Tilleuls 85,1435 Mont-Saint-Guibert,,1965,A l’acte,3,,,,Oui,,,1,2,Mazout,,,4,,Oui,,,351 kWh/m²/an,67561 kWh/an,20250324033271,,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,2,,,,,,,,,,,,,,,Double vitrage,,,,,,,,,,,,,,Non,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc58362,VBC58362,Appartement à vendre,230000,Rue del Gatte 10 D,1435 Mont-Saint-Guibert,Normal,,A l’acte,1,65 m²,Non,,,,,,1,Electrique,Non,,,2,Non,Oui,,479 kWh/m²/an,40834 kWh/an,20250307008299,07/03/2035,123,"oui, attestation conforme",Information non communiquée,Information non communiquée,,0,,36 m²,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc57826,VBC57826,Maison à vendre,195000,,1435 Mont-Saint-Guibert,À rénover,1927,Immédiatement,3,106 m²,Non,Oui,Oui,1,Semi-équipée,1,,Gaz,Non,Nord-est,2,,Oui,Non,1068 m²,260 kWh/m²/an,29802 kWh/an,20250325033414,25/03/2035,,pas d'application,Information non communiquée,Information non communiquée,30 m²,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc55633,VBC55633,Appartement à vendre,299000,Prairie du Quewet 4 102,1435 Mont-Saint-Guibert,Excellent,2019,,1,61 m²,Non,,,,Super équipée,1,1,Gaz,Oui,,,1,,Oui,,66 kWh/m²/an,4056 kWh/an,,,,,Information non communiquée,Information non communiquée,30 m²,1,,6 m²,,Oui,Oui,,,,,,1,12 m²,,,,Double vitrage,Oui,,Oui,Oui,,,Oui,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1435/mont-saint-guibert/vbc52103,VBC52103,Appartement à vendre,375000,Rue Musette 14,1435 Mont-Saint-Guibert,Nouveau,2025,A l’acte,3,111 m²,Non,,Oui,1,,2,2,Gaz,Non,Ouest,2,1,,Oui,,61 kWh/m²/an,6828 kWh/an,,07/03/2035,6,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,38 m²,2,2,4 m²,,,,,,,,,,16 m²,Indépendante,15 m²,,Double vitrage,Non,Oui,Oui,Oui,Non,,Oui,,15 m²,1,Oui,Est,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc48880,VBC48880,Maison à vendre,399000,,1435 Mont-Saint-Guibert,À rénover,1960,A l’acte,4,190 m²,Non,,Oui,1,,2,2,,Non,,4,,Oui,Oui,1450 m²,498 kWh/m²/an,498 kWh/an,,05/07/2024,124,"oui, attestation non conforme",Risque moyen,Information non communiquée,58 m²,,1,,,Non,Oui,,Oui,,,,4,95 m²,,11 m²,,Double vitrage,Non,Oui,,,Non,,,,7 m²,,,Est,10 m²,,,,10 m²,12 m²,12 m²,800 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc38487,VBC38487,Maison à vendre,275000,,1435 Mont-Saint-Guibert,À rénover,1900,Immédiatement,3,130 m²,Non,,Oui,2,Super équipée,1,2,Mazout,Non,Est,2,,Non,Non,1044 m²,449 kWh/m²/an,57457 kWh/an,20250217007911,17/02/2035,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,24 m²,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc12881,VBC12881,Maison à vendre,249000,Rue Auguste Lannoye 25,1435 Mont-Saint-Guibert,À rénover,,A l’acte,3,113 m²,Non,Oui,,,Semi-équipée,1,1,Gaz,Non,Sud-ouest,2,,Oui,Oui,283 m²,399 kWh/m²/an,51293 kWh/an,,05/11/2034,,"oui, attestation non conforme",Risque moyen,Information non communiquée,,,2,45 m²,,Non,Oui,,Oui,,,,1,11 m²,Kitchenette,15 m²,,Double vitrage,Non,Oui,Oui,Oui,Non,,,,10 m²,,,,,,,5 m,7 m²,,,46 m²,19 m²,Oui,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1435/mont-saint-guibert/vbc08373,VBC08373,Duplex à vendre,295000,,1435 Mont-Saint-Guibert,À rénover,1975,Immédiatement,3,96 m²,Non,,Oui,1,Super équipée,,2,Gaz,Non,Sud,2,1,Oui,Oui,,207 kWh/m²/an,26465 kWh/an,20241114006580,14/11/2034,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,23 m²,0,,12 m²,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/mont-saint-guibert/vbc08368,VBC08368,Maison à vendre,295000,,1435 Mont-Saint-Guibert,À rénover,1975,Immédiatement,3,96 m²,Non,,Oui,1,Super équipée,,2,Gaz,Non,Sud,2,1,Oui,Oui,205 m²,207 kWh/m²/an,26465 kWh/an,20241114006580,14/11/2034,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,23 m²,,,12 m²,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1435/hevillers/vbc07239,VBC07239,Maison à vendre,625000,,1435 Hévillers,Normal,1850,Immédiatement,4,240 m²,Non,,,,,2,,Mazout,Non,Nord-ouest,4,2,Oui,Oui,1400 m²,55 kWh/m²/an,14695 kWh/an,20241126017954,26/11/2034,,"oui, attestation conforme",Information non communiquée,Information non communiquée,41 m²,,,40 m²,,,,,,,,,1,,,,,,,,Oui,Oui,,,,,,,Oui,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
