ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_façades,Largeur_de_la_façade,Surface_totale_du_terrain,Surface_constructible,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Meublé,Équipement_de_la_cuisine,Type_de_cuisine,Surface_du_jardin,Largeur_du_terrain_à_rue,Emission_de_CO2,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Type_de_vitrage,Raccordé_aux_égouts,Raccordé_à_leau_courante,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_salle_à_manger,Nombre_de_douches,Parlophone,Orientation_de_la_façade_du_bien,Orientation_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Étage_de_lappartement,Pompe_à_chaleur,Appartement_de_service,Surface_de_la_cuisine,Profondeur_du_terrain,Attestation__Installation_électrique__Validité,Surface_de_lades_salles_de_bain,Station_de_charge_électrique,Chauffage_au_sol,Porte_daccès_sécurisée,Surface_totale,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Surface_du_garage,Compteur_Bihoraire,Attestation__Asbuilt,Maison_basse_énergie,Niveau_E,Compteur_électrique_individuel,Possibilités_pour_profession_libérale,Panneaux_solaires_thermiques,Niveau_K,Niveau_S,Attestation__Citernes_à_mazout__Validité,Domotique,Attestation__Citernes_à_mazout
https://immovlan.be/fr/detail/maison/a-vendre/9870/zulte/rbs68809,RBS68809,Maison à vendre,250000,Waalstraat 46,9870 Zulte,,5,,Oui,Oui,,,,,,Oui,,,314 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Immédiatement,2,,,,,,Non,,,,,,,,,Non,,,,,,,Non,Equipée,,,,,1,,,,,Oui,Non,,,,,,,,,,,,,,,,,868 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/zulte/rbm28149,RBM28149,Maison à vendre,479000,Kruishoutemstraat 17,9870 Zulte,,,174 m²,,,,,,,,Oui,4,,1360 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1956,A l’acte,,,,,,Non,Non,Non,2,,Oui,,Non,,,Non,Non,,,,,,,,,,,,1,,Double vitrage,,,Oui,Non,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/machelen/rbs99228,RBS99228,Maison à vendre,285000,Petegemstraat 1,9870 Machelen,Non,,,,Non,Non,Non,Non,Non,Non,,2,,1010 m²,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",Pas de risque d’inondation,Information non communiquée,1896,A l’acte,,,,,,Non,Non,Non,,20,,Oui,Non,372 kWh/m²/an,20240614-0003282396-RES-1,Non,Non,,,,,,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/olsene/rbt27028,RBT27028,Maison à vendre,375415,Nieuwlandstraat 46 (lot 1),9870 Olsene,Non,4,,Non,Non,Non,Non,Non,Non,Non,,3,,279 m²,,Non,"non, pas d'attestation","Zone, info non disponible",Information non communiquée,Information non communiquée,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/olsene/rbt27027,RBT27027,Maison à vendre,371245,Nieuwlandstraat 46 (lot 2),9870 Olsene,Non,4,,Non,Non,Non,Non,Non,Non,Non,,2,,230 m²,,Non,"non, pas d'attestation","Zone, info non disponible",Information non communiquée,Information non communiquée,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/olsene/rbt27026,RBT27026,Maison à vendre,375000,Nieuwlandstraat 46 (lot 3),9870 Olsene,Non,4,,Non,Non,Non,Non,Non,Non,Non,,3,,280 m²,,Non,"non, pas d'attestation","Zone, info non disponible",Information non communiquée,Information non communiquée,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/machelen/rbt05155,RBT05155,Maison à vendre,439000,Donkerstraat 65A A,9870 Machelen,Non,3,218 m²,,Oui,,Oui,,,,Oui,3,7 m,401 m²,,Non,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2024,Immédiatement,2,2,Oui,Air pulsé,,,Non,Non,2,2,Oui,Oui,,10 kWh/m²/an,,Non,,Nouveau,18 m²,12 m²,12 m²,,Non,,Indépendante,401 m²,7 m,2,1,,Double vitrage,Oui,Oui,Oui,Oui,,,,,Non,,47 m²,47 m²,2,Oui,,,20 m²,Sud-est,,Oui,10 kWh/an,,,Oui,,47 m²,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/machelen/rbt05154,RBT05154,Maison à vendre,585000,Donkerstraat 63,9870 Machelen,Non,3,185 m²,,Oui,,Oui,,,,Oui,3,8 m,674 m²,,Non,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2024,Immédiatement,2,2,Oui,Air pulsé,,,Non,Non,2,2,Oui,Oui,,10 kWh/m²/an,,Non,,Nouveau,15 m²,11 m²,9 m²,,Non,,Indépendante,674 m²,8 m,2,1,,Double vitrage,Oui,Oui,Oui,Oui,,,,,Non,,45 m²,45 m²,1,Oui,,,25 m²,Sud-est,,Oui,10 kWh/an,,,Oui,,45 m²,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/machelen/rbt05153,RBT05153,Maison à vendre,525000,Donkerstraat 63,9870 Machelen,Non,3,185 m²,,Oui,,Oui,,,,Oui,3,8 m,674 m²,,Non,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2024,Immédiatement,2,2,Oui,Air pulsé,,,Non,Non,2,2,Oui,Oui,,10 kWh/m²/an,,Non,,Nouveau,15 m²,11 m²,9 m²,,Non,,Indépendante,674 m²,8 m,,1,,Double vitrage,Oui,Oui,Oui,Oui,,,,,Non,,45 m²,45 m²,1,Oui,,,25 m²,Sud-est,,Oui,10 kWh/an,,,Oui,,45 m²,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9870/machelen/rbt05152,RBT05152,Maison à vendre,499000,Donkerstraat 65A A,9870 Machelen,Non,3,218 m²,,Oui,,Oui,,,,Oui,3,7 m,401 m²,,Non,"oui, attestation conforme",,Information non communiquée,Information non communiquée,2024,Immédiatement,2,2,Oui,Air pulsé,,,Non,Non,2,2,Oui,Oui,,10 kWh/m²/an,,Non,,Nouveau,18 m²,12 m²,12 m²,,Non,,Indépendante,401 m²,7 m,2,1,,Double vitrage,Oui,Oui,Oui,Oui,,,,,Non,,47 m²,47 m²,2,Oui,,,20 m²,Sud-est,,Oui,10 kWh/an,,,Oui,,47 m²,,,,,,,,,,,,,,,,,,,,,,,
