ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_habitable,Meublé,Surface_du_séjour,Caves,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Attestation__Installation_électrique,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Jardin,Orientation_du_jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Affectation_urbanistique_la_plus_récente,Disponibilité_du_bien,Air_conditionné,Alarme_antieffraction,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,Raccordé_au_gaz_de_ville,Nombre_détages_de_limmeuble,Surface_chambre_à_coucher_4,Nombre_de_douches,Chauffage_au_sol,Surface_du_jardin,Citerne_à_eau_de_pluie,Emission_de_CO2,Espace_ouvert_sensible_à_leau__WORG,Conso_annuelle_totale_dénergie_primaire,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Surface_constructible,Attestation__Citernes_à_mazout,Compteur_électrique_individuel,Compteur_deau_individuel,Niveau_E,Niveau_K,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Compteur_Bihoraire,Appartement_de_service,Surface_du_bureau,Surface_du_grenier,Surface_du_garage,Profondeur_du_terrain,Niveau_S,Possibilités_pour_profession_libérale,Attestation__Installation_électrique__Validité,Surface_des_caves,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Adoucisseur_deau,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_totale,Compteur_de_gaz_individuel,Surface_salle_à_manger,Porte_de_garage_motorisée,Clef_électronique,Surface_du_dressing
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc80142,VBC80142,Appartement à vendre,215000,,1000 Bruxelles,,Non,,1,,50 m²,Non,21 m²,Non,,,,,1,1,,,,,,,Non,,,,,,,Non,,,,,,,pas d'application,,,,,Information non communiquée,Information non communiquée,,,Non,Non,Non,Non,Non,Non,Non,,,371 kWh/m²/an,20171211-0000517712-01-8,11/12/2027,,,Réserve naturelle,A l’acte,,,,,,,,3,,,,,,74,,19917 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc80121,VBC80121,Appartement à vendre,1049000,Rue de la Pépinière 20 B21,1000 Bruxelles,Nouveau,,2025,3,15 m²,164 m²,Non,56 m²,Oui,Oui,1,Super équipée,,3,3,,,,,Double vitrage,Oui,Oui,Oui,2,,,,,Oui,31 m²,Sud-est,,,,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,18 m²,18 m²,,,,,,,Oui,,,62 kWh/m²/an,,,,,,,,,,,,,Oui,6,,3,,,,20,,,,,Oui,,,,,,,53,,,,,,,,,,,,,Oui,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc80120,VBC80120,Appartement à vendre,1859000,Rue de la Pépinière 20 A51,1000 Bruxelles,Nouveau,Non,2025,3,27 m²,207 m²,Non,58 m²,Oui,Oui,1,Super équipée,,3,3,,,,,Double vitrage,Oui,Oui,Oui,5,,2,,,Oui,79 m²,Sud-est,,,,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,17 m²,18 m²,,,,,,,Oui,,,62 kWh/m²/an,,,,,,,,,,,,,Oui,6,,2,Oui,,,20,,,,,Oui,,,,,,,53,,,,,,,,,,,,,Oui,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc80119,VBC80119,Appartement à vendre,445000,Rue de la Pépinière 20 B14,1000 Bruxelles,Nouveau,,2025,1,14 m²,69 m²,Non,28 m²,Oui,Oui,1,Super équipée,,1,1,,,,,Double vitrage,Oui,Oui,Oui,1,,,,,,,,,,,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,Oui,,,62 kWh/m²/an,,,,,,,,,,,,,Oui,6,,1,,,,20,,,,,Oui,,,,,,,53,,,,,,,,,,,,,Oui,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc79465,VBC79465,Appartement à vendre,345000,Rue Marie-Thérèse 22,1000 Bruxelles,Normal,Oui,1890,1,16 m²,90 m²,,,,,,,,1,1,,,,,,,Non,Non,2,,2,,,,,,,,,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,239 kWh/m²/an,,,,,,,,,,,,,,3,,1,,,,46,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc79263,VBC79263,Appartement à vendre,725000,Rue de la Pépinière 16-32,1000 Bruxelles,Nouveau,,2027,2,17 m²,114 m²,Non,39 m²,Oui,Oui,,Super équipée,,2,2,,,Gaz,,Double vitrage,Oui,Oui,Oui,1,Sud,2,,,Oui,13 m²,Nord-ouest,,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,14 m²,,,,,,,,Oui,,,45 kWh/m²/an,,,,,,,,,,,,,Oui,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/1000/bruxelles/vbc79262,VBC79262,Penthouse à vendre,1595000,Rue de la Pépinière 16-32,1000 Bruxelles,Nouveau,,2027,3,16 m²,156 m²,Non,49 m²,Oui,Oui,,Super équipée,,2,2,9 m²,,Gaz,,Double vitrage,Oui,Oui,Oui,6,Sud-ouest,2,,,Oui,58 m²,Nord-ouest,,Oui,Oui,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,12 m²,12 m²,,,,,,,Oui,,,95 kWh/m²/an,,,,,,,,,,,,,Oui,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc63500,VBC63500,Appartement à vendre,320000,Drève du Parc 15 36,1000 Bruxelles,Excellent,Oui,2021,1,15 m²,69 m²,Non,28 m²,,,,Super équipée,,1,1,,,,,Double vitrage,Oui,Oui,Oui,6,,2,,,Oui,18 m²,Ouest,,Oui,Oui,Non,"oui, attestation conforme",,,,,Information non communiquée,Riveraine d’une zone inondable délimitée,,,,,,,,Oui,,,,39 kWh/m²/an,,10/12/2033,,Non,,,,,Oui,Non,,,,,,1,,,,8,,2778 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/1000/bruxelles/vbc79093,VBC79093,Immeuble mixte à vendre,849000,,1000 Bruxelles,Normal,,1965,8,25 m²,340 m²,Non,,Oui,,,Semi-équipée,,6,,,,Gaz,,,,Non,Non,,,2,8 m,,Oui,,,8 m,Oui,Oui,Non,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,20 m²,18 m²,Oui,,,,,,,,207 m²,400 kWh/m²/an,,,Non,Oui,,,,,,Non,,,Oui,2,18 m²,7,,,,58,,,,,,,,,,,,,Kitchenette,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1000/bruxelles/vbc78828,VBC78828,Appartement à vendre,645000,Rue Antoine Dansaert 64,1000 Bruxelles,Excellent,Non,1900,1,15 m²,80 m²,Oui,,,,,Super équipée,,1,1,,,Gaz,,,,Non,Non,2,,2,,,,,,,,,Non,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,243 kWh/m²/an,,,,,,A l’acte,,,,,,,,4,,1,,,,48,,19323 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
