ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Buanderie,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Citerne_à_eau_de_pluie,Piscine_extérieure,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Espace_ouvert_sensible_à_leau__WORG,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Local_vélo,Garage,Nombre_de_Garages,Ascenseur,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Surface_du_garage,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Surface_du_jardin,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Surface_du_grenier,Type_de_cuisine,Étage_de_lappartement,Affectation_urbanistique_la_plus_récente,Surface_des_caves,Alarme_antieffraction,Largeur_du_terrain_à_rue,Balcon,Surface_du_bureau,Surface_salle_à_manger,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_aux_égouts,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Pompe_à_chaleur,Station_de_charge_électrique,Adoucisseur_deau,Orientation_de_la_terrasse,Nombre_de_douches
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbs37445,RBS37445,Maison à vendre,310000,Kapelstraat 17,3870 Heers,,1850,A l’acte,4,,,,,,228 m²,,,Non,,,1,,,,Gaz,Simple vitrage,Non,4,,Oui,,,,2787 m²,,Non,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,,,Non,451 kWh/m²/an,20241210-0003474728-RES-1,,,,Non,Sud,4,,,,Non,13 m,,,69 m,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,18 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3870/heers/rbo64445,RBO64445,Maison à vendre,135000,Truyerstraat 11,3870 Heers,À rénover,1874,,2,,,,,,97 m²,Non,,,Semi-équipée,,1,,,,Gaz,,,3,,Non,,Non,,90 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Non,,20240702-0003294019-RES-1,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/kortijs/rbs24222,RBS24222,Maison à vendre,260000,Pastorijstraat 3,3890 Kortijs,À rénover,1975,A convenir,4,,,,,,321 m²,Non,,Non,Semi-équipée,,2,,,,Mazout,,,,,Oui,,Non,,240 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Non,Non,Non,Non,Non,Oui,2,Non,297 kWh/m²/an,20200113-0002235716-RES-1,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/jeuk/rbt68479,RBT68479,Maison à vendre,454000,Albert Moyaertsstraat 24,3890 Jeuk,Nouveau,2025,,3,,,,,,170 m²,Non,,Non,,,1,,,Oui,Gaz,,,,,,,,,,,,,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,Oui,1,Non,,,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/jeuk/rbt68477,RBT68477,Maison à vendre,436600,Albert Moyaertsstraat 24,3890 Jeuk,Nouveau,2025,,3,,,,,,176 m²,Non,,Non,Super équipée,,1,,,Oui,Gaz,,,,,Oui,,Non,,487 m²,,,Oui,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,Oui,1,Non,,,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/niel-bij-sint-truiden/rbt47973,RBT47973,Maison à vendre,250000,Statiestraat 26,3890 Niel-bij-Sint-Truiden,À rénover,1874,A l’acte,4,,,,,,131 m²,Non,,Non,,,1,,,,Mazout,,,,,,,,,937 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,Oui,1,Non,1087 kWh/m²/an,20250528-0003612289-RES1,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbt43399,RBT43399,Maison à vendre,749000,Opheimstraat 2,3890 Gingelom,Normal,1874,A partir du : 19/01/2025,6,19 m²,29 m²,29 m²,,,571 m²,,28 m²,Oui,,18 m²,3,,8 m²,Non,Gaz,Double vitrage,Oui,3,,Oui,,,,1577 m²,,Non,,,Non,,,,,Risque élevé,Information non communiquée,,Non,Non,Non,Non,Oui,Oui,Non,Oui,,,239 kWh/m²/an,0003602342-RES-1,"non, pas d'attestation",,Non,,Ouest,3,,,,,,,,,,Oui,,,,"Zone, info non disponible",,Non,,,18 m²,28 m²,37 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,"non, pas d'attestation",Non,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbt42547,RBT42547,Maison à vendre,125000,Steenweg 73,3890 Gingelom,,1918,A l’acte,2,,,,,,113 m²,,,Non,,,1,1,,,Non specifié,Double vitrage,Non,3,,Oui,,Oui,,168 m²,,Non,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,Non,Non,Oui,Non,Non,Non,Non,,,Non,579 kWh/m²/an,20250513-0003599372-RES-1,,,,Non,Est,4,,,,Non,6 m,,,29 m,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,6 m,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbt39316,RBT39316,Maison à vendre,215000,Brugstraat 2 B,3890 Gingelom,À rénover,,,7,,,,,,500 m²,Non,,,,,3,,,,Non specifié,,,,,Oui,,,,319 m²,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Non,Non,,,,Oui,1,Non,,,pas d'application,22 m²,,Non,Nord,,,,,Non,16 m,319 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/jeuk/vbc79615,VBC79615,Maison à vendre,225000,Roland Snyersstraat 4,3890 Jeuk,Normal,1870,A l’acte,1,,,,,,97 m²,Non,,,,9 m²,1,1,8 m²,,Mazout,Double vitrage,,3,2,Oui,Sud-ouest,Oui,24 m²,1337 m²,,Non,Non,Non,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,,Oui,1,Non,,,"oui, attestation non conforme",,,Non,,1,,,,,10 m,1217 m²,,87 m,,,,,,,,,10 m,,,19 m²,,,,,,,,,,Oui,,,,,,,
