ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Buanderie,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Type_de_vitrage,Compteur_électrique_individuel,Compteur_Bihoraire,Compteur_de_gaz_individuel,Étage_de_lappartement,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Orientation_du_jardin,Terrasse_aménagée,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_du_séjour,Surface_du_bureau,Grenier,Nombre_de_douches,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Surface_du_jardin,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Caves,Surface_des_caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Parlophone,Alarme_antieffraction,Accessible_aux_moins_valides,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Date_de_validité_PEB,Emission_de_CO2,Véranda,Dressing,Local_vélo,Surface_chambre_à_coucher_5,Surface_du_grenier,Surface_de_la_véranda,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Pompe_à_chaleur,Air_conditionné,Attestation__Citernes_à_mazout,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Asbuilt,Compteur_deau_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_dressing,Appartement_de_service
https://immovlan.be/fr/detail/villa/a-vendre/5500/dinant/vbc90007,VBC90007,Villa à vendre,270000,Fond Al Gotte 17,5500 Dinant,Normal,Non,1996,A l’acte,3,112 m²,Non,,,,,,,,,,,,4,1,Oui,,Oui,,Oui,252 kWh/m²/an,20250615001205,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,16 m²,,Non,1,1,Non,Nord-est,1549 m²,1659 m²,110 m²,59 m,,,,,Non,,Non,,Oui,,,,,,,,,,,,,,,,,3,10 m²,,,,8000,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5500/dinant/vbc89859,VBC89859,Villa à vendre,320000,Rue du Centre 42,5500 Dinant,Normal,Non,,Immédiatement,4,180 m²,Non,,,2,,Non,Bois,Double vitrage,,,,,,,Oui,,Oui,Non,Oui,362 kWh/m²/an,20241120010280,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Non,23 m²,,Non,,3,Non,,1250 m²,,1250 m²,,15 m²,23 m²,14 m²,14 m²,Non,,Non,,,,,,14 m²,10 m²,,,Non,,,,Non,,Non,Non,,1,25 m²,,,,,Non,Non,Non,,,,Non,,,Non,,Oui,pas d'application,Non,Non,Non,Non,Non,Non,Non,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5500/dinant/vbc88742,VBC88742,Villa à vendre,340000,Rue de la Pommeraie 2,5500 Dinant,Normal,Non,,Immédiatement,4,200 m²,Non,,,3,,Non,,Double vitrage,,,,,,,Oui,,Oui,Non,Oui,286 kWh/m²/an,20160808013375,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Non,164 m²,,Oui,,2,Non,,770 m²,,770 m²,,17 m²,18 m²,14 m²,13 m²,Non,,Non,,Oui,,1,,19 m²,4 m²,,,Non,,,,Non,,Non,Non,,1,25 m²,,,,,Non,Non,Non,,,,Non,,,Non,,Non,pas d'application,Non,Non,Non,Non,Non,Non,Non,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc88681,VBC88681,Maison à vendre,310000,,5500 Dinant,,Non,1966,A convenir,3,144 m²,Non,,,1,,,Mazout,,,,,,4,2,Oui,,Oui,Oui,Oui,313 kWh/m²/an,20250611015892,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,36 m²,,Oui,,1,Non,Ouest,680 m²,680 m²,,,,,,,Non,,Non,,Oui,1,,,,,,,,,,,,,,,,1,14 m²,,,11/06/2035,79,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc87410,VBC87410,Appartement à vendre,149000,,5500 Dinant,,Non,1850,,2,92 m²,Non,Super équipée,,1,,,Gaz,,,,,1,2,1,,,,Oui,Oui,119 kWh/m²/an,20230509006937,"oui, attestation conforme",Risque élevé,Inondable délimitée,Non,19 m²,,Non,,1,Non,,,,92 m²,,,,,,Non,,Non,,,,,,,,,,,,,,Non,,,,,1,,,,09/05/2033,22,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/5500/dinant/vbc87484,VBC87484,Duplex à vendre,145000,Rue Saint-Jacques 236 3,5500 Dinant,Normal,Oui,,,2,91 m²,,Equipée,Américaine,1,,,Gaz,Double vitrage,,,,2,3,1,,,,Oui,Oui,320 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Non,21 m²,,,1,1,Non,Sud-est,,,,,12 m²,13 m²,,,,,,,,,,,7 m²,7 m²,,,Non,,,,,,,Non,,,,,Oui,12/11/2033,59,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc87483,VBC87483,Appartement à vendre,145000,,5500 Dinant,Normal,,,A l’acte,2,91 m²,,Semi-équipée,Kitchenette,1,,,Gaz,Double vitrage,,,,,3,1,,,,Oui,Oui,181 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Non,26 m²,,,1,1,Non,,,,,,14 m²,11 m²,,,,,,,,,,,9 m²,8 m²,,,Non,17904 kWh/an,,,,,,Non,,1,,,Oui,25/10/2017,34,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/5500/dinant/vbc87468,VBC87468,Duplex à vendre,145000,Rue Saint-Jacques 234 3,5500 Dinant,Normal,Non,2001,A l’acte,2,91 m²,,Semi-équipée,Kitchenette,1,,,Gaz,Double vitrage,,,,2,2,,,,,Oui,Oui,317 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Non,28 m²,,,1,1,Non,Nord-est,,,,,16 m²,12 m²,,,,,,,,,,,,6 m²,,,Non,21704 kWh/an,,,,,,Non,,,,,,12/11/2033,34,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc87467,VBC87467,Appartement à vendre,145000,Rue Saint-Jacques 234 2,5500 Dinant,Normal,Non,2003,A l’acte,2,81 m²,,Equipée,Américaine,1,,,Gaz,Double vitrage,,,,1,2,2,,,Oui,Oui,Oui,181 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Non,14 m²,,,1,1,Non,Nord-est,,,,,13 m²,,,,,,,,,,,,10 m²,9 m²,,,Non,17904 kWh/an,,,,,,Non,,1,,,Oui,25/10/2027,34,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc53156,VBC53156,Maison à vendre,99000,,5500 Dinant,À rénover,,,,1,71 m²,,,Indépendante,1,,,Mazout,Double vitrage,,,,,4,2,Oui,,Oui,,Oui,423 kWh/m²/an,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,24 m²,,Oui,1,1,Non,,1865 m²,1900 m²,,77 m,,,,,,,,,,,,,11 m²,,,,Non,47677 kWh/an,,,,,,Non,9 m,,,9 m,Oui,25/05/2030,,,,,,25 m²,,,,,,,,,,,,,,,,,,,,
