ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Station_de_charge_électrique,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_de_la_cuisine,Nombre_de_places_de_parking_extérieur,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_des_caves,Grenier,Surface_de_lades_salles_de_bain,Type_de_chauffage,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_durbanisation_accordé,Véranda,Dressing,Buanderie,Local_vélo,Balcon,Piscine_extérieure,Référence_PEB,Affectation_urbanistique_la_plus_récente,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Pompe_à_chaleur,Surface_du_grenier,Surface_constructible,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_au_gaz_de_ville,Attestation__Asbuilt,Surface_du_garage,Type_de_cuisine,Conso_annuelle_totale_dénergie_primaire,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Possibilités_pour_profession_libérale,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Parlophone,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Espace_ouvert_sensible_à_leau__WORG,Surface_du_bureau,Compteur_deau_individuel,Attestation__Citernes_à_mazout,Niveau_E,Niveau_K,Emission_de_CO2
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt11042,RBT11042,Maison à vendre,259000,Slachthuisplein 24,3400 Landen,,,1966,A l’acte,3,,,,140 m²,Non,29 m²,,,,,,,,Super équipée,1,,1,,,,,,Non,,Ouest,4,,,Oui,Oui,,160 m²,,Oui,,710 kWh/m²/an,"oui, attestation non conforme",Non,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,Non,,,,,,,20250407-0003570862-RES-1,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbt09736,RBT09736,Maison à vendre,260000,Laarstraat 72,3400 Landen,À rénover,,1949,,3,,,,185 m²,Non,,Oui,,,Oui,1,,,,2,,,,,Simple vitrage,,,Non,Non,Sud-ouest,,,,Oui,,,889 m²,,,,459 kWh/m²/an,pas d'application,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,10 m²,Gaz,889 m²,,,,,Non,Non,,,,,,20231109-0001983623-RES-2,,Non,,,,09/11/2033,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/vbc54496,VBC54496,Maison à vendre,295000,Sint-Norbertusstraat 122,3400 Landen,À rénover,,1975,A l’acte,4,15 m²,12 m²,,200 m²,,38 m²,,,,Oui,1,,,Equipée,1,,1,,,Double vitrage,,,Non,,Est,4,,1,Oui,Oui,Ouest,978 m²,Oui,Oui,,555 kWh/m²/an,"oui, attestation non conforme",,,,,,,Information non communiquée,Information non communiquée,11 m²,,,,,Oui,,Mazout,650 m²,,20 m²,,,,,,,,,,,,,,,,02/10/2034,,,,,,,,,,Américaine,73901 kWh/an,10/01/2024,10/01/2024,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbs06625,RBS06625,Maison à vendre,225000,Grote Steenweg 165,3400 Landen,,,1950,A l’acte,3,,,,167 m²,,,,,,Oui,1,,,Equipée,1,,1,,,Simple vitrage,Non,Non,Non,Non,Nord-ouest,2,6 m,3,Oui,,,351 m²,,,,493 kWh/m²/an,,Non,Non,,,,,Pas de risque d’inondation,Information non communiquée,,4,,,,Oui,,Gaz,,,,38 m,10 m,Oui,,,,,Non,,20241031-00034327729-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3400/landen/rbs84719,RBS84719,Appartement à vendre,160000,Kerkstraat 37 4,3400 Landen,Normal,,2001,A convenir,1,,,,55 m²,Non,,,,,,,,,Semi-équipée,1,,,,,,,,Non,,,,,,Non,Non,,,,,,174 kWh/m²/an,"oui, attestation conforme",,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,Electrique,,,,,,,,,,,,,20250228-0003542284-RES-1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3400/landen/rbs77104,RBS77104,Appartement à vendre,148000,Ernest Pitonlaan 2 603,3400 Landen,,,,A l’acte,2,,,,70 m²,Non,,,,,,,,,Super équipée,1,,1,,,,,,Oui,,,2,,9,Non,Oui,,,,Oui,,187 kWh/m²/an,"oui, attestation conforme",Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,Non,,,,,,,20231027-0003025816-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,Non,,,,,,6,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3400/landen/rbs68864,RBS68864,Maison à vendre,195000,Groenendael 5,3400 Landen,À rénover,,1899,A l’acte,2,,,,222 m²,Non,,,,,Oui,1,,,Super équipée,1,,,,,,,,Non,,,,,,Oui,Non,,870 m²,,,,422 kWh/m²/an,pas d'application,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,Gaz,,,,,,,,,,,,,20250220-0003535405-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3400/landen/rbr53292,RBR53292,Appartement à vendre,169000,Stationsplein 2 0003,3400 Landen,,Non,1951,A l’acte,2,,,,84 m²,,,Non,Non,,,,,,,1,,1,,,Double vitrage,Non,Non,Non,Non,,,10 m,,,,,,,,,489 kWh/m²/an,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Mazout,,,,47 m,10 m,,Non,Non,Non,Non,Non,Non,20170412-0001951398-1,"Zone, info non disponible",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3473/waanrode/rbs29445,RBS29445,Maison à vendre,219000,Tolkamerstraat 31,3473 Waanrode,,Non,,A l’acte,4,,,,169 m²,,,Non,Non,,,,,,Non équipée,1,,1,,,Simple vitrage,Non,Non,Non,Non,Nord-est,4,11 m,3,Oui,Oui,,1296 m²,,,,656 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Non specifié,,,,80 m,13 m,,Non,Non,Non,Non,Non,Non,20241210-0003474372-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3510/spalbeek/rwc38023,RWC38023,Maison à vendre,358000,Molenstraat 174 A,3510 Spalbeek,Normal,Non,1980,A l’acte,4,,,,223 m²,,,Oui,,,Oui,,2,Non,Equipée,1,,,Non,Non,Double vitrage,Non,Oui,Non,Oui,,4,10 m,,Oui,Oui,,1909 m²,Oui,Oui,,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,6,,,,Oui,,Mazout,,,,,18 m,,Non,,Oui,Oui,,Non,F,,Non,Non,,,14/11/2034,Oui,,,Non,Non,Oui,Oui,,,Indépendante,829 kWh/an,,,,Oui,Non,Non,Oui,Non,Non,Non,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3510/kermt/rbt47046,RBT47046,Maison à vendre,340000,Oudestraat 129,3510 Kermt,,Non,1966,,3,,,,206 m²,,,Non,Non,,,,,,Equipée,2,,1,,,Double vitrage,Non,Non,Non,Non,Est,3,11 m,3,Oui,Oui,,922 m²,,,,530 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,6,,,,Non,,Mazout,,,,71 m,13 m,,Non,Non,Non,Non,Non,Non,20241014-0003412150-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/3510/kermt/rbt35107,RBT35107,Duplex à vendre,369000,Diestersteenweg 17,3510 Kermt,Normal,Non,1932,A l’acte,2,,,,126 m²,Non,,Non,Non,,,,,,Super équipée,1,,2,,,,,,Non,,,2,,,,Oui,,,,,,217 kWh/m²/an,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,1,,,,Non,,Gaz,,,,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,19/05/2035,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3510/kermt/rbt22995,RBT22995,Villa à vendre,845000,Verbindingsweg 11,3510 Kermt,Excellent,,2009,,4,,,,388 m²,,,,,,Oui,2,2,,Super équipée,2,,3,,Oui,Double vitrage,Oui,,,,,4,,,Oui,Oui,,1010 m²,,,,100 kWh/m²/an,,Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,3,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3510/kermt/rbt15275,RBT15275,Maison à vendre,460000,Kermtstraat 9,3510 Kermt,,Non,1963,,5,,,,212 m²,,,Non,Non,,Oui,1,,,Equipée,2,,2,,,Double vitrage,Oui,Non,Non,Non,Sud-est,2,13 m,,Oui,,,1436 m²,,,,296 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Gaz,,,,72 m,20 m,,Non,Non,Non,Non,Non,Non,20240923-0003382191-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3540/herk-la-ville/rbt68922,RBT68922,Appartement à vendre,385000,Grote Baan 5,3540 Herk-la-ville,,,,,3,,,,490 m²,,,,,,,,,,,1,,,,,,,,Non,,,3,,,Oui,,,,,,,217 kWh/m²/an,,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,Gaz,,,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3540/herk-la-ville/rbt67172,RBT67172,Maison à vendre,379000,Nachtegaalstraat 14,3540 Herk-la-ville,,Non,1972,,3,30 m²,15 m²,10 m²,174 m²,,32 m²,Non,Non,,Oui,1,,,Equipée,1,,2,Oui,,Double vitrage,,,,,,4,,,Oui,Oui,,680 m²,,Oui,,200 kWh/m²/an,"oui, attestation conforme",,,,,,,Pas de risque d’inondation,Information non communiquée,14 m²,,,,,Oui,5 m²,Gaz,330 m²,,,37 m,28 m,,Non,Non,Oui,Non,,Non,20240430-0003233063-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,33 m²,,,,,,,,,Oui,,18 m²,,,,,,,,,,,,,,8 m²,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3540/herk-la-ville/rbt66807,RBT66807,Appartement à vendre,269000,Kapelstraat 8 6,3540 Herk-la-ville,,Non,2003,A l’acte,2,,,,,,,Non,Non,,Oui,1,,,,1,,1,,,Double vitrage,Non,Non,Non,Non,Sud-ouest,,,,,Oui,,,,,,267 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,1,,,,Non,,Electrique,,,4 m²,,,,Non,Non,Non,Non,Non,Non,20241107-0003433392-RES-2,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3540/herk-la-ville/rbt63986,RBT63986,Maison à vendre,244500,Théophile Donnéstraat 20,3540 Herk-la-ville,À rénover,,1968,A l’acte,3,16 m²,14 m²,11 m²,165 m²,,29 m²,Oui,,,Oui,1,1,,,1,,2,,,Double vitrage,,,,,,4,,,Oui,,,620 m²,,,,714 kWh/m²/an,"oui, attestation non conforme",Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,20 m²,1,,,19 m²,Oui,6 m²,,,,,,,Oui,,,Oui,Oui,,,,,,,70 m²,,,,,,,,,Oui,,20 m²,,,,,,,,,,,,,Non,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3540/berbroek/rbt34647,RBT34647,Maison à vendre,475000,Molenstraat 20,3540 Berbroek,Normal,Non,1971,Immédiatement,3,10 m²,19 m²,13 m²,170 m²,,50 m²,Oui,Oui,,Oui,,,,Non équipée,1,,1,Oui,Non,Simple vitrage,Non,Non,,,Nord,4,,2,Oui,,,1546 m²,Oui,Oui,,517 kWh/m²/an,"oui, attestation conforme",,Non,,,,,Information non communiquée,Information non communiquée,26 m²,,,,100 m²,Oui,8 m²,Mazout,,,,,,,Non,Oui,Oui,Non,,Non,0003602157-RES-1,"Zone, info non disponible",,,41 m²,,,,,Non,Non,Non,Non,,Non,,,,,,,,,Non,,Non,Non,,,,Oui,"oui, attestation conforme",,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt73232,RBT73232,Maison à vendre,395000,Molenaarstraat 7,3581 Beverlo,,Non,,,2,,,,217 m²,,,Non,Non,,,,,,,2,,2,,,Double vitrage,Non,Oui,Non,Non,,4,,,,,,1090 m²,,,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Gaz,,,,,24 m,,Non,Non,Non,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt68955,RBT68955,Maison à vendre,359000,Grensstraat 66,3581 Beverlo,Normal,Non,1984,A l’acte,5,,,,265 m²,Non,,Oui,,,Oui,1,,,Equipée,1,,1,Oui,,Double vitrage,,,,,,4,,,Oui,Oui,,1372 m²,,Oui,Oui,295 kWh/m²/an,,Oui,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Mazout,,,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,Américaine,,,,,,,,,,,,Non,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt66391,RBT66391,Maison à vendre,529000,Zuidstraat 5,3581 Beverlo,,,1999,,3,,,,300 m²,Non,,,,,Oui,,,,,1,,2,Oui,,,,,,,,4,,,Oui,Oui,,1132 m²,,,,240 kWh/m²/an,,,Non,,,,,Information non communiquée,Information non communiquée,,4,,,,Oui,,Gaz,,,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,
