ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Station_de_charge_électrique,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_de_la_cuisine,Nombre_de_places_de_parking_extérieur,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_des_caves,Grenier,Surface_de_lades_salles_de_bain,Type_de_chauffage,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Permis_durbanisation_accordé,Véranda,Dressing,Buanderie,Local_vélo,Balcon,Piscine_extérieure,Référence_PEB,Affectation_urbanistique_la_plus_récente,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Pompe_à_chaleur,Surface_du_grenier,Surface_constructible,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_au_gaz_de_ville,Attestation__Asbuilt,Surface_du_garage,Type_de_cuisine,Conso_annuelle_totale_dénergie_primaire,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Possibilités_pour_profession_libérale,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Parlophone,Porte_daccès_sécurisée,Adaptations_pour_les_seniors,Espace_ouvert_sensible_à_leau__WORG,Surface_du_bureau,Compteur_deau_individuel,Attestation__Citernes_à_mazout,Niveau_E,Niveau_K,Emission_de_CO2
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt47773,RBT47773,Maison à vendre,329000,Driehoekstraat 43,3581 Beverlo,Excellent,,1930,A l’acte,2,16 m²,15 m²,,141 m²,Non,,Oui,,,,,,,Super équipée,2,,2,,,Double vitrage,,,Non,,,3,14 m,,Oui,Oui,,483 m²,Oui,,,151 kWh/m²/an,,,Non,,,,,Information non communiquée,Information non communiquée,,3,,,,,,Gaz,160 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt43405,RBT43405,Maison à vendre,275450,Korspelsesteenweg 222,3581 Beverlo,Nouveau,,2026,,3,,,,125 m²,Non,,,,,,,,,Super équipée,1,,,Oui,,,,,,,,3,,,Oui,,,,,,,,,,Non,,,,,Information non communiquée,Information non communiquée,,1,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt41032,RBT41032,Maison à vendre,450000,Zuidstraat 11,3581 Beverlo,,Non,1962,A l’acte,5,,,,218 m²,,,Non,Non,,,,,,,2,,2,Oui,,Double vitrage,Non,Non,Non,Non,Nord-ouest,2,11 m,3,Oui,,,762 m²,,,,232 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,10,,,,Non,,Mazout,,,,42 m,18 m,,Non,Non,Non,Non,Non,Non,20250519-0003604607-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt38893,RBT38893,Maison à vendre,359950,Kroonstraat 60,3581 Beverlo,Normal,Non,,A l’acte,3,,,,164 m²,Non,,Non,Non,,,,,,Super équipée,1,,2,,,,,,Non,,,3,,2,Oui,Oui,,594 m²,,,,275 kWh/m²/an,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,2,,,,Oui,,Gaz,,,,,,,Non,Non,Non,Non,,,202407818-0003303756-RES-2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,18/07/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbt30451,RBT30451,Maison à vendre,399000,Hanebergstraat 87,3581 Beverlo,,Non,1967,A l’acte,5,,,,231 m²,,,Non,Non,,,,,,Equipée,2,,3,,,Double vitrage,Oui,Non,Non,Non,Ouest,2,12 m,3,Oui,Oui,,845 m²,,,,220 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,3,,,,Oui,,Gaz,,,128 m²,44 m,20 m,,Non,Non,Non,Non,Non,Non,20250107-0003499037-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbs62268,RBS62268,Maison à vendre,225000,,3581 Beverlo,À rénover,Non,1957,,5,,,,196 m²,Non,,Non,Non,,Oui,1,,,Semi-équipée,1,,2,,,,,,Non,,Sud,3,7 m,,,Oui,,206 m²,,Oui,,566 kWh/m²/an,"oui, attestation non conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Mazout,,,,20 m,,,Non,Non,Non,Non,,,2884604,"Zone d'habitat (résidentiel, urbain ou rural)",,,,125 m²,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3581/beverlo/rbs29488,RBS29488,Maison à vendre,299000,Laan op Vurten 40,3581 Beverlo,Remis à neuf,,1930,A l’acte,5,9 m²,13 m²,7 m²,202 m²,Non,20 m²,,Oui,10 m²,Oui,,,,,1,,1,,,Double vitrage,,,,,,3,11 m,,Oui,Oui,,390 m²,Oui,,,369 kWh/m²/an,,,Non,,,,,Information non communiquée,Information non communiquée,23 m²,3,16 m²,16 m²,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3581/beverlo/rbr95054,RBR95054,Villa à vendre,599000,Braamstraat 17,3581 Beverlo,Excellent,,2007,,4,,,,251 m²,Non,,,,,Oui,,,,,2,,,,,,,,,,,4,,,Oui,Oui,,1009 m²,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbt68810,RBT68810,Maison à vendre,399000,Heserstraat 32,3620 Lanaken,,Non,1930,A partir du : 01/01/2026,,,,,210 m²,,,Non,Non,,Oui,,,,Equipée,,,,,,,Non,Non,Non,Non,,2,,,Oui,Oui,,525 m²,,,,376 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Gaz,,,,,,,Non,Non,Non,Non,Non,Non,20210131-0002366881-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbt15405,RBT15405,Appartement à vendre,215000,Europaplein 41,3620 Lanaken,Normal,Non,1997,A l’acte,1,,,,87 m²,Non,,Non,Non,,Oui,1,,,,1,,,,,,,,Non,,,,,,,Oui,,,,,,173 kWh/m²/an,pas d'application,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Gaz,,,,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbt47503,RBT47503,Maison à vendre,439000,Louis Pasteurstraat 26,3620 Lanaken,,Non,1994,,3,,,,200 m²,,,Non,Non,,Oui,,,,,1,,2,Oui,,Double vitrage,Oui,Non,Non,Non,,4,,,Oui,Oui,,587 m²,,,,0 kWh/m²/an,,,Oui,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Gaz,,,,,,,Non,Non,Non,Non,Non,Non,20250601-0003614473-RES-1,Zone d'extension d'habitat,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbt39024,RBT39024,Appartement à vendre,189000,Omstraat 13 3,3620 Lanaken,Normal,,1973,,2,,,,70 m²,Non,,,,,Oui,,,,,1,,,,,,,,,,,2,,1,,Oui,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/3620/veldwezelt/rbt15711,RBT15711,Penthouse à vendre,,Kleine Omstraat 14 31,3620 Veldwezelt,,Non,2017,A l’acte,2,,,,125 m²,,,Non,Non,,,,,,Equipée,1,,2,,Oui,Double vitrage,Non,Non,Oui,Non,,,,,,Oui,,,,,,117 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Gaz,,,65 m²,,,,Non,Non,Non,Non,Non,Non,73042-G-2013/211-11492/EP02967/A774/D01/SD011,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbt32922,RBT32922,Maison à vendre,429000,Lindestraat 169,3620 Lanaken,,Non,1963,A l’acte,3,,,,186 m²,,,,Non,,Oui,,,,,1,,2,,,Double vitrage,Non,Non,Non,Non,Est,2,,,Oui,Oui,,500 m²,,,,241 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Gaz,,,,,,Non,Non,Non,Non,Non,Non,,20250515-0003600917-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3620/lanaken/rbt30945,RBT30945,Villa à vendre,900000,,3620 Lanaken,,,1953,A l’acte,5,,,,336 m²,,,,,,Oui,1,,,,4,,,,,,,,,,,4,,,Oui,Oui,,2727 m²,,,,,,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,Gaz,,,,,,Non,,,,,,,,,,,,,27/04/2035,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbt23810,RBT23810,Maison à vendre,249000,Schippersstraat 19,3620 Lanaken,Normal,,1978,,3,,,,191 m²,Non,,,,,Oui,,,,,1,,,Oui,,,,,,,,3,,2,Oui,Oui,,345 m²,,,,116 kWh/m²/an,,,,,,,,Information non communiquée,Information non communiquée,,3,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbt04425,RBT04425,Maison à vendre,495000,Kiezelweg 155,3620 Lanaken,,,2024,,3,,,,180 m²,,,,,,Oui,,,,,1,,2,Oui,Oui,,Non,Non,Non,Non,Est,3,,,Oui,,,501 m²,,,,,,Non,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Non specifié,,,,,,Oui,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbs98769,RBS98769,Maison à vendre,349000,Eikelenweg 34,3620 Lanaken,,Non,1960,A l’acte,3,,,,250 m²,,,Non,Non,,,,,,,2,,2,,,Double vitrage,Non,Non,Non,Non,,3,,,Oui,,,893 m²,,,,292 kWh/m²/an,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,Gaz,,,,,,,Non,Non,Non,Non,Non,Oui,20250125-0003505558-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbs73990,RBS73990,Appartement à vendre,296750,Jan Rosierlaan 20 21,3620 Lanaken,,Non,2024,,2,,,,100 m²,,,Non,Non,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,,Oui,,,,,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,,,,,,,,Non,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbs73989,RBS73989,Appartement à vendre,372241,Jan Rosierlaan 20 2,3620 Lanaken,,Non,2024,,2,,,,130 m²,,,Non,Non,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,,Oui,,,,,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,,,,,,,,Non,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbs73988,RBS73988,Appartement à vendre,314045,Jan Rosierlaan 20 12,3620 Lanaken,,Non,2024,,2,,,,100 m²,,,Non,Non,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,,Oui,,,,,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,,,,,,,,Non,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/lanaken/rbs73987,RBS73987,Appartement à vendre,333873,Jan Rosierlaan 20 11,3620 Lanaken,,Non,2024,,2,,,,100 m²,,,Non,Non,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,,Oui,,,,,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,,,,,,,,Non,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbs73434,RBS73434,Maison à vendre,349000,Sapstraat 49,3620 Lanaken,Normal,,1918,A convenir,4,,,,170 m²,Non,,,,,,,,,Super équipée,1,,,,,,,,Non,,,,,,Oui,Non,,299 m²,,,,395 kWh/m²/an,"oui, attestation non conforme",,Oui,,,,,Information non communiquée,Information non communiquée,,,,,,,,Gaz,,,,,,,,,,,,,20220329-0002573436-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbq16007,RBQ16007,Maison à vendre,299000,Steenweg 158,3620 Lanaken,Normal,,,A l’acte,4,,,,253 m²,Non,,,,,Oui,,,,,2,,,,,,,,,,,3,,,Oui,Oui,,427 m²,,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3620/veldwezelt/rbt43614,RBT43614,Appartement à vendre,,Kiezelweg,3620 Veldwezelt,,Non,2014,,2,,,,94 m²,Non,,Non,Non,,Oui,10,,,,1,,1,,,,,,Oui,,,4,20 m,3,,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,,,,,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3620/lanaken/rbs49174,RBS49174,Maison à vendre,230000,Houterstraat 4,3620 Lanaken,À rénover,Non,1957,A l’acte,4,,,,,Non,,Non,Non,,Oui,1,,,Semi-équipée,1,,1,,,,,,Non,,,4,,,Oui,,,540 m²,,,,718 kWh/m²/an,pas d'application,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Oui,,,,,,,,,Non,Non,Non,Non,,,20231203-0003039083-RES-1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,169 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3631/boorsem/rbt20927,RBT20927,Maison à vendre,399000,Langeweidestraat 26,3631 Boorsem,Normal,,1988,,3,,,,175 m²,,,,,,Oui,,,,,1,,2,,,,Oui,,,,,4,,2,Oui,Oui,,491 m²,,,,228 kWh/m²/an,,,,,,,,Information non communiquée,Information non communiquée,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3631/boorsem/rbt20927,RBT20927,Maison à vendre,399000,Langeweidestraat 26,3631 Boorsem,Normal,,1988,,3,,,,175 m²,,,,,,Oui,,,,,1,,2,,,,Oui,,,,,4,,2,Oui,Oui,,491 m²,,,,228 kWh/m²/an,,,,,,,,Information non communiquée,Information non communiquée,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/3640/kinrooi/rbt71563,RBT71563,Penthouse à vendre,325000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,149 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,16 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,2,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/penthouse/a-vendre/3640/kinrooi/rbt71562,RBT71562,Penthouse à vendre,295000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,111 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,21 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,2,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3640/kinrooi/rbt71561,RBT71561,Rez-de-chaussée à vendre,197876,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,1,,,,91 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,16 m²,,14 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71560,RBT71560,Appartement à vendre,231000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,97 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,13 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71559,RBT71559,Appartement à vendre,285000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,106 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,35 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,2,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71558,RBT71558,Appartement à vendre,245000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,98 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,8 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71557,RBT71557,Appartement à vendre,164711,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,1,,,,76 m²,Non,,Non,Non,,Oui,,,,,,,,Oui,,,,,Oui,,Sud,2,,2,,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,9 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71556,RBT71556,Appartement à vendre,277000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,110 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,10 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71555,RBT71555,Appartement à vendre,292000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,116 m²,Non,,Non,Non,,Oui,,,,,,,,Oui,,,,,Oui,,Sud,2,,2,,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,12 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3640/kinrooi/rbt71552,RBT71552,Appartement à vendre,212000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,1,,,,84 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,,,11 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,1,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3640/kinrooi/rbt71549,RBT71549,Rez-de-chaussée à vendre,263000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,106 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,42 m²,,24 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3640/kinrooi/rbt71546,RBT71546,Rez-de-chaussée à vendre,187000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,1,,,,85 m²,Non,,Non,Non,,Oui,,,,,,,,Oui,,,,,Oui,,Sud,2,,2,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,21 m²,,15 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/3640/kinrooi/rbt71544,RBT71544,Rez-de-chaussée à vendre,294000,Neeroetersesteenweg 26,3640 Kinrooi,Nouveau,Non,2023,Immédiatement,2,,,,116 m²,Non,,Non,Non,,Oui,,,,,1,,,Oui,,,,,Oui,,Sud,2,,3,Oui,Oui,,,,Oui,,,"oui, attestation conforme",,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,Non,,Non specifié,15 m²,,14 m²,,,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
