ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Nombre_de_salles_de_bain,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Surface_du_bureau,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_des_caves,Surface_du_grenier,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Équipement_de_la_cuisine,Surface_de_la_cuisine,Type_de_vitrage,Largeur_de_la_façade,Raccordé_à_leau_courante,Panneaux_solaires,Conso_annuelle_totale_dénergie_primaire,Largeur_du_terrain_à_rue,Accessible_aux_moins_valides,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_détages_de_limmeuble,Type_de_cuisine,Surface_de_lades_salles_de_bain,Raccordé_aux_égouts,Piscine_extérieure,Permis_de_bâtir_obtenu,Surface_salle_à_manger,Alarme_antieffraction,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Appartement_de_service,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Compteur_deau_individuel,Surface_de_la_véranda,Affectation_urbanistique_la_plus_récente,Étage_de_lappartement,Surface_totale,Attestation__Installation_électrique__Validité,Clef_électronique,Balcon,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Niveau_S
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc77963,VBC77963,Maison à vendre,1250000,Rue de la Haie Himbe 13,6940 Durbuy,,Non,1987,,3,200 m²,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,2,,2,Mazout,Non,Sud,4,5,Oui,,Oui,1700 m²,,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,2,,250 kWh/m²/an,20241007019175,07/10/2034,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/grandhan/vbc76199,VBC76199,Maison à vendre,495000,Rue des Zones 16,6940 Grandhan,,Non,2005,,4,231 m²,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,1,,3,Mazout,Non,Sud-ouest,4,,Oui,,Oui,5960 m²,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,2,128 m,202 kWh/m²/an,20250501003567,01/05/2035,,,,,,,,,,,,,,,,13 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc76102,VBC76102,Maison à vendre,350000,Grande-Enneille 11,6940 Durbuy,Excellent,,1850,,4,171 m²,Non,21 m²,,Oui,,Oui,,,,,,,,Gaz,Non,Est,2,2,,,Oui,290 m²,,,,Pas de risque d’inondation,Information non communiquée,4,,177 kWh/m²/an,,18/03/2035,37,,,,,,,,,,,,Super équipée,,Double vitrage,14 m,Oui,,30171 kWh/an,,,,,,,,Non,,,43 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/6940/durbuy/vbc75985,VBC75985,Chalet à vendre,59000,Tier dè Rinze 37 14,6940 Durbuy,Normal,,,A l’acte,2,55 m²,,,,,,,,,,,,,1,,Non,,4,,,,Oui,398 m²,,,,Pas de risque d’inondation,Information non communiquée,1,,727 kWh/m²/an,,,,,,9 m²,5 m²,,,,,,,,Semi-équipée,6 m²,Double vitrage,,,,,,Non,,,,Kitchenette,2 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/grandhan/vbc75732,VBC75732,Maison à vendre,495000,Rue du Vieux Curé 22,6940 Grandhan,À rénover,,2009,,3,221 m²,Non,21 m²,,,,,,,,Oui,1,,2,Mazout,Non,Sud,4,4,Oui,1847 m²,Oui,2100 m²,251 m²,pas d'application,,Pas de risque d’inondation,Information non communiquée,2,47 m,302 kWh/m²/an,20250514009435,14/05/2035,,,63 m²,,,,,,,,,,,,,13 m,Oui,,61375 kWh/an,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/barvaux-sur-ourthe/vbc69668,VBC69668,Maison à vendre,315000,Petit Barvaux 91,6940 Barvaux-sur-Ourthe,À rénover,,,,4,150 m²,,39 m²,Oui,Oui,,,,,,Oui,1,1,1,Mazout,,,4,5,,,Oui,1780 m²,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,1,,251 kWh/m²/an,,,,,,26 m²,18 m²,15 m²,13 m²,,78 m²,69 m²,2,39 m²,,15 m²,Double vitrage,,,,57509 kWh/an,,Oui,Non,,,,11 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/barvaux-sur-ourthe/vbc69841,VBC69841,Maison à vendre,210000,Route de Bomal 4,6940 Barvaux-sur-Ourthe,À rénover,,,,3,160 m²,Non,,Oui,Oui,,,,,,Oui,,,1,Mazout,Non,,3,,Oui,,Oui,480 m²,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,1,,442 kWh/m²/an,,,,,,17 m²,17 m²,15 m²,,,20 m²,80 m²,,30 m²,,9 m²,Double vitrage,,,,,,Non,,,,Indépendante,10 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc74819,VBC74819,Maison à vendre,695000,,6940 Durbuy,Excellent,Non,2003,A convenir,4,240 m²,,,Oui,Non,Non,Oui,Oui,Non,Non,,,1,1,Mazout,,,4,,Oui,,,940 m²,,"oui, attestation non conforme",Oui,Information non communiquée,Information non communiquée,1,,326 kWh/m²/an,20240919021156,,81,,,17 m²,13 m²,11 m²,8 m²,,20 m²,,,,Non équipée,15 m²,Double vitrage,,Oui,Non,,,,,,1,,5 m²,Non,Non,,,Non,,,Oui,,,,,Non,,,Non,Non,Non,Non,Non,Non,,,,,pas d'application,,Non,Non,Oui,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/6940/durbuy/vbc73992,VBC73992,Chalet à vendre,169000,Val Mèlèye 16 10,6940 Durbuy,Remis à neuf,,1996,,2,65 m²,,,Oui,Non,Non,,,,,Oui,1,,,Non specifié,Non,Nord-ouest,,,Oui,,Oui,74 m²,,pas d'application,,Pas de risque d’inondation,Information non communiquée,1,,618 kWh/m²/an,20211011003303,11/10/2031,12,,13 m²,,,,,,12 m²,,,24 m²,,,Double vitrage,,,Oui,36263 kWh/an,,Non,Non,Non,,,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6940/durbuy/vbc73816,VBC73816,Maison à vendre,259000,Chemin de Sy 2A,6940 Durbuy,,,2002,A l’acte,2,100 m²,Non,,,,,,,,,,,,1,Mazout,Non,Ouest,4,,Oui,,Oui,175 m²,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,1,,418 kWh/m²/an,20241213019011,13/12/2034,418,,,,,,,,,,,,Semi-équipée,,,,,,78225 kWh/an,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
