ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Disponibilité_du_bien,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Référence_PEB,Année_de_construction,Équipement_de_la_cuisine,Type_de_cuisine,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_à_leau_courante,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Alarme_antieffraction,Surface_de_lades_salles_de_bain,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Étage_de_lappartement,Nombre_de_places_de_parking_extérieur,Surface_du_grenier,Surface_constructible,Orientation_du_jardin,Surface_totale,Station_de_charge_électrique,Pompe_à_chaleur,Compteur_Bihoraire,Surface_du_bureau,Surface_de_la_véranda,Compteur_deau_individuel,Possibilités_pour_profession_libérale,Niveau_E,Adoucisseur_deau,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Balcon,Porte_de_garage_motorisée
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc60449,VBC60449,Maison à vendre,79000,Rue Chaussée 48,6141 Forchies-la-Marche,À rénover,2,22 m²,10 m²,,,,110 m²,,,Oui,13 m²,,,,10 m²,1,1,1,Non specifié,Double vitrage,Sud-ouest,3,5 m,1,Oui,482 m²,Oui,,604 m²,,5 m,Oui,,,419 kWh/m²/an,60799 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,,Oui,Oui,,,,,1950,,Indépendante,Non,Non,,,Non,13/09/2034,19290,"oui, attestation non conforme",,,,12 m²,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc49906,VBC49906,Maison à vendre,189000,Rue Grand Mouligneau 40,6141 Forchies-la-Marche,À rénover,3,18 m²,22 m²,33 m²,,,177 m²,Non,,Oui,,,,,16 m²,1,,,Gaz,Double vitrage,,2,,2,Oui,120 m²,Oui,35 m²,250 m²,,,,,,347 kWh/m²/an,61400 kWh/an,Information non communiquée,Information non communiquée,Oui,A l’acte,,Oui,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc47939,VBC47939,Maison à vendre,275000,Rue Chaussée 35,6141 Forchies-la-Marche,,5,29 m²,19 m²,19 m²,15 m²,15 m²,215 m²,,,Non,,,,,,,,,Non specifié,Double vitrage,,,,,Oui,,,,,,,Oui,,,246 kWh/m²/an,,Information non communiquée,Information non communiquée,Non,,Non,Non,Oui,Oui,Non,Non,Non,20240123001592,,Non équipée,,,,,,Non,,65,"non, pas d'attestation",,,,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"non, pas d'attestation",Non,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6141/forchies-la-marche/vbc35580,VBC35580,Appartement à vendre,120000,Rue Chaussée 205,6141 Forchies-la-Marche,Normal,1,10 m²,,,,,68 m²,Non,15 m²,Oui,,,,,8 m²,1,1,1,Gaz,,,,,2,,,,,,,,Oui,Oui,,236 kWh/m²/an,22622 kWh/an,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,Oui,,,,,,,,,,1977,Semi-équipée,Kitchenette,Non,Non,,Oui,Non,20/01/2025,44,"oui, attestation conforme",,Non,Non,,,,4 m²,,,,,,,Oui,,,,,,,1,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbc22374,VBC22374,Maison à vendre,379999,,6141 Forchies-la-Marche,Normal,8,18 m²,12 m²,18 m²,20 m²,20 m²,412 m²,Non,32 m²,Oui,,,,,18 m²,4,4,4,Gaz,Double vitrage,,4,,2,,,Oui,,50 m²,,,Oui,Oui,,184 kWh/m²/an,19021 kWh/an,Pas de risque d’inondation,Information non communiquée,Oui,,Oui,,,,,,,,2008,Semi-équipée,Kitchenette,Non,Non,Sud,Oui,Non,15/11/2034,34,"non, pas d'attestation",,,,,,Oui,,,,,,,,Oui,Oui,,,,,,,2,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6141/forchies-la-marche/vbc22373,VBC22373,Immeuble mixte à vendre,259999,,6141 Forchies-la-Marche,Normal,5,12 m²,10 m²,11 m²,10 m²,12 m²,369 m²,Non,25 m²,,,,,,,3,3,3,Gaz,Double vitrage,Nord,2,,3,,,,,200 m²,,,Oui,Oui,,160 kWh/m²/an,17508 kWh/an,Pas de risque d’inondation,Information non communiquée,Non,,Oui,,,,,,,,1959,Semi-équipée,Kitchenette,Non,Non,,Oui,Non,20/11/2034,29,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbb82185,VBB82185,Maison à vendre,150000,Rue Chaussée 58,6141 Forchies-la-Marche,À rénover,2,20 m²,11 m²,,,,167 m²,,,Oui,40 m²,,,,22 m²,1,1,1,,Double vitrage,Ouest,3,5 m,2,Oui,444 m²,Oui,45 m²,505 m²,,5 m,Oui,,,,,Information non communiquée,Information non communiquée,,A l’acte,Oui,,Oui,Oui,,,,,,,,Non,Non,,,Non,,,,,,,11 m²,,,13 m²,4 m²,,,,,,,,,,,,,,,34 m²,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vbb15756,VBB15756,Maison à vendre,369999,,6141 Forchies-la-Marche,Excellent,2,12 m²,19 m²,,,,232 m²,Non,37 m²,,,Oui,2,,8 m²,1,1,3,Gaz,Double vitrage,Nord-est,4,8 m,3,Oui,312 m²,Oui,25 m²,312 m²,,8 m,Oui,Oui,Oui,192 kWh/m²/an,48441 kWh/an,Pas de risque d’inondation,Information non communiquée,Non,A l’acte,Oui,,Oui,,,,Oui,,2015,Super équipée,,Non,Oui,Sud-ouest,Oui,Non,23/10/2031,34,"oui, attestation conforme",,,,15 m²,2,Oui,,,,,,,,,,,,,Non,,,1,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vba62647,VBA62647,Maison à vendre,139999,,6141 Forchies-la-Marche,Normal,2,16 m²,12 m²,,,,120 m²,Non,40 m²,Oui,,,,,16 m²,1,1,2,Mazout,Double vitrage,Est,2,6 m,3,Oui,370 m²,Oui,20 m²,250 m²,,6 m,Oui,Oui,,482 kWh/m²/an,68744 kWh/an,Pas de risque d’inondation,Information non communiquée,,,Oui,,Oui,,,,,,1960,Semi-équipée,Kitchenette,Non,Non,Sud,Oui,Non,17/03/2025,119,"non, pas d'attestation",,,Non,28 m²,,,,,,,,,,,,,,,Non,,,1,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vba67462,VBA67462,Maison à vendre,119999,,6141 Forchies-la-Marche,À rénover,2,20 m²,19 m²,,,,130 m²,,13 m²,Oui,,,,,8 m²,1,1,1,Gaz,Double vitrage,Sud,2,7 m,3,Oui,250 m²,Oui,,379 m²,,7 m,Oui,Oui,,404 kWh/m²/an,47649 kWh/an,Risque moyen,Riveraine d’une zone inondable délimitée,,Immédiatement,Oui,,Oui,,,,,,1940,Semi-équipée,Kitchenette,Non,Non,Sud,Oui,Non,19/10/2023,74,"non, pas d'attestation",,,,20 m²,,,,,,,,,,,,,,,Non,,,1,,,,,,,,,,,,,,,,,
