ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Surface_du_séjour,Surface_du_bureau,Caves,Surface_des_caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Chauffage_au_sol,Type_de_vitrage,Compteur_deau_individuel,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Jardin,Surface_du_jardin,Terrasse_aménagée,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_de_la_cuisine,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Surface_de_la_terrasse,Orientation_de_la_terrasse,Conso_annuelle_totale_dénergie_primaire,Équipement_de_la_cuisine,Nombre_de_façades,Orientation_de_la_façade_du_bien,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Pompe_à_chaleur,Date_de_validité_PEB,Année_de_construction,Surface_salle_à_manger,Type_de_cuisine,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Largeur_du_terrain_à_rue,Emission_de_CO2,Possibilités_pour_profession_libérale,Surface_totale,Surface_du_grenier,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Compteur_Bihoraire,Adaptations_pour_les_seniors,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Citation_pour_infraction_urbanistique,Surface_constructible,Balcon,Permis_durbanisation_accordé,Surface_du_dressing,Attestation__Installation_électrique__Validité,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/5651/thy-le-chateau/vwd13752,VWD13752,Maison à vendre,550000,Rue de la Thyria 5,Thyria,Excellent,Non,A l’acte,5,,,,,,308 m²,,,Oui,20 m²,Oui,,,,Oui,Oui,Oui,,1,21 m²,3,,,,,Oui,,Mazout,Non,Double vitrage,,Non,Non,Non,Non,Non,Non,Oui,Oui,1000 m²,Oui,Non,Oui,Non,326 kWh/m²/an,20250521032889,"oui, attestation conforme",,,,Risque élevé,Information non communiquée,,30 m²,Non,Non,,,,137552 kWh/an,Super équipée,3,Sud,9,4292 m²,Non,,1900,,Américaine,,,,,Oui,520 m²,170 m²,Oui,Oui,Non,Oui,Non,Est,Non,Non,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/laneffe/vbc78918,VBC78918,Maison à vendre,129000,All?e des Coquelicots 30,5651 Laneffe,,Non,,2,16 m²,16 m²,,,,110 m²,,,Non,,Non,Non,Non,Non,Non,Non,Oui,1,,,,,,,,Oui,,Electrique,,,,,,,,,,,Oui,,,,Oui,Non,398 kWh/m²/an,20250521002923,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,,,,,,,,,4,,,,Oui,,,,,8 m,,,103,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5651/laneffe/vwd13516,VWD13516,Immeuble mixte à vendre,250000,Grand'Route 89,GrandRoute,À rénover,Non,A l’acte,3,20 m²,19 m²,14 m²,,,130 m²,38 m²,,Oui,15 m²,Oui,Non,,,Non,Non,Oui,,2,158 m²,1,,,4 m²,Non,Non,,Mazout,Non,Simple vitrage,,Non,Non,Non,Non,Non,Non,Non,Oui,1100 m²,Oui,,Oui,Non,524 kWh/m²/an,20250516028585,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,14 m²,Non,Non,,,,101410 kWh/an,Non équipée,3,,5,1906 m²,Non,,,,Indépendante,,,,,Oui,600 m²,73 m²,Non,Non,Non,Non,Non,Sud-ouest,,,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbc53559,VBC53559,Maison à vendre,230000,Rue du faubourg 7,5651 Berzée,,,A l’acte,5,,,,,,181 m²,,,,,Oui,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Oui,,,,,Non,,,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,Oui,,,,,,4,,2,1300 m²,,,,,,13 m,1,13 m,,,,,,,,,,Nord,,,,70 m,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/gourdinne/vbc39839,VBC39839,Villa à vendre,279000,Allée des Blaireaux 7,5651 Gourdinne,Normal,Non,A l’acte,2,8 m²,10 m²,,,,88 m²,,,,,,,Oui,,,,Oui,1,2,,1,1,1,,,,,Mazout,,,,,,,Oui,,,,Oui,,Oui,Non,Oui,Non,614 kWh/m²/an,,"oui, attestation non conforme",,Non,,Pas de risque d’inondation,Riveraine d’une zone inondable délimitée,Oui,9 m²,Non,Oui,,,,53882 kWh/an,Semi-équipée,4,Nord-ouest,3,1494 m²,,24/02/2035,1978,30 m²,Kitchenette,14 m,,14 m,152,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/thy-le-chateau/vwd13679,VWD13679,Maison à vendre,100000,rue du Midi 3,5651 Thy-le-Château,À rénover,Oui,A convenir,2,14 m²,,,,,74 m²,22 m²,15 m²,Oui,36 m²,Oui,,,,Non,,,,,,1,,,5 m²,Non,Non,,Mazout,Non,Double vitrage,,Non,Non,Non,Non,Non,Non,Non,Oui,,,Oui,Oui,Non,453 kWh/m²/an,20250519032225,"oui, attestation non conforme",pas d'application,Oui,Non,Pas de risque d’inondation,Information non communiquée,,10 m²,Non,Non,,,,41372 kWh/an,Semi-équipée,2,Nord,,,Non,19/05/2035,1900,,Américaine,,,,112,,91 m²,14 m²,,Non,Non,Oui,Non,Sud,Non,Non,Non,,Oui,pas d'infraction,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/laneffe/vbc80905,VBC80905,Maison à vendre,200000,rue du temple 7,5651 Laneffe,À rénover,Non,A l’acte,2,,,,,,130 m²,16 m²,,Non,,Non,Non,Non,Non,Non,Non,Oui,1,,,1,,1,,,,,Mazout,,,,,,,,,,,,,Oui,,,,492 kWh/m²/an,20250517006938,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,,3,,,662 m²,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/somzee/vbc74382,VBC74382,Maison à vendre,239000,,5651 Somzée,Nouveau,Oui,,3,,,,,,110 m²,,,,,,,,,,,,,,,1,,,,,,,Air pulsé,,,,,,,,,,,Oui,,Oui,Oui,,,70 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,Non,,Non,Non,,,,8182 kWh/an,Equipée,4,,,150 m²,Oui,26/02/2031,,,Américaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/berzee/vbc72923,VBC72923,Villa à vendre,229000,,5651 Berzée,Normal,Non,A l’acte,2,19 m²,18 m²,,,,230 m²,31 m²,,,,Oui,,,,,,Oui,1,,,2,1,2,,,,,Mazout,,,,,,,,,,,Oui,,,,,Non,338 kWh/m²/an,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Non,13 m²,Non,Non,,,,78095 kWh/an,Equipée,4,,,750 m²,,,,,Américaine,,2,,84,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbc66318,VBC66318,Maison à vendre,105000,,5651 Berzée,À rénover,,,2,,,,,,110 m²,,,,,Oui,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,50 m²,Oui,,,,394 kWh/m²/an,,"oui, attestation non conforme",,,,Information non communiquée,Information non communiquée,Non,,,,,5 m²,,41911 kWh/an,,2,,,145 m²,,26/08/2034,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
