ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Terrasse_aménagée,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_garage,Jardin,Surface_du_jardin,Surface_totale_du_terrain,Meublé,Panneaux_solaires,Chauffage_au_sol,Air_conditionné,Parlophone,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_constructible,Largeur_du_terrain_à_rue,Piscine_extérieure,Bien_actuellement_loué,Disponibilité_du_bien,Surface_du_séjour,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Nombre_de_toilettes,Nombre_de_façades,Surface_de_la_terrasse,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Profondeur_du_terrain,Pompe_à_chaleur,Surface_de_la_véranda,Surface_des_caves,Surface_du_grenier,Nombre_de_place_de_parking_intérieur,Raccordé_aux_égouts,Attestation__Asbuilt,Conso_annuelle_totale_dénergie_primaire,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,HammamSaunaJacuzzi,Alarme_antieffraction,Balcon,Appartement_de_service,Surface_du_bureau,Surface_de_la_cuisine,Nombre_de_douches,Emission_de_CO2,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_salle_à_manger,Niveau_E,Niveau_K,Citerne_à_eau_de_pluie,Feu_ouvert,Orientation_de_la_terrasse,Porte_de_garage_motorisée,Clef_électronique,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/villa/a-vendre/9230/wetteren/rbt71379,RBT71379,Villa à vendre,490616,Biezen 47,9230 Wetteren,Nouveau,2025,3,144 m²,,,,,,1,,Air pulsé,Double vitrage,,,,Oui,,,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,,838 m²,,,,,,Sud-ouest,9 m,,,,9 m,,,,36 m²,,,,,Super équipée,2,4,,,Non,,,Oui,Oui,,Oui,,,,,,,,14 m²,12 m²,12 m²,,,,,,10 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70786,RBT70786,Maison à vendre,404500,Cooppallaan 30 E,9230 Wetteren,Nouveau,2024,3,126 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,11 m²,149 m²,Non,,,,,Nord-ouest,7 m,1,1,,7 m,Non,,,12 m²,Oui,,,,Super équipée,2,2,12 m²,,,,Sud-est,,Oui,,Oui,,,,,Oui,,,11 m²,10 m²,10 m²,,,,,,,,,,,,,,,19 m²,,,Oui,,Sud-est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70785,RBT70785,Maison à vendre,419500,Cooppallaan 30 H,9230 Wetteren,Nouveau,2024,3,126 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,14 m²,152 m²,Non,,,,,Nord-ouest,7 m,1,1,,7 m,Non,,,12 m²,Oui,,,,Super équipée,2,2,12 m²,,,,Sud-est,,Oui,,Oui,,,,,Oui,,,11 m²,10 m²,10 m²,,,,,,,,,,,,,,,19 m²,,,Oui,,Sud-est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70784,RBT70784,Maison à vendre,407000,Cooppallaan 30 D,9230 Wetteren,Nouveau,2024,3,126 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,11 m²,149 m²,Non,,,,,Nord-ouest,7 m,1,1,,7 m,Non,,,12 m²,Oui,,,,Super équipée,2,2,12 m²,,,,Sud-est,,Oui,,Oui,,,,,Oui,,,11 m²,10 m²,10 m²,,,,,,,,,,,,,,,19 m²,,,Oui,,Sud-est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70782,RBT70782,Maison à vendre,457000,Cooppallaan 30 K,9230 Wetteren,Nouveau,2024,4,158 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,52 m²,222 m²,Non,,,,,Nord-ouest,8 m,1,1,,8 m,Non,,,16 m²,Oui,,,,Super équipée,2,3,12 m²,,,,Sud-est,,Oui,,Oui,,,,,Oui,,,10 m²,9 m²,11 m²,,,,,,,,,,,,,8 m²,,15 m²,,,Oui,,Sud-est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70781,RBT70781,Maison à vendre,427000,Cooppallaan 30 A,9230 Wetteren,Nouveau,2024,3,121 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,76 m²,209 m²,Non,,,,,Ouest,6 m,1,1,,6 m,Non,,,20 m²,Oui,,,,Super équipée,2,3,12 m²,,,,Est,,Oui,,Oui,,,,,Oui,,,11 m²,8 m²,8 m²,,,,,,,1,,,,,,,,10 m²,,,Oui,,Est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70780,RBT70780,Maison à vendre,406000,Cooppallaan 30 C,9230 Wetteren,Nouveau,2024,3,127 m²,,,,,,1,,Air pulsé,Double vitrage,Non,Non,,Oui,,,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,17 m²,156 m²,Non,,,,,Nord-ouest,7 m,2,1,,7 m,Non,,,12 m²,Oui,,,,Super équipée,2,3,12 m²,,,,Sud-est,,Oui,,Oui,,,,,Oui,,,11 m²,10 m²,10 m²,,,,,,,,,,,,,,,19 m²,,,Oui,,Sud-est,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70777,RBT70777,Maison à vendre,650000,Molenweg 12,9230 Wetteren,À rénover,1875,5,220 m²,,Oui,,Oui,4,1,,Mazout,Double vitrage,,,,,573 kWh/m²/an,,,"oui, attestation non conforme",Non,,,,,Risque élevé,Information non communiquée,,,Oui,,3270 m²,Non,,,,,Nord,21 m,2,,,21 m,,,A l’acte,25 m²,,,,,Equipée,3,4,,Oui,Oui,,Sud,,,,,,,,,,,,12 m²,15 m²,6 m²,,,,,,15 m²,9,,,,,,6 m²,Américaine,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/9230/wetteren/rbt70766,RBT70766,Maison à vendre,269000,Hamstraat 49,9230 Wetteren,À rénover,1965,3,128 m²,Non,Oui,Non,Oui,1,1,,Gaz,,Non,,,Oui,315 kWh/m²/an,20250430-0003590564-RES-1,30/04/2035,"oui, attestation non conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,200 m²,309 m²,Non,,,,,Sud-ouest,,,4,57 m²,,,Non,A l’acte,23 m²,Non,Non,Non,Non,,1,3,27 m²,,Non,Zone d'extension d'habitat,,Oui,,27 m,,,,,,,,,,,,,,,,,,,7364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/9230/wetteren/rbt70645,RBT70645,Villa à vendre,649000,Gaverstraatje 2,9230 Wetteren,Nouveau,2015,3,212 m²,Non,Non,Non,Oui,1,1,,Gaz,,Non,,,Oui,97 kWh/m²/an,20250507-0003593421-RES-1,07/05/2035,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,Oui,300 m²,461 m²,Non,Oui,,,,Sud-est,,,2,133 m²,,,Non,A l’acte,54 m²,Non,Non,Non,Non,Super équipée,2,4,28 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,35 m,,,,,,,,,,,,,,,,10 m²,,,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
