ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_habitable,Meublé,Surface_du_séjour,Caves,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Garage,Nombre_de_place_de_parking_intérieur,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Grenier,Surface_du_grenier,Largeur_de_la_façade,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Surface_du_bureau,Surface_des_caves,Porte_daccès_sécurisée,Surface_de_lades_salles_de_bain,Alarme_antieffraction,Référence_PEB,Nombre_de_places_de_parking_extérieur,Jardin,Station_de_charge_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_du_jardin,Type_de_cuisine,Adoucisseur_deau,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Air_conditionné,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout,Nombre_de_Garages,Surface_constructible,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Affectation_urbanistique_la_plus_récente,Surface_totale,Orientation_du_jardin,Maison_basse_énergie,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Balcon,Panneaux_solaires_thermiques,Surface_salle_à_manger,Appartement_de_service,Porte_de_garage_motorisée,Clef_électronique,Possibilités_pour_profession_libérale,Attestation__Installation_électrique__Validité,Surface_du_dressing,Espace_ouvert_sensible_à_leau__WORG,Surface_du_garage,Niveau_E,Niveau_K,Niveau_S,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/maison/a-vendre/1325/dion-valmont/vay72203,VAY72203,Maison à vendre,380000,Boulevard du Centenaire 39,1325 Dion-Valmont,,,,3,,135 m²,Non,31 m²,,Non équipée,,1,1,2,,,,Non,,,,,,,,,,340 kWh/m²/an,41226 kWh/an,29/10/2032,77,pas d'application,Information non communiquée,Information non communiquée,,,,Oui,,Oui,,,,,Oui,,,609 m²,,,,,,,,,,,,,20221029002775,2,Oui,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1325/corroy-le-grand/vay03286,VAY03286,Villa à vendre,399000,Clos du Verger 7,1325 Corroy-le-Grand,Normal,1984,A convenir,3,,125 m²,Non,35 m²,,Super équipée,,,1,1,Electrique,,,Non,,,Ouest,4,1,,,Oui,,327 kWh/m²/an,55588 kWh/an,,93,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,Oui,,Oui,10 m²,,,,Oui,,,866 m²,25 m,,,,,,,,,,,,20220608019137,3,Oui,,Oui,,,766 m²,,,,,,,,,,,,,,1,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1342/limelette/vbc90174,VBC90174,Maison à vendre,595000,,1342 Limelette,À rénover,1965,Immédiatement,4,,240 m²,Non,,Non,,,1,,2,Mazout,,,Non,,,Sud,4,2,,,,,330 kWh/m²/an,,,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Non,,,Oui,,Oui,,,,,Oui,,,1908 m²,,,Non,Non,Non,Non,Non,,,,,,20241028019999,,Oui,,,,,1800 m²,,,,,,,,,,,,,,2,292 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1342/limelette/vbc82025,VBC82025,Maison à vendre,395000,Avenue des Châtaigniers 13,1342 Limelette,Normal,1978,A l’acte,3,14 m²,145 m²,,31 m²,,,10 m²,1,,1,Mazout,Double vitrage,,,,,,4,2,,,Oui,,236 kWh/m²/an,41297 kWh/an,12/04/2035,58,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,8 m²,8 m²,Oui,,Oui,27 m²,,,,Oui,,14 m,974 m²,40 m,14 m,,,,,,,,,3 m²,Oui,,2,Oui,,Oui,,Non,814 m²,,,,,,,,,,Oui,,Oui,,1,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1342/limelette/vbc81979,VBC81979,Maison à vendre,375000,Rue de l'Europe 13,1342 Limelette,Normal,1950,A l’acte,3,12 m²,150 m²,Non,,Oui,Super équipée,10 m²,1,,1,Gaz,Double vitrage,,,,,,3,3,,Oui,Oui,,332 kWh/m²/an,54862 kWh/an,29/04/2035,612,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,16 m²,9 m²,Oui,,Oui,48 m²,,,,Oui,40 m²,8 m,168 m²,32 m,8 m,,Oui,,,,,13 m²,,,,,,Oui,,,,Non,90 m²,,,,,,,,,,,,,,1,,,,,,,,,,Nord-ouest,,,,,,,12 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1342/limelette/vbc83473,VBC83473,Villa à vendre,650000,,1342 Limelette,Normal,1997,A l’acte,4,14 m²,170 m²,Non,28 m²,,Equipée,20 m²,2,2,2,Mazout,Double vitrage,,Non,Non,,,4,,Oui,,Oui,Non,,,,,,Information non communiquée,Information non communiquée,,19 m²,20 m²,Oui,1,Oui,20 m²,,11 m²,,,,,1690 m²,,,,Oui,,,,,,,8 m²,,,1,Oui,,,,,1520 m²,Américaine,,Oui,,,,,,,,,,,1,,,,,,,,,,Sud,,,,,,,22 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1342/limelette/vbc80451,VBC80451,Villa à vendre,890000,Avenue Lambermont 49,1342 Limelette,Normal,1973,A l’acte,4,18 m²,302 m²,Non,72 m²,Oui,Super équipée,20 m²,2,1,3,Mazout,Double vitrage,,Non,Non,,Sud,4,1,Oui,,Oui,Oui,253 kWh/m²/an,76625 kWh/an,24/03/2035,62,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,12 m²,12 m²,Oui,,Oui,,Sud,13 m²,,Oui,,,2734 m²,,,,,,,,,,,,Oui,,4,Oui,,,,Non,2500 m²,,,,,,,,,,,,,,1,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/1342/limelette/vbc77913,VBC77913,Villa à vendre,680000,,1342 Limelette,Excellent,2001,,4,16 m²,180 m²,Non,20 m²,Oui,Super équipée,17 m²,2,2,2,,Double vitrage,,Non,Non,,,4,2,Non,Oui,Oui,Non,155 kWh/m²/an,41445 kWh/an,,38,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,10 m²,12 m²,Oui,,Oui,20 m²,,14 m²,,,,,1243 m²,,,,Oui,,,,,,,,Oui,,,Oui,,,,,1000 m²,,,Oui,,,,,,,Oui,,,,2,,,,,,,,,,Nord,,,,,,,20 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1342/limelette/vbc75772,VBC75772,Maison à vendre,350000,Rue de l'Europe 3,1342 Limelette,À rénover,1918,A l’acte,4,20 m²,161 m²,Non,20 m²,,,13 m²,1,1,2,,Double vitrage,,Non,Non,,Sud-est,3,2,Oui,Oui,Oui,Non,306 kWh/m²/an,57446 kWh/an,31/10/2034,41,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,14 m²,12 m²,Oui,3,Oui,40 m²,Nord-ouest,25 m²,,Oui,,11 m,525 m²,,11 m,,Oui,,,,,,,,,,6,Oui,,Non,Non,Non,152 m²,,,Oui,,,,,,,,,,,3,,,,,,,,,,,,,,,,,21 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1342/limelette/vbc49825,VBC49825,Maison à vendre,420000,Avenue Lambermont 39,1342 Limelette,À rénover,1980,A l’acte,5,9 m²,160 m²,Non,30 m²,,Equipée,9 m²,1,1,1,Mazout,Double vitrage,Oui,Non,,,,4,1,Oui,,Oui,Non,448 kWh/m²/an,77408 kWh/an,08/03/2025,111,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Non,14 m²,11 m²,Oui,1,,,,16 m²,9 m²,Oui,,,1407 m²,,,,Oui,,,,,,,,Oui,,3,Oui,,Non,Non,Non,1200 m²,Américaine,,,,,,,,,,,Oui,,1,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,
