ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Dressing,Surface_du_dressing,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Véranda,Salle_à_manger,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Raccordé_au_gaz_de_ville,Référence_PEB,Surface_constructible,Équipement_de_la_cuisine,Type_de_cuisine,Espace_ouvert_sensible_à_leau__WORG,Largeur_du_terrain_à_rue,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Surface_chambre_à_coucher_4,Nombre_de_place_de_parking_intérieur,Surface_des_caves,Surface_salle_à_manger,Surface_du_garage,Orientation_du_jardin,Surface_du_grenier,Station_de_charge_électrique,Panneaux_solaires,Surface_chambre_à_coucher_5,Étage_de_lappartement,Surface_du_bureau,Parlophone,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Compteur_deau_individuel
https://immovlan.be/fr/detail/maison/a-vendre/5530/purnode/vbc89256,VBC89256,Maison à vendre,549724,,5530 Purnode,Nouveau,,,,3,,,,126 m²,,,,,,,,1,,2,,,,,,4,9 m,,,Oui,,,,,4820 m²,,,Oui,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,9 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc88724,VBC88724,Maison à vendre,115000,Gayolle 829,5530 Yvoir,Normal,Non,,Immédiatement,3,3 m²,8 m²,7 m²,63 m²,Oui,14 m²,Non,Non,Non,,14 m²,1,,1,,Double vitrage,Non,Non,,,,,1,Oui,202 m²,Oui,12 m²,,,,Oui,,Oui,594 kWh/m²/an,,,,"oui, attestation non conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,Non,,,Non,Non,Non,Non,,,Oui,20250523024278,202 m²,,,,,Non,Non,4 m²,Non,Non,Non,Non,Non,Non,Non,pas d'application,Oui,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc87648,VBC87648,Maison à vendre,295000,,5530 Yvoir,,Non,1957,,3,,,,168 m²,Non,30 m²,Non,Oui,Non,,,1,,2,Mazout,,Non,,Ouest,4,,,,Oui,,Oui,20 m²,,591 m²,,Oui,,,233 kWh/m²/an,,17/01/2031,58,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,Oui,2,Oui,20210117006533,,,,,,,,,,,,,,,,,,,32 m,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/mont/vbc87226,VBC87226,Maison à vendre,199000,Rue du Centre 44,5530 Mont,À rénover,Non,,Immédiatement,4,9 m²,10 m²,15 m²,135 m²,Non,25 m²,Non,Oui,Non,,7 m²,1,,1,,Simple vitrage,Non,Non,,,,,1,Oui,630 m²,Oui,45 m²,,,,Oui,,Non,439 kWh/m²/an,,,,"oui, attestation non conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,Non,,,Non,Non,Non,Non,Oui,,Oui,20250528018758,630 m²,,,,,Non,Non,4 m²,Non,Non,Non,Non,Non,Oui,Non,pas d'application,Non,Non,,12 m²,1,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5530/yvoir/vbc87223,VBC87223,Appartement à vendre,115000,rue de la gare 9,5530 Yvoir,Normal,Oui,,,2,15 m²,15 m²,,93 m²,Non,28 m²,,,,,,1,1,1,Mazout,Double vitrage,Non,Non,Ouest,3,13 m,2,,,,,,,,Oui,Oui,,Non,193 kWh/m²/an,19251 kWh/an,30/10/2034,49,"non, pas d'attestation",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,13 m,,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5530/yvoir/vbc59111,VBC59111,Immeuble mixte à vendre,195000,,5530 Yvoir,À rénover,Oui,,,3,17 m²,17 m²,11 m²,194 m²,,,Oui,,,,18 m²,2,2,2,Mazout,Double vitrage,Non,Non,,3,,3,,,,Oui,24 m²,,,Oui,Oui,,Non,387 kWh/m²/an,38880 kWh/an,06/11/2033,,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,Oui,,,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,49 m²,18 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc82620,VBC82620,Maison à vendre,115000,Gayolle 786,5530 Yvoir,Normal,Non,,Immédiatement,1,9 m²,,,47 m²,Non,25 m²,Non,Non,Non,,,1,,1,,Double vitrage,Non,Non,,,,,1,Oui,200 m²,,,,,,Oui,,Oui,416 kWh/m²/an,,,,"oui, attestation non conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,Non,,,Non,Non,Non,Non,,,Non,20150507005999,200 m²,,,,,Non,Non,7 m²,Non,Non,Non,Non,Non,Non,Non,pas d'application,Non,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc81927,VBC81927,Maison à vendre,110000,Gayolle 244,5530 Yvoir,Normal,Non,,Immédiatement,2,7 m²,7 m²,,60 m²,Non,14 m²,Non,Non,Non,,22 m²,1,,1,,Double vitrage,Non,Non,,,,,1,,,Oui,10 m²,,,,Oui,,Oui,457 kWh/m²/an,,,,,,,,Non,Information non communiquée,Information non communiquée,Non,,,Non,Non,Non,Non,,,Non,20240731008609,200 m²,,,,,Non,Non,7 m²,Non,Non,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc66854,VBC66854,Maison à vendre,105000,Gayolle 12 371,5530 Yvoir,Excellent,,2015,Immédiatement,2,9 m²,4 m²,,55 m²,Oui,23 m²,,,,,4 m²,1,1,2,Gaz,Double vitrage,Non,Non,,4,,,10,Oui,,Oui,,,200 m²,Oui,Oui,,Oui,291 kWh/m²/an,,12/09/2034,,"oui, attestation conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,,,,,,,,Oui,,Oui,,,Equipée,Américaine,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc79612,VBC79612,Maison à vendre,319000,Bois de Devant Houx 5,5530 Yvoir,Normal,Non,1983,A l’acte,3,27 m²,23 m²,15 m²,188 m²,Non,40 m²,,,,,11 m²,1,1,2,Mazout,Double vitrage,Non,Non,Nord-ouest,4,,1,2,Oui,800 m²,Oui,32 m²,Sud-est,2896 m²,Non,Oui,Oui,Non,337 kWh/m²/an,74213 kWh/an,13/05/2035,84,"oui, attestation non conforme",05/09/2025,Oui,Oui,Non,Risque moyen,Information non communiquée,,,,Oui,Oui,,,Oui,2,,,,Semi-équipée,Kitchenette,,,,,6 m²,,,,,,,,,,,,,2,,11 m²,40 m²,Sud-est,,,,,,,,,,,,
