ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_4,Caves,Parlophone,Alarme_antieffraction,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_du_jardin,Surface_de_la_terrasse,Largeur_du_terrain_à_rue,Disponibilité_du_bien,Surface_du_bureau,Salle_à_manger,Dressing,Buanderie,Local_vélo,Référence_PEB,Surface_des_caves,Surface_du_grenier,Surface_de_lades_salles_de_bain,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_du_garage,Surface_salle_à_manger,Orientation_du_jardin,Profondeur_du_terrain,Surface_constructible,Air_conditionné,Étage_de_lappartement,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Niveau_E,Niveau_K,Attestation__Asbuilt,Feu_ouvert,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,Surface_du_dressing,Compteur_Bihoraire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel
https://immovlan.be/fr/detail/appartement/a-vendre/5030/gembloux/vbc91615,VBC91615,Appartement à vendre,315000,,5030 Gembloux,,,,2,,,,93 m²,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,96 kWh/m²/an,8819 kWh/an,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4700/eupen/vbc91612,VBC91612,Maison à vendre,,Simarstasse 12,4700 Eupen,Nouveau,,,3,,,,133 m²,Non,,,,,,,,,,2,,2,,,,Non,,2,,,Oui,Oui,Sud-est,,,,,,,,,,,,Oui,,,Information non communiquée,Information non communiquée,,,,,,,20 m²,16 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6600/bastogne/vbc91611,VBC91611,Appartement à vendre,289000,Rue Gustave-Delperdange 70,6600 Bastogne,Nouveau,,2025,2,,,,98 m²,Non,,,,,,,,Indépendante,,1,,1,,Gaz,Double vitrage,Oui,,,5,,,Oui,,,Oui,,Oui,,,,,,,"oui, attestation conforme",Oui,,,Information non communiquée,Information non communiquée,,,Oui,,,,,9 m²,,,,,,,Oui,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6600/bastogne/vbc91610,VBC91610,Appartement à vendre,314000,Rue Gustave-Delperdange 70,6600 Bastogne,Nouveau,,2025,2,,,,100 m²,Non,,,,,,,,Indépendante,,1,,1,,Gaz,Double vitrage,Oui,,,3,,,Oui,,,Oui,,Oui,,,,,,,"oui, attestation conforme",Oui,,,Information non communiquée,Information non communiquée,,,Oui,,,,,9 m²,,,,,,,Oui,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5030/gembloux/vbc91609,VBC91609,Appartement à vendre,419000,,5030 Gembloux,,,,3,,,,133 m²,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,91 kWh/m²/an,12042 kWh/an,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/loft/a-vendre/4000/liege/vbc91608,VBC91608,Loft à vendre,275000,Quai de la Derivation,4000 Liège,Nouveau,,2022,2,,,,102 m²,Non,,,,,,,,,,,,,,,,,,,6,,,Oui,,,Oui,Oui,Oui,,,63 kWh/m²/an,6045 kWh/an,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,6 m²,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/3800/saint-trond/rbt72681,RBT72681,Immeuble mixte à vendre,259000,Stapelstraat 54,3800 Saint-Trond,Normal,Non,1952,5,,,,149 m²,Non,,Non,Non,,,,,,,1,,2,,Gaz,,Non,,2,,,,Oui,,157 m²,,,,,,,,,,pas d'application,,,Non,Information non communiquée,Information non communiquée,,Non,,,,,,,,,,Non,Non,Non,Non,20231008-0003009085-KKNR-1,,,,,,,,,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1150/woluwe-saint-pierre/vbc91603,VBC91603,Maison à vendre,1115000,Corniche Verte 17,1150 Woluwe-Saint-Pierre,À rénover,Non,1965,5,24 m²,17 m²,12 m²,315 m²,Non,64 m²,Oui,,Oui,3,2,,,15 m²,3,1,3,,Gaz,,Non,Non,3,2,2,Oui,Oui,Sud-est,1595 m²,,,,,Oui,302 kWh/m²/an,302 kWh/an,,,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,22 m²,Oui,,Oui,,,1500 m²,,,A l’acte,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 m²,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4100/seraing/vbc91602,VBC91602,Maison à vendre,99000,Rue Jean de Seraing 88,4100 Seraing,,Non,,3,18 m²,21 m²,18 m²,165 m²,Non,17 m²,Oui,,Oui,1,,,,10 m²,1,,1,,Gaz,Double vitrage,Non,Non,2,2,,,Oui,,,Oui,Oui,Oui,,Non,466 kWh/m²/an,76710 kWh/an,29/07/2033,,"oui, attestation non conforme",Non,Non,Non,Information non communiquée,Information non communiquée,14 m²,Oui,,,,,,,,A l’acte,,Oui,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2830/blaasveld/rbt72678,RBT72678,Appartement à vendre,290491,Mechelsesteenweg 286,2830 Blaasveld,Nouveau,,,1,17 m²,,,81 m²,,,,,Oui,,1,,,,1,1,1,Oui,Air pulsé,Double vitrage,Oui,,4,4,,Oui,Oui,Nord-ouest,,,,,,,,,,,,,,,Information non communiquée,Information non communiquée,,Oui,Oui,,,,,19 m²,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
