ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Surface_totale,Garage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Porte_de_garage_motorisée,Station_de_charge_électrique,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_électrique_individuel,Compteur_Bihoraire,Compteur_deau_individuel,Compteur_de_gaz_individuel,Air_conditionné,Parlophone,Alarme_antieffraction,Ascenseur,HammamSaunaJacuzzi,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Caves,Surface_des_caves,Véranda,Nombre_de_Garages,Surface_de_lades_salles_de_bain,Accessible_aux_moins_valides,Surface_totale_du_terrain,Référence_PEB,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Bien_actuellement_loué,Disponibilité_du_bien,Meublé,Grenier,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_douches,Nombre_de_toilettes,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Surface_du_séjour,Surface_salle_à_manger,Surface_de_la_cuisine,Largeur_de_la_façade,Surface_constructible,Largeur_du_terrain_à_rue,Date_de_validité_PEB,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_dressing,Type_de_cuisine,Espace_ouvert_sensible_à_leau__WORG,Étage_de_lappartement,Adoucisseur_deau,Porte_daccès_sécurisée,Affectation_urbanistique_la_plus_récente,Maison_basse_énergie,Feu_ouvert,Surface_du_bureau,Surface_du_grenier,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Emission_de_CO2,Balcon,Conso_annuelle_totale_dénergie_primaire,Possibilités_pour_profession_libérale,Domotique,Adaptations_pour_les_seniors,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Attestation__Asbuilt,Niveau_E,Niveau_S,Clef_électronique,Panneaux_solaires_thermiques
https://immovlan.be/fr/detail/maison/a-vendre/1790/affligem/rbt35342,RBT35342,Maison à vendre,479000,Bocht 54,1790 Affligem,Excellent,1992,3,19 m²,11 m²,11 m²,182 m²,,Oui,1,20 m²,,,Super équipée,1,Oui,Electrique,,,Double vitrage,,,,,,,,,,,4,1,Oui,,,Oui,,,Oui,,Oui,,,328 kWh/m²/an,"oui, attestation conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,Oui,7 m²,,1,10 m²,,461 m²,,Oui,,,A l’acte,,Oui,,,,,,2,,,38 m²,,12 m²,,,,04/03/2035,,,,,Non,,Oui,,,,,,30 m²,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1790/affligem/rbt34830,RBT34830,Maison à vendre,269000,Kerkstraat 22,1790 Affligem,À rénover,1930,3,20 m²,14 m²,,155 m²,,,,,,,Equipée,1,,Gaz,,,Double vitrage,,,,,,,,,,,3,,Oui,83 m²,,Oui,20 m²,,Oui,Oui,Oui,,Non,449 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Risque moyen,Information non communiquée,Oui,6 m²,,,8 m²,,207 m²,,Non,,,A l’acte,Non,Oui,,,,,,1,,,40 m²,,16 m²,6 m,,6 m,23/12/2034,,,,Américaine,,,,,,,,,32 m²,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1790/affligem/rbt31291,RBT31291,Maison à vendre,385000,Fosselstraat 150,1790 Affligem,Normal,2006,3,,,,140 m²,,Oui,,,,,,1,,Gaz,,,Double vitrage,,,,,,,,,,,3,1,Oui,,,Oui,,,,Oui,Oui,,,182 kWh/m²/an,,,,,,,,,Information non communiquée,Information non communiquée,,,,1,,,290 m²,,,,,,,,,,,,,,,,,,,,,,30/09/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/1790/affligem/rbt20915,RBT20915,Bungalow à vendre,425000,Sparrenlaan 8,1790 Affligem,Normal,,2,24 m²,13 m²,,204 m²,,Oui,,,,,Equipée,1,,,,,Double vitrage,,,,,,,,,,,4,1,Oui,450 m²,,Oui,20 m²,Sud-ouest,Oui,,Oui,,,583 kWh/m²/an,,,Oui,Non,,,,,Information non communiquée,Information non communiquée,Oui,,Oui,1,,,756 m²,,Oui,,,A l’acte,,Oui,,,,,,2,1,,50 m²,,15 m²,12 m,,12 m,,,,,Américaine,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1790/affligem/rbt24875,RBT24875,Maison à vendre,429000,Spoorweglaan 33,1790 Affligem,Normal,1990,3,16 m²,13 m²,12 m²,200 m²,,Oui,,,,,Super équipée,1,Oui,Mazout,,,Double vitrage,,,,,,,,,,,3,3,Oui,140 m²,,Oui,20 m²,,Oui,Oui,Oui,,Oui,391 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Risque élevé,Information non communiquée,,,Oui,1,12 m²,,399 m²,,Oui,,,A l’acte,Non,Oui,,Oui,,,,2,1,,45 m²,,19 m²,8 m,,8 m,11/04/2035,,,12 m²,,Non,,,,,,,,20 m²,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1790/affligem/rbt23664,RBT23664,Appartement à vendre,209000,Lombeekstraat 34/bus 3 34 3,1790 Affligem,Normal,1977,2,12 m²,10 m²,,110 m²,,Oui,,,,,Semi-équipée,1,,Electrique,,,Double vitrage,,,,,,Oui,,Non,,,3,,,,,,,,Oui,,Oui,,,414 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,1,12 m²,,,,Non,,,,,,,,,,,1,,,35 m²,,16 m²,,,,23/07/2034,,,,Kitchenette,Non,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1790/affligem/rbt23663,RBT23663,Appartement à vendre,179000,Lombeekstraat 34/bus 2 34 2,1790 Affligem,Normal,,2,14 m²,11 m²,,86 m²,,Oui,,,,,Semi-équipée,1,,Electrique,,,Double vitrage,,,,,,Oui,,Non,,,3,,,,,Oui,2 m²,,Oui,,Oui,,,456 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,1,4 m²,,,,Non,,,,,,,,,,,,,,26 m²,,10 m²,,,,23/07/2034,,,,Kitchenette,Non,1,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1790/affligem/rbt23658,RBT23658,Appartement à vendre,214800,Lombeekstraat 32/bus 5 32 5,1790 Affligem,Normal,1977,2,15 m²,12 m²,,108 m²,,Oui,,,,,Semi-équipée,1,,Electrique,,,Double vitrage,,,,,,Oui,,Non,,,3,,,,,,,,Oui,,Oui,,,468 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,1,8 m²,,,,Non,,,A l’acte,,,,,Oui,,,1,,,34 m²,,13 m²,,,,23/07/2034,,,,Kitchenette,Non,2,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1790/affligem/rbt23653,RBT23653,Appartement à vendre,184800,Lombeekstraat 32/bus 4 32 4,1790 Affligem,Normal,1977,2,13 m²,10 m²,,86 m²,,Oui,,,,,Semi-équipée,1,,Electrique,,,Double vitrage,,,,,,Oui,,Non,,,2,,,,,Oui,2 m²,,Oui,,Oui,,,187 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,1,4 m²,,,,Non,,,,,,,,Oui,,,1,,,28 m²,,10 m²,,,,18/03/2034,,,,Kitchenette,Non,1,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1790/affligem/rbt23649,RBT23649,Appartement à vendre,175700,Lombeekstraat 32/bus 2 32 2,1790 Affligem,Normal,1977,2,13 m²,10 m²,,85 m²,,Oui,,,,,Semi-équipée,1,,Electrique,,,Double vitrage,,,,,,Oui,,Non,,,3,,,,,,,,,,Oui,,,458 kWh/m²/an,"oui, attestation non conforme",,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,1,4 m²,,,,Non,,,,,,,,Oui,,,1,,,30 m²,,8 m²,,,,23/07/2034,,,,Kitchenette,Non,0,,,,,,,,,,,,,,,,,,,,,,
