ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Terrasse_aménagée,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Etat_du_bien,Disponibilité_du_bien,Meublé,Équipement_de_la_cuisine,Jardin,Attestation__Installation_électrique,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Station_de_charge_électrique,Type_de_cuisine,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Attestation__Citernes_à_mazout,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Orientation_du_jardin,Date_de_validité_PEB,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Citerne_à_eau_de_pluie,Permis_de_bâtir_obtenu,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_salle_à_manger,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Espace_ouvert_sensible_à_leau__WORG,Nombre_de_douches,Surface_constructible,Étage_de_lappartement,Niveau_E,Surface_du_garage,Surface_du_bureau,Surface_du_grenier,Panneaux_solaires_thermiques,Appartement_de_service,Attestation__Installation_électrique__Validité,Surface_de_la_véranda,Niveau_K,Surface_des_caves,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt30757,RBT30757,Maison à vendre,319477,Langemarkstraat 104,8980 Zonnebeke,Non,2025,3,136 m²,Non,Oui,Non,Non,Non,Non,Non,,,1,2,Gaz,Double vitrage,,,,,,3,,,,,309 m²,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Nouveau,,,Equipée,,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,15 m²,11 m²,13 m²,,,20 m²,,9 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt25592,RBT25592,Maison à vendre,180000,Schipstraat 29,8980 Zonnebeke,,,4,154 m²,Oui,Oui,Non,,,,,Oui,2,1,,Mazout,Simple vitrage,,,Non,Non,,,13 m,,,,1079 m²,,13 m,,,773 kWh/m²/an,20240828-0003353237-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,À rénover,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt13588,RBT13588,Maison à vendre,155000,Boudewijnpark 53,8980 Zonnebeke,,1971,3,167 m²,Oui,Non,Non,,,,,Oui,1,1,,Gaz,Double vitrage,,,Non,Non,,,6 m,,,,117 m²,,6 m,,,160 kWh/m²/an,20230414-0002866270-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,70 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt19007,RBT19007,Maison à vendre,369000,Nieuwstraat 20,8980 Zonnebeke,,1951,3,200 m²,Oui,Non,Non,,,,,Oui,1,2,,Gaz,Double vitrage,,,Non,Non,,,11 m,,,Oui,373 m²,,11 m,,,197 kWh/m²/an,20250425-0003550702-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,25/04/2035,Non,,,,,,,,,,,,,,,,50 m²,,,,,,,104 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt14183,RBT14183,Maison à vendre,230000,Nieuwstraat 39,8980 Zonnebeke,,,6,315 m²,Non,Oui,Non,,,,,,,1,,Gaz,Double vitrage,,,Non,Non,,,8 m,,,,540 m²,,,,,351 kWh/m²/an,20240704-0003302617-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,187 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/chalet/a-vendre/8980/zonnebeke/rbt11736,RBT11736,Chalet à vendre,199000,Nonnebossen-Noord 42,8980 Zonnebeke,,,1,75 m²,Oui,Non,Non,,,,,,,1,,Bois,Double vitrage,Oui,,Non,Non,,,16 m,,,Oui,365 m²,,,,,1326 kWh/m²/an,20210726-0002444893-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,26/07/2031,,,,,,,,,,,,,,,,,,,,,,,,75 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8980/zonnebeke/rbt11191,RBT11191,Appartement à vendre,336853,Maagdestraat 1 A1.2,8980 Zonnebeke,,2023,2,108 m²,Non,Non,Non,,,,,Oui,,1,,Electrique,,,,Oui,Oui,,,,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,Oui,Nouveau,,,,,"non, pas d'attestation",,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,27 m²,,,,,,108 m²,1,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbt08477,RBT08477,Maison à vendre,80000,Sprookjesbosdreef 56-58,8980 Zonnebeke,,1970,0,14 m²,Non,Non,Non,,,,,,,,,Electrique,Simple vitrage,,,Non,Non,,,7 m,,,,2840 m²,,20 m,,,987 kWh/m²/an,,,,Pas de risque d’inondation,Information non communiquée,Non,À rénover,,,,,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbs41899,RBS41899,Maison à vendre,325000,Ieperstraat 140,8980 Zonnebeke,,1955,3,358 m²,Oui,Oui,Non,,,,,Oui,2,1,,Gaz,Double vitrage,,,Non,Non,,,9 m,,,Oui,553 m²,,9 m,,,289 kWh/m²/an,20240718-0003317961-RES-1,,,Pas de risque d’inondation,Information non communiquée,Non,Normal,,,,Oui,"non, pas d'attestation",,,,,,,,,,,,,,,,,,,,,,,,,18/07/2034,Non,,,,,,,,,,,,,,,,,,,,,,,228 m²,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8980/zonnebeke/rbs97534,RBS97534,Maison à vendre,299500,Nonnebossen-West 41,8980 Zonnebeke,,1999,3,150 m²,,,,,,,,,,1,1,Gaz,Double vitrage,Oui,,,,,4,,,4,Oui,378 m²,,,,,237 kWh/m²/an,20240807-0003333671-RES-1,,,Information non communiquée,Information non communiquée,,Excellent,,,Equipée,Oui,"oui, attestation non conforme",,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
