ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Permis_durbanisation_accordé,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Chauffage_au_sol,Pompe_à_chaleur,Parlophone,Le_bien_fait_lobjet_dun_droit_de_préemption,Étage_de_lappartement,Meublé,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Raccordé_aux_égouts,Espace_ouvert_sensible_à_leau__WORG,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_toilettes,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_à_leau_courante,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Emission_de_CO2,Permis_de_bâtir_obtenu,Disponibilité_du_bien,Bien_actuellement_loué,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Surface_constructible,Raccordé_au_gaz_de_ville,Affectation_urbanistique_la_plus_récente,Orientation_du_jardin,Alarme_antieffraction,Profondeur_du_terrain,Balcon,Adoucisseur_deau,Porte_daccès_sécurisée,Niveau_E,Niveau_K,Type_de_cuisine,Surface_du_bureau,Nombre_de_douches,Panneaux_solaires_thermiques,Domotique,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Surface_des_caves,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Surface_de_lades_salles_de_bain,Compteur_deau_individuel,Compteur_de_gaz_individuel,Feu_ouvert,Appartement_de_service,Citerne_à_eau_de_pluie,Station_de_charge_électrique,Maison_basse_énergie,Compteur_électrique_individuel,Compteur_Bihoraire,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Surface_du_grenier,Surface_du_garage,Attestation__Installation_électrique__Validité,Surface_du_dressing
https://immovlan.be/fr/detail/duplex/a-vendre/3700/tongres/rbr90689,RBR90689,Duplex à vendre,299000,Hasseltsesteenweg 492 2,3700 Tongres,,1970,2,120 m²,,Oui,,,,,Gaz,Double vitrage,Non,Non,Non,,,Oui,,228 kWh/m²/an,20241114-0003445695-RES-1,,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,A l’acte,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3700/tongres/rbs43101,RBS43101,Maison à vendre,630000,Graanmarkt 5,3700 Tongres,À rénover,1850,4,619 m²,Oui,Oui,,,,3,Gaz,Double vitrage,,,,,,,185 m²,711 kWh/m²/an,20240601-0003260519-KNR-1,,"oui, attestation non conforme",Non,,,,,Pas de risque d’inondation,Information non communiquée,,Non,,Non,Non,,Non,3,,Non,,,,,,,63 m²,,,Equipée,33 m²,4,,3,,,,,Oui,,,,Non,A l’acte,,Oui,,,Non,185 m²,Oui,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Non,,,,Non,,,,,,Non,Non,pas d'application,Non,,,26 m²,,,,,,,,,,,,,,,30 m²,,,6 m²
https://immovlan.be/fr/detail/maison/a-vendre/3700/tongres/rbs38104,RBS38104,Maison à vendre,79000,Lindebornstraat 30,3700 Tongres,,,,,,,,,,,,,,Non,Non,,,,,965 kWh/m²/an,20230213-0002808895-RES-1,,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,A l’acte,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3700/tongres/vbc10154,VBC10154,Maison à vendre,349000,Luikersteenweg 164,3700 Tongres,Normal,1956,3,170 m²,Oui,,Oui,Oui,2,1,Mazout,Double vitrage,,Non,Non,Sud-ouest,Oui,Oui,3406 m²,799 kWh/m²/an,,09/10/2023,"oui, attestation non conforme",Non,,,,,Pas de risque d’inondation,Information non communiquée,,,,,Oui,,Non,4,5,Oui,,21 m²,18 m²,16 m²,,,26 m²,Oui,23 m²,Equipée,17 m²,1,13 m,1,2470 m²,38 m²,Nord-est,13 m,Oui,Non,157300 kWh/an,39,Non,A l’acte,Non,,,,,,,,Sud-ouest,,,,,,,,Américaine,,1,,,,,,,8 m²,2,,7 m²,,,Oui,,,,,,,,,,34 m²,,
https://immovlan.be/fr/detail/appartement/a-vendre/3700/tongres/vbb60249,VBB60249,Appartement à vendre,179000,Kielenstraat 81 7,3700 Tongres,Excellent,,2,90 m²,,,,,,1,Mazout,Double vitrage,,Oui,,,,Oui,,255 kWh/m²/an,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,3,,2,,,,10 m²,13 m²,,,,33 m²,,,Super équipée,11 m²,1,,,,,,,Oui,,,,,A l’acte,,,,,,,Oui,,,,,,,Oui,,,,,1,,,,,,,,,,3 m²,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3700/tongres/rbt63903,RBT63903,Maison à vendre,,De Schaetzengaarde 44,3700 Tongres,À rénover,1991,4,192 m²,Oui,Oui,Non,Oui,1,2,Solaire,Double vitrage,Oui,Non,Non,,Oui,Oui,239 m²,260 kWh/m²/an,20240807-0003334007-RES-1,07/08/2034,"non, pas d'attestation",Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,Oui,,Non,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3700/berg/rbs94545,RBS94545,Maison à vendre,189000,Millerweg 66,3700 Berg,À rénover,1954,3,148 m²,Non,Oui,Non,Oui,1,1,Mazout,,,Non,,Ouest,Oui,,385 m²,781 kWh/m²/an,20250326-0003562690-RES-1,,"oui, attestation conforme",,,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,Non,3,,,,,,,,,,Non,,,,2,,,,,,,,,,,,A l’acte,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3700/tongres/rbs81036,RBS81036,Appartement à vendre,150000,Hasseltsesteenweg 20 3,3700 Tongres,,1975,2,81 m²,,Non,Non,,,1,Non specifié,,Non,Oui,Non,,Oui,Oui,,176 kWh/m²/an,20230209-0002796949-RES-1,,,Non,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,1,,,,,,,,,,,,Non,,Equipée,,1,,,,3 m²,,,,,,,Oui,,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/3724/vliermaal/rbt66587,RBT66587,Bungalow à vendre,305000,Loostraat 23,3724 Vliermaal,À rénover,1978,3,198 m²,,Oui,,Oui,,1,,Double vitrage,,,,,Oui,Oui,988 m²,362 kWh/m²/an,,,,,,,,,Information non communiquée,Information non communiquée,,,,,Non,,,4,3,Oui,,,,,,,,,,,,2,25 m,,,,,,,,,,,A l’acte,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3724/vliermaal/rbs92269,RBS92269,Maison à vendre,395000,Boschelstraat 66,3724 Vliermaal,,1998,3,,,Oui,,Oui,,,Mazout,Double vitrage,Non,Non,Non,,Oui,Oui,,124 kWh/m²/an,20221126-0002737307-RES-1,,,,,,,,Pas de risque d’inondation,Information non communiquée,Non,,,,Non,,,4,2,,,,,,,,,,,,,2,,,,,,,,,,,,A l’acte,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
