ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Équipement_de_la_cuisine,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Nombre_de_place_de_parking_intérieur,Type_de_cuisine,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Parlophone,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Niveau_E,Permis_durbanisation_accordé,Surface_constructible,Meublé,Attestation__Asbuilt,Surface_du_jardin,Conso_annuelle_totale_dénergie_primaire,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Permis_de_bâtir_obtenu,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Surface_du_grenier,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Surface_de_la_terrasse,Étage_de_lappartement,Surface_des_caves,Surface_du_garage,Surface_de_la_cuisine,Niveau_S,Nombre_de_douches,Feu_ouvert,Orientation_de_la_terrasse,Citation_pour_infraction_urbanistique,Niveau_K,Possibilités_pour_profession_libérale,Station_de_charge_électrique,Adoucisseur_deau,Compteur_de_gaz_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Appartement_de_service,Emission_de_CO2,Attestation__Citernes_à_mazout,Attestation__Installation_électrique__Validité,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Panneaux_solaires_thermiques,Surface_de_la_véranda,Compteur_électrique_individuel,Compteur_deau_individuel,Espace_ouvert_sensible_à_leau__WORG,Surface_totale,Surface_du_bureau,Surface_du_dressing,Porte_de_garage_motorisée
https://immovlan.be/fr/detail/villa/a-vendre/8670/sint-idesbald/rbt45317,RBT45317,Villa à vendre,1695000,Marie-Jos?straat 4,8670 Sint-Idesbald,Excellent,Non,5,291 m²,Non,Non,Non,Non,Oui,Oui,Non,Oui,1,2,2,,2,Oui,Oui,1093 m²,,Oui,Non,44 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2018,,,,,,Oui,,,,,,,,Oui,,,,,,Oui,,Oui,,Oui,,,,,,,Oui,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt36469,RBT36469,Appartement à vendre,199000,Biedenkopflaan 17 GV0B,8670 Oostduinkerke,Excellent,,2,36 m²,,,,,,,,,,1,1,2,,Oui,Oui,,Oui,Oui,,441 kWh/m²/an,20250429-0003589723-RES-1,29/04/2035,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1993,,Equipée,Electrique,Double vitrage,,,,,,,3,,,,,,,,,,,,,Oui,,,,,36 m²,,,,,,,,,Oui,,,,,,,Sud,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt35242,RBT35242,Appartement à vendre,315000,Alfred Devoslaan 25 0202,8670 Oostduinkerke,Excellent,,2,84 m²,,,,,,,,,,1,1,2,,Oui,Oui,,,,,364 kWh/m²/an,20210612-0002428209-RES-1,12/06/2031,"non, pas d'attestation","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1979,,Equipée,Electrique,Double vitrage,,,Oui,,,,3,,,,,,,,,,,,,Oui,,,,,90 m²,,,,,,,,,Oui,,,,,,,Sud-est,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8670/oostduinkerke/rbt32352,RBT32352,Maison à vendre,499000,Oostlaan 13,8670 Oostduinkerke,Excellent,,3,188 m²,,Oui,,,,,,Oui,1,1,2,3,,Oui,Oui,322 m²,Oui,Oui,,234 kWh/m²/an,20241021-0003419489-RES-1,,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1974,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/8670/sint-idesbald/rbt14361,RBT14361,Villa à vendre,1695000,Marie-Jos?straat 4,8670 Sint-Idesbald,Excellent,Non,5,291 m²,Non,Non,Non,Non,Oui,Oui,Non,Oui,1,2,2,,2,Oui,Oui,1093 m²,,Oui,Non,44 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2018,,,,,,Oui,,,,,,,,Oui,,,,,,Oui,,Oui,,Oui,,,,,,,Oui,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbi52886,RBI52886,Appartement à vendre,560000,Oostlaan 1 01.02,8670 Oostduinkerke,Nouveau,,2,97 m²,,,,,,,,,,1,1,2,,Oui,Oui,,Oui,Oui,,,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2024,,Super équipée,Gaz,Double vitrage,,,Oui,,,,3,,,,,,,,,,,Oui,,Oui,,,,,118 m²,,,,,,,,,Oui,,,,,,,Sud-ouest,21 m²,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8670/oostduinkerke/rbs37606,RBS37606,Maison à vendre,399000,Leeuwerikstraat 34,8670 Oostduinkerke,À rénover,Non,4,185 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,1,,,Oui,Oui,350 m²,,Oui,Non,1133 kWh/m²/an,20230404-0002857695-RES-1,04/04/2033,"oui, attestation non conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1991,,,Electrique,Double vitrage,,,,,,,,,,,,,,,,,,,,,,,,,125 m²,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt65255,RBT65255,Appartement à vendre,342000,Leopold II Laan 217 GV04,8670 Oostduinkerke,Remis à neuf,Non,2,68 m²,Non,Non,Non,Non,Non,Non,Non,,,1,1,2,,Oui,Oui,,,Oui,Non,398 kWh/m²/an,20250402-0003532959-RES-2,02/04/2035,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,1999,,,Electrique,Double vitrage,,,Oui,,,,5,,,,,,,,,,,,,Oui,,,,,82 m²,,,,,,,,,,,,,,,,Sud,14 m²,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/sint-idesbald/rbt64582,RBT64582,Appartement à vendre,475000,Koninklijke Baan (achterkant) 290,8670 Sint-Idesbald,Excellent,Non,2,,Non,Non,Non,Non,Non,Non,Non,Oui,1,2,,,,,Oui,,Oui,Oui,Non,92 kWh/m²/an,20250604-0003617330-RES-1,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,2009,,,,,,,Oui,,,,3,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt64451,RBT64451,Appartement à vendre,675000,Albert I Laan 72 0301,8670 Oostduinkerke,Normal,,3,143 m²,Non,Non,Non,,,,,,,2,,,,,Oui,,,,,89 kWh/m²/an,20250403-0003569940-RES-1,03/04/2035,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1993,,,Gaz,Double vitrage,,,Oui,Non,,15 m,,,27 m,,Non,Non,,,,,,,,Oui,,,,Non,261 m²,Non,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt64443,RBT64443,Appartement à vendre,695000,Dewittelaan 83 GV01,8670 Oostduinkerke,Remis à neuf,,3,124 m²,Non,Non,Non,,,,,Oui,,2,,,,,Oui,,,,,251 kWh/m²/an,20250426-0003442278-RES-2,26/04/2035,pas d'application,,Pas de risque d’inondation,Information non communiquée,1991,,,Electrique,Double vitrage,,,Oui,Non,,48 m,,,,,Non,Non,,,,,,,,,,,,Non,671 m²,Oui,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt64441,RBT64441,Appartement à vendre,1795000,Fairybankhelling 2 F3/02-0304,8670 Oostduinkerke,Normal,,3,195 m²,Non,Non,Non,,,,,Oui,,3,,,,,Oui,,,,,451 kWh/m²/an,20241111-0003442278-Res-1,11/11/2034,pas d'application,,Pas de risque d’inondation,Information non communiquée,,,,Non specifié,,,,Oui,Non,,,,,,,,Non,,,,,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt64440,RBT64440,Appartement à vendre,235000,Alfred Devoslaan 30 C0302,8670 Oostduinkerke,À rénover,,2,69 m²,Non,Non,Non,,,,,,,1,,,,,,,,,,484 kWh/m²/an,20240612-0003274213-RES-1,12/06/2034,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1964,,,Gaz,Double vitrage,,,Non,Non,Ouest,,,,,,,Non,,,,,,,,Oui,,,,Non,,Non,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/studio/a-vendre/8670/oostduinkerke/rbt64437,RBT64437,Studio à vendre,140000,europaplein 6 602,8670 Oostduinkerke,À rénover,,0,38 m²,Non,Non,Non,,,,,,,1,,,,,,,,,,152 kWh/m²/an,20240203-0003131429-RES1,03/02/2034,"non, pas d'attestation",,Pas de risque d’inondation,Information non communiquée,1995,,,Gaz,Double vitrage,,,Oui,Non,Nord-est,,,,,,,Non,,,,,,,,Oui,,,,Non,,Non,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt63700,RBT63700,Appartement à vendre,239800,Dunepark 363,8670 Oostduinkerke,Nouveau,Non,2,44 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,1,4,2,Oui,,,Non,Oui,Oui,,,,pas d'application,Zone de séjour récréatif,Pas de risque d’inondation,Information non communiquée,2021,A l’acte,Equipée,Bois,Double vitrage,,Non,,,Ouest,4 m,,16 m,12 m,,Non,,,,,Oui,Non,,,Non,Non,,,,,Oui,,,,,,,,,,,,21 m²,,,,,,,11 m²,,,1,,,,,,,,,Non,Non,,,,,pas d'application,,,,Non,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/8670/oostduinkerke/rbt63501,RBT63501,Appartement à vendre,325000,Zeedijk 412 202,8670 Oostduinkerke,,Non,1,40 m²,Oui,Non,Non,Non,Non,Non,Non,,,,,2,,,,,Oui,Oui,,118 kWh/m²/an,,,"oui, attestation conforme","Zone d'habitat (résidentiel, urbain ou rural)",Information non communiquée,Information non communiquée,,,Equipée,Gaz,Double vitrage,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8670/oostduinkerke/rbt62923,RBT62923,Maison à vendre,175000,Polderstraat 158 250,8670 Oostduinkerke,À rénover,Non,2,52 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,,,1,Oui,,,,,Oui,826 kWh/m²/an,20250522-0003608353,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,1980,A l’acte,Super équipée,Electrique,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/8670/oostduinkerke/rbt62920,RBT62920,Maison à vendre,175000,Polderstraat 158 250,8670 Oostduinkerke,À rénover,Non,2,52 m²,Non,Non,Non,Non,Non,Non,Non,Oui,1,1,,,1,Oui,,,,,Oui,826 kWh/m²/an,20250522-0003608353,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,1980,A l’acte,Super équipée,Electrique,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
