ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Parlophone,Ascenseur,Étage_de_lappartement,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_constructible,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Attestation__Installation_électrique,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Disponibilité_du_bien,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Nombre_de_façades,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Balcon,Conso_spécifique_dénergie_primaire,Référence_PEB,Le_bien_fait_lobjet_dun_droit_de_préemption,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Etat_du_bien,Surface_de_la_terrasse,Surface_chambre_à_coucher_1,Meublé,Surface_du_séjour,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_douches,Orientation_de_la_façade_du_bien,Raccordé_aux_égouts,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_salle_à_manger,Niveau_E,Surface_du_jardin,Niveau_K,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_de_lades_salles_de_bain,Feu_ouvert,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Pompe_à_chaleur,Porte_de_garage_motorisée,Clef_électronique,HammamSaunaJacuzzi,Attestation__Installation_électrique__Validité,Adoucisseur_deau,Surface_du_grenier,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Station_de_charge_électrique,Surface_chambre_à_coucher_5,Maison_basse_énergie,Surface_du_garage,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Niveau_S,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing,Compteur_Bihoraire
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72928,RBT72928,Appartement à vendre,386000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,99 m²,Oui,,,,,,,Oui,1,1,2,Oui,Oui,1,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,23 m²,14 m²,Non,,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,10 m²,9 m²,,,,,,,Oui,Oui,,,,5 m²,,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72927,RBT72927,Appartement à vendre,420000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,95 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,3,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,25 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,6 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9051/afsnee/rbt72926,RBT72926,Appartement à vendre,395000,Raymonde de Larochelaan 1,9051 Afsnee,Non,2025,3,96 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,26 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72925,RBT72925,Appartement à vendre,489000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,4,134 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,3,,,11 m,,,,Non,,11 m,Nouveau,27 m²,22 m²,Non,23 m²,Super équipée,12 m²,,Sud-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,19 m²,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72923,RBT72923,Appartement à vendre,420000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,3,95 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,3,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,25 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,6 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72922,RBT72922,Appartement à vendre,386000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,3,99 m²,Oui,,,,,,,Oui,1,1,2,Oui,Oui,1,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,23 m²,14 m²,Non,,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,10 m²,9 m²,,,,,,,Oui,Oui,,,,5 m²,,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/9000/gand/rbt72921,RBT72921,Appartement à vendre,395000,Raymonde de Larochelaan 1,9000 Gand,Non,2025,3,96 m²,Oui,,,,,,,Oui,1,2,2,Oui,Oui,0,3,1,Oui,Sud,Oui,,Oui,Oui,Non,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,Air pulsé,Double vitrage,,,Non,2,,,10 m,,,,Non,,10 m,Nouveau,26 m²,12 m²,Non,23 m²,Super équipée,5 m²,,Nord-ouest,Oui,25 kWh/an,,,Oui,,,,,,9 m²,9 m²,,,,,,,Oui,Oui,,,,7 m²,,Nord-est,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/7712/herseaux/vbc91844,VBC91844,Immeuble mixte à vendre,349000,,7712 Herseaux,Non,,3,187 m²,,Oui,,,,,,Oui,1,2,1,,Non,,,,,,Oui,,,,Non,"non, pas d'attestation",,Information non communiquée,Information non communiquée,A l’acte,Gaz,Double vitrage,,Oui,,2,195 m²,,,,250 kWh/m²/an,,Non,,,Normal,60 m²,25 m²,Non,56 m²,Equipée,,2,,,46744 kWh/an,10/03/2035,,Oui,,,,,,18 m²,18 m²,,Américaine,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7730/evregnies/vbc91843,VBC91843,Maison à vendre,249000,,7730 Évregnies,Non,,3,207 m²,,Oui,,Oui,,,,,,1,1,,Non,,,,Oui,,Oui,,,,Non,"oui, attestation conforme",,Information non communiquée,Information non communiquée,A l’acte,Gaz,Double vitrage,,,,3,320 m²,,,,237 kWh/m²/an,,Non,,,Normal,30 m²,13 m²,Non,25 m²,Equipée,15 m²,1,,,48872 kWh/an,24/07/2024,,,,,,,,13 m²,9 m²,,Américaine,30 m²,,125 m²,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7730/estaimbourg/vbc91842,VBC91842,Maison à vendre,359000,,7730 Estaimbourg,Non,,3,196 m²,,Oui,,,,,,Oui,1,1,1,,Non,,,2,Oui,,Oui,,,,Non,"non, pas d'attestation",,Information non communiquée,Information non communiquée,A l’acte,Gaz,Double vitrage,,,,4,1334 m²,,,,252 kWh/m²/an,,,,,À rénover,40 m²,12 m²,Non,39 m²,Equipée,18 m²,1,,,49298 kWh/an,16/06/2035,,,,,,,,14 m²,18 m²,,Américaine,,,980 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
