ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Possibilités_pour_profession_libérale,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Surface_du_séjour,Surface_du_bureau,Caves,Grenier,Surface_du_grenier,Véranda,Buanderie,Local_vélo,Garage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Station_de_charge_électrique,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Adoucisseur_deau,Nombre_de_salles_de_bain,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,Ascenseur,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Meublé,Nombre_de_Garages,Nombre_de_douches,Nombre_de_toilettes,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Salle_à_manger,Dressing,Orientation_de_la_façade_du_bien,Surface_chambre_à_coucher_3,Orientation_du_jardin,Orientation_de_la_terrasse,Surface_chambre_à_coucher_4,Surface_salle_à_manger,Nombre_détages_de_limmeuble,Attestation__Installation_électrique__Validité,Surface_du_dressing,Surface_des_caves,Surface_constructible,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Balcon,Attestation__Asbuilt,Profondeur_du_terrain,Étage_de_lappartement,Niveau_E,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_de_la_véranda,Surface_totale,Espace_ouvert_sensible_à_leau__WORG,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Surface_chambre_à_coucher_5,Appartement_de_service
https://immovlan.be/fr/detail/villa/a-vendre/7890/ellezelles/vbc86792,VBC86792,Villa à vendre,349000,Haizette 16,7890 Ellezelles,Remis à neuf,,,,,2,,,113 m²,,,Oui,Non,,Non,,,Oui,,,,,,,,1,,,,Mazout,,,Double vitrage,,,,,,,Non,,,,Non,,,Oui,,Oui,,800 m²,,,,,,336 kWh/m²/an,37826 kWh/an,20241020005795,20/10/2034,83,pas d'application,,,Non,,Pas de risque d’inondation,Information non communiquée,Non,,1,,,,,,,Nord,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7890/ellezelles/vbc73952,VBC73952,Maison à vendre,85000,Rue Cinquant 50,7890 Ellezelles,À rénover,,Non,,A l’acte,2,,,129 m²,,,Non,Oui,,Non,Non,Non,Oui,1,,,,,,,1,,,Non,Mazout,,,Double vitrage,,,,,,,,,,,,3,,,,,,210 m²,Oui,,,,,727 kWh/m²/an,,20250512010957,,,"non, pas d'attestation","non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,,,,1,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7890/ellezelles/rbt47161,RBT47161,Villa à vendre,575000,Rue Cinquant 28,7890 Ellezelles,Normal,,Non,1976,A l’acte,4,,,335 m²,38 m²,17 m²,Non,Non,,Non,Non,Non,Oui,,,,,,,,3,,,,Mazout,,,,,,,,,,Non,,,,,,6,Oui,3645 m²,Oui,35 m²,3849 m²,,,,,,185 kWh/m²/an,,20240614023050,14/06/2034,,"oui, attestation conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,,Non,2,,2,,,Non,Non,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7890/ellezelles/vbc82949,VBC82949,Villa à vendre,199000,Rue Arbre Saint-Pierre 27,7890 Ellezelles,À rénover,,,,,2,,,109 m²,,,Non,Oui,,Non,,,,,,,,,,,1,,,,Mazout,,,Double vitrage,,,,,,,Non,,,,Non,,,Oui,,,,600 m²,,,,,,695 kWh/m²/an,75535 kWh/an,20250416,16/04/2035,172,pas d'application,,,Non,,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,,,Nord,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7890/ellezelles/rbt34733,RBT34733,Maison à vendre,420000,Rue d'Audenarde 55,7890 Ellezelles,Normal,,,1918,,5,14 m²,21 m²,430 m²,15 m²,,Oui,Oui,,Oui,,,Oui,4,,,Super équipée,,12 m²,,2,,,,Mazout,,,Double vitrage,,,,,,,Non,,,,Non,2,,Oui,390 m²,Oui,160 m²,980 m²,Oui,,Oui,Oui,Non,306 kWh/m²/an,,,,,"oui, attestation non conforme",,,,,Information non communiquée,Information non communiquée,,Non,1,2,2,13 m,13 m,Oui,,Ouest,20 m²,,Est,15 m²,24 m²,2,,,,,,,,,,,,,,,,,,,,,,,8 m²,
https://immovlan.be/fr/detail/villa/a-vendre/7890/ellezelles/rbt28275,RBT28275,Villa à vendre,895000,,7890 Ellezelles,Excellent,,,2024,,6,36 m²,20 m²,320 m²,36 m²,,,Oui,,,,,,,,,Super équipée,,40 m²,,4,,,Oui,Air pulsé,,Oui,Double vitrage,,,,,,,Non,,,,,4,,Oui,,Oui,,3030 m²,,,,,Non,,,,,,"oui, attestation conforme",,Oui,,,Pas de risque d’inondation,Information non communiquée,,,,4,4,,,,,,16 m²,,,16 m²,,2,,,,,,,,,,,,,,,,,,,,,,,12 m²,
https://immovlan.be/fr/detail/maison/a-vendre/7890/ellezelles/vbc63729,VBC63729,Maison à vendre,369000,Rue Docteur André 135,7890 Ellezelles,Normal,,,2003,,4,,,170 m²,,,,,,,,,Oui,,,,Semi-équipée,,,,1,,,,Electrique,,,,,,,,,,Non,,,,,4,,Oui,1283 m²,Non,,1400 m²,,,Oui,,,415 kWh/m²/an,64265 kWh/an,20241122003711,22/11/2034,,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,Non,,,1,10 m,,,,,,,,,,,,,,117 m²,,,,,,100 m,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7890/ellezelles/rbs94282,RBS94282,Maison à vendre,475000,Rue Beaufaux 6,7890 Ellezelles,Excellent,,,,,5,,,268 m²,,,,,,,,,Oui,,,,Super équipée,,,,1,,,Oui,Mazout,,,Double vitrage,,Oui,,,,,,,,,,4,,Oui,,Oui,,2645 m²,,,,,,186 kWh/m²/an,,,,12806,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7890/ellezelles/vbc49645,VBC49645,Maison à vendre,350000,Rue Beaufaux 20,7890 Ellezelles,,,,,,2,11 m²,14 m²,,27 m²,,,Oui,,,Oui,,Oui,,16 m²,,,,,,1,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,338 kWh/m²/an,,20220121003983,,,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/7910/anvaing/rbt64182,RBT64182,Fermette à vendre,,,7910 Anvaing,Excellent,,,,,7,,,1500 m²,,,,Oui,,,,,Oui,,,Oui,Equipée,Américaine,,,4,,,Oui,Mazout,,,Double vitrage,,,,Oui,,,Non,,,,,4,,Oui,150000 m²,Oui,,20000 m²,,Oui,Oui,Oui,Oui,167 kWh/m²/an,,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,10,4,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
