ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Surface_constructible,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Disponibilité_du_bien,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Raccordé_au_gaz_de_ville,Etat_du_bien,Nombre_de_Garages,Largeur_de_la_façade,Jardin,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Maison_basse_énergie,Panneaux_solaires,Type_de_vitrage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Station_de_charge_électrique,Pompe_à_chaleur,Air_conditionné,Surface_du_jardin,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_aux_égouts,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Nombre_de_places_de_parking_extérieur,Profondeur_du_terrain,Piscine_extérieure,Orientation_du_jardin,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_salle_à_manger,Adoucisseur_deau,Alarme_antieffraction,Possibilités_pour_profession_libérale,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_totale,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Chauffage_au_sol,Compteur_Bihoraire,Panneaux_solaires_thermiques,Feu_ouvert,Attestation__Citernes_à_mazout,Appartement_de_service,Attestation__Asbuilt
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc76464,VBC76464,Appartement à vendre,275000,Rue edmond de selys longchamps 1 4,4300 Waremme,,2011,2,98 m²,,33 m²,Oui,,,,,,,,,1,Mazout,Oui,,,2,3,Oui,,,Oui,133 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,,1,,Normal,,,Oui,,,,,,Double vitrage,,,,,,,12 m²,13 m²,,12 m²,,,Oui,,Oui,14735 kWh/an,,,,,7 m²,,1,,Non,Nord-est,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/4300/waremme/vbc74823,VBC74823,Bungalow à vendre,350000,Rue des prés 146A A,4300 Waremme,,,5,384 m²,,,,,,,,,,,,2,Mazout,Non,,,4,,Oui,83 m²,,,300 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,,1,,Normal,,37 m,Oui,1895 m²,37 m,,,,Double vitrage,,,,,,1415 m²,19 m²,13 m²,,11 m²,,,Oui,,,70025 kWh/an,,,,,,,,44 m,Non,,15 m²,17 m²,17 m²,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc67579,VBC67579,Maison à vendre,287000,Avenue Henri Monjoie 9,4300 Waremme,,1932,5,176 m²,Non,26 m²,,Oui,,,,,,,,2,Mazout,Non,,Nord-est,2,2,Oui,27 m²,80 m²,Oui,412 kWh/m²/an,"oui, attestation non conforme",Information non communiquée,Information non communiquée,A l’acte,20180914016443,14/09/2028,102,,1,,,,7 m,Oui,313 m²,,,,,,,,,,,214 m²,,,,,,,,,,72535 kWh/an,,,,,,,,43 m,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc49593,VBC49593,Maison à vendre,305000,Rue Ernest Malvoz 52,4300 Waremme,Non,1950,4,219 m²,Non,31 m²,Non,Non,Non,Non,Non,Non,Non,Oui,,3,Mazout,Non,,Est,2,2,Oui,40 m²,104 m²,Oui,334 kWh/m²/an,"non, pas d'attestation",Information non communiquée,Information non communiquée,A l’acte,20250306027164,,,,2,,,3,10 m,Oui,500 m²,,,,,,,,,,,278 m²,,,,,,,,,,,,,,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc67019,VBC67019,Maison à vendre,849000,Brouwerijstraat 10,4300 Waremme,Non,1874,5,361 m²,Non,34 m²,Oui,Oui,,Oui,,,,Oui,,,,Non,,Nord,4,2,Oui,50 m²,,Oui,334 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,2,,Excellent,2,,Oui,662 m²,,,,Oui,Double vitrage,,,Oui,,,206 m²,20 m²,18 m²,,14 m²,13 m²,Oui,Non,Sud,,,Non,Non,Non,,,,3,,Non,Sud,45 m²,33 m²,26 m²,20 m²,Oui,Oui,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc64547,VBC64547,Maison à vendre,315000,Allée du Long Pré 13,4300 Waremme,Non,1981,3,162 m²,,,Non,Oui,Non,Non,Non,Non,Non,Oui,,2,,,,,3,1,,,,,240 kWh/m²/an,,Information non communiquée,Information non communiquée,A l’acte,20250408015316,,,Equipée,1,,Excellent,,,Oui,538 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc62436,VBC62436,Appartement à vendre,235000,Rue des Fabriques 17 RDC,4300 Waremme,Non,,2,104 m²,Non,30 m²,,,,,,,,Oui,1,1,Gaz,Oui,0,,2,6,Oui,4 m²,,Oui,247 kWh/m²/an,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,A l’acte,,31/10/2034,45,Equipée,1,Oui,Normal,1,,,,,,,,,1,,,,,,13 m²,10 m²,Américaine,13 m²,7 m²,Oui,Oui,Sud,Oui,25713 kWh/an,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc61908,VBC61908,Maison à vendre,169000,Rue Hubert Stiernet 11,4300 Waremme,Non,1918,1,81 m²,Non,16 m²,Oui,Oui,,,,,,Oui,1,1,,Non,,Nord,2,1,Oui,35 m²,,Oui,464 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,A l’acte,,31/03/2035,9,Equipée,1,,Remis à neuf,1,,,121 m²,,,,,Double vitrage,,,,,,,13 m²,,Américaine,10 m²,,,Non,Nord,Oui,37589 kWh/an,,,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/bungalow/a-vendre/4300/waremme/vbc57501,VBC57501,Bungalow à vendre,299000,Avenue Joseph Lemaire 49,4300 Waremme,,1992,2,136 m²,Non,31 m²,,Oui,,,,,,Oui,1,2,,Non,,Nord-ouest,4,,Oui,13 m²,155 m²,Oui,306 kWh/m²/an,"oui, attestation conforme",Risque moyen,Information non communiquée,,20201216007747,16/12/2030,82,,,,,1,8 m,Oui,750 m²,,,,,,,,,,,350 m²,,,,,,,,,,41646 kWh/an,,,,,,,3,50 m,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc56448,VBC56448,Maison à vendre,250000,Rue du Pont 27,4300 Waremme,,,3,159 m²,Non,33 m²,,Oui,,,,,,Oui,,,,Non,,Sud-est,2,3,Oui,29 m²,68 m²,Oui,99 kWh/m²/an,"oui, attestation conforme",Risque élevé,Information non communiquée,A l’acte,,31/03/2035,15,,1,Oui,,2,7 m,Oui,282 m²,,,,,,,,,,,185 m²,,,,,,,,,,15762 kWh/an,,,,6 m²,,,,25 m,,,,,,,,,,,,,,,,,,,,,,,
