ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Grenier,Garage,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Type_de_chauffage,Chauffage_au_sol,Pompe_à_chaleur,Type_de_vitrage,Compteur_Bihoraire,Parlophone,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Niveau_E,Attestation__Installation_électrique,Permis_durbanisation_accordé,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Caves,Salle_à_manger,Surface_salle_à_manger,Nombre_de_Garages,Surface_de_la_cuisine,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Meublé,Surface_du_séjour,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Véranda,Alarme_antieffraction,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Orientation_du_jardin,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_de_la_terrasse,Air_conditionné,Dressing,Buanderie,Local_vélo,Étage_de_lappartement,Référence_PEB,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Surface_du_dressing,Surface_du_garage,Adoucisseur_deau,Possibilités_pour_profession_libérale,Surface_constructible,Surface_totale,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Porte_de_garage_motorisée,Balcon,Attestation__Installation_électrique__Validité,Station_de_charge_électrique,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Appartement_de_service
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-le-grand/vbc88487,VBC88487,Appartement à vendre,334800,Rue de la Station 1 09,1350 Orp-le-Grand,Nouveau,,2024,Immédiatement,2,134 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,14 m²,12 m²,,,,,,,,,1,1,,,,2,251 m²,Oui,,,,101 kWh/m²/an,11272 kWh/an,Non,47 m²,10 m²,,,,,Non,,Non,Ouest,Non,11/04/2034,,Oui,Non,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-le-grand/vbc88486,VBC88486,Appartement à vendre,299800,Rue de la Station 1 09,1350 Orp-le-Grand,Nouveau,,2024,Immédiatement,2,113 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,14 m²,12 m²,,,,,,,,,1,1,,,,2,251 m²,Oui,,,,101 kWh/m²/an,11272 kWh/an,Non,47 m²,10 m²,,,,,Non,,Non,Ouest,Non,11/04/2034,,Oui,Non,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/orp-le-grand/vbc88485,VBC88485,Maison à vendre,474800,Rue de la Station 1 02,1350 Orp-le-Grand,Nouveau,Non,2024,Immédiatement,4,309 m²,,,,Super équipée,,2,,,Gaz,,,Double vitrage,,Oui,3,2,Oui,500 m²,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Information non communiquée,Information non communiquée,24 m²,24 m²,24 m²,15 m²,,,,,,,1,2,,,,2,298 m²,Oui,,,,79 kWh/m²/an,20463 kWh/an,Non,52 m²,14 m²,,,,,Non,,Non,,Non,11/04/2034,25,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/orp-jauche/vbc87938,VBC87938,Maison à vendre,456500,,1350 Orp-Jauche,Nouveau,,2023,,3,174 m²,,,,Super équipée,,1,,,Air pulsé,,Oui,Double vitrage,,,3,,Oui,640 m²,,,,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,16 m²,13 m²,13 m²,,,,,,,21 m²,1,2,,,,1,640 m²,,,,,21 kWh/m²/an,21 kWh/an,,27 m²,,,,,,Non,,Non,,Non,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-jauche/vbc87638,VBC87638,Appartement à vendre,299800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,2,113 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,18 m²,11 m²,,,,,,,,,,1,,Est,,3,65 m²,Oui,,,,109 kWh/m²/an,12315 kWh/an,Non,40 m²,,,,,,Non,,Non,,Non,11/04/2034,,,,Ouest,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/1350/orp-jauche/vbc87637,VBC87637,Maison à vendre,474800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,3,309 m²,,,,Super équipée,,2,,,,,,Double vitrage,,Oui,4,2,Oui,3250 m²,Oui,Oui,Oui,,,"oui, attestation conforme",Oui,Pas de risque d’inondation,Information non communiquée,24 m²,24 m²,24 m²,,,,,,,,1,2,,Est,18 m,2,298 m²,,,,18 m,79 kWh/m²/an,20463 kWh/an,Non,52 m²,,,,,,Non,,Non,,Non,11/04/2034,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-jauche/vbc87635,VBC87635,Appartement à vendre,334800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,2,134 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,14 m²,12 m²,,,,,,,,,,1,,Est,,3,347 m²,,,,,103 kWh/m²/an,13557 kWh/an,Non,60 m²,,,,,,Non,,Non,,Non,11/04/2034,,Oui,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-jauche/vbc87636,VBC87636,Appartement à vendre,334800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,2,134 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Non,Pas de risque d’inondation,Information non communiquée,14 m²,12 m²,,,,,,,,,,1,,Est,,3,347 m²,,,,,103 kWh/m²/an,13557 kWh/an,Non,60 m²,,,,,,Non,,Non,,Non,11/04/2034,,Oui,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/1350/orp-jauche/vbc87634,VBC87634,Appartement à vendre,299800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,2,113 m²,,,,Super équipée,,1,,,Gaz,,,Double vitrage,,Oui,2,2,Oui,,Oui,Oui,Oui,,,"oui, attestation conforme",Oui,Pas de risque d’inondation,Information non communiquée,14 m²,12 m²,,,,,,,,,,1,,Est,,3,242 m²,Oui,,,,101 kWh/m²/an,11272 kWh/an,Non,47 m²,,,,,,Non,,Non,,Non,11/04/2034,,Oui,,Ouest,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/1350/orp-jauche/vbc87633,VBC87633,Duplex à vendre,339800,Rue de la Station 1,1350 Orp-Jauche,Nouveau,Non,2023,A l’acte,3,175 m²,,,,Super équipée,,2,,,Gaz,,,Double vitrage,,Oui,2,2,,,Oui,Oui,Oui,,,"oui, attestation conforme",Oui,Pas de risque d’inondation,Information non communiquée,21 m²,12 m²,21 m²,,,,,,,,1,2,,Est,,3,,Oui,11 m²,,,108 kWh/m²/an,14629 kWh/an,Non,40 m²,,,,,,Non,,Non,,Non,11/04/2034,,Oui,,Ouest,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
