ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Panneaux_solaires,Type_de_chauffage,Pompe_à_chaleur,Type_de_vitrage,Parlophone,Ascenseur,Feu_ouvert,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Orientation_de_la_façade_du_bien,Largeur_de_la_façade,Surface_constructible,Profondeur_du_terrain,Référence_PEB,Surface_de_la_terrasse,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_du_jardin,Alarme_antieffraction,Nombre_détages_de_limmeuble,Air_conditionné,Largeur_du_terrain_à_rue,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Adoucisseur_deau,Orientation_de_la_terrasse,Nombre_de_place_de_parking_intérieur,Surface_des_caves,Surface_du_grenier,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Compteur_Bihoraire,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Étage_de_lappartement,Surface_salle_à_manger,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Balcon,Panneaux_solaires_thermiques,Niveau_E,Niveau_K,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Porte_de_garage_motorisée,Clef_électronique,Attestation__Installation_électrique__Validité,Surface_du_bureau,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG,Possibilités_pour_profession_libérale,Surface_totale,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Niveau_S,Surface_de_la_véranda,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Surface_du_dressing
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc65233,VBC65233,Maison à vendre,515974,,7522 Blandain,Nouveau,,,4,,,,220 m²,,Oui,1,,,2,,2,,,,,,,,,4,,Oui,,,1200 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,13 m,,,,,,,,,,,,13 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc62599,VBC62599,Maison à vendre,365000,,7522 Blandain,,,A convenir,5,,,,302 m²,Non,Oui,1,,,1,,,,Mazout,,,,Non,,,4,3,Oui,,Oui,1360 m²,,,,,290 kWh/m²/an,87420 kWh/an,,,pas d'application,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,20241028013952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc47460,VBC47460,Maison à vendre,279000,,7522 Blandain,Normal,,A l’acte,2,,,,140 m²,,,,Equipée,Américaine,1,1,1,,Mazout,,Double vitrage,,Non,,,4,,Oui,900 m²,Oui,1026 m²,,,,Non,367 kWh/m²/an,51294 kWh/an,02/01/2032,,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,38 m²,,Oui,,,,,,,,,,,,,15 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vbc32178,VBC32178,Maison à vendre,,,7522 Blandain,Excellent,2004,A l’acte,5,14 m²,20 m²,15 m²,494 m²,Non,Oui,2,Super équipée,,4,4,3,,Mazout,,Double vitrage,Oui,Non,Oui,Non,4,,Oui,2063 m²,Oui,2063 m²,Non,Oui,Oui,Oui,167 kWh/m²/an,81505 kWh/an,20/08/2034,41,"oui, attestation conforme",Oui,,Non,Information non communiquée,Information non communiquée,,,Oui,Oui,,,,,,,,,,,,,,,Sud-est,Oui,,,,17 m²,20 m²,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7522/blandain/vba94026,VBA94026,Villa à vendre,699000,,7522 Blandain,Normal,2007,,3,,,,270 m²,Non,Oui,2,Super équipée,,2,,,Oui,Non specifié,,,,Non,,,4,2,Oui,,Oui,4000 m²,,,,Oui,173 kWh/m²/an,,,,pas d'application,Oui,Non,Non,Information non communiquée,Information non communiquée,,70 m²,,,,,,,,,,,,20240221005266,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7522/blandain/vax17578,VAX17578,Maison à vendre,515000,,7522 Blandain,,,,5,,,,,Non,Oui,4,Super équipée,,2,,2,Oui,Gaz,,,,Non,,,3,,Oui,,Oui,1608 m²,,,,,261 kWh/m²/an,,,,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,Non,,,,,20201118007759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7531/havinnes/vbc89604,VBC89604,Villa à vendre,239000,,7531 Havinnes,À rénover,1970,A l’acte,3,9 m²,8 m²,9 m²,90 m²,,Oui,1,Equipée,Américaine,1,4,1,,,,Double vitrage,,Non,Oui,Oui,4,1,Oui,650 m²,Oui,834 m²,Oui,Oui,,Non,723 kWh/m²/an,66050 kWh/an,17/07/2019,,"non, pas d'attestation",,,,Information non communiquée,Information non communiquée,,22 m²,,Oui,Oui,,,,,,,,,,,,13 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7531/havinnes/vbc76057,VBC76057,Maison à vendre,189000,Rue du Roi Chevalier 1,7531 Havinnes,Normal,,,3,14 m²,13 m²,12 m²,140 m²,Non,,,,,1,1,1,,Mazout,,Double vitrage,,Non,,,3,1,Oui,,Oui,,Oui,Oui,,,451 kWh/m²/an,,16/05/2035,,,,,,Information non communiquée,Information non communiquée,,34 m²,,Oui,,,,,,,,,,,,,13 m²,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7531/havinnes/vbc70717,VBC70717,Maison à vendre,376284,,7531 Havinnes,Nouveau,,,3,,,,158 m²,,Oui,1,,,1,,2,,,,,,,,,4,,Oui,,,1117 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,11 m,,,,,,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7531/havinnes/vbc66792,VBC66792,Maison à vendre,436087,,7531 Havinnes,Nouveau,,,3,,,,184 m²,,Oui,1,,,1,,2,,,,,,,,,4,,,,,1242 m²,,,Oui,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,12 m,,,,,,,,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
