ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Affectation_urbanistique_la_plus_récente,Type_de_zone_inondable,Zone_inondable_délimitée,Panneaux_solaires,Orientation_de_la_façade_du_bien,Nombre_de_places_de_parking_extérieur,Piscine_extérieure,Étage_de_lappartement,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_constructible,Date_de_validité_PEB,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Type_de_cuisine,Surface_de_la_cuisine,Type_de_vitrage,Orientation_de_la_terrasse,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Nombre_de_place_de_parking_intérieur,Espace_ouvert_sensible_à_leau__WORG,Nombre_détages_de_limmeuble,Surface_de_la_terrasse,Surface_du_jardin,Profondeur_du_terrain,Surface_du_bureau,Emission_de_CO2,Air_conditionné,Alarme_antieffraction,Accessible_aux_moins_valides,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Conso_annuelle_totale_dénergie_primaire,Panneaux_solaires_thermiques,Surface_du_garage,Orientation_du_jardin,Pompe_à_chaleur,Surface_de_lades_salles_de_bain,Parlophone,Nombre_de_douches,Station_de_charge_électrique,Maison_basse_énergie,Attestation__Citernes_à_mazout,Chauffage_au_sol,Niveau_E,Niveau_K,Raccordé_aux_égouts,Appartement_de_service,Compteur_Bihoraire,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Surface_du_grenier,Surface_des_caves,Surface_de_la_véranda,Attestation__Installation_électrique__Validité,Adoucisseur_deau,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A__pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Compteur_électrique_individuel,Compteur_deau_individuel,Compteur_de_gaz_individuel,Surface_chambre_à_coucher_5
https://immovlan.be/fr/detail/appartement/a-vendre/2390/malle/rbt38077,RBT38077,Appartement à vendre,199900,Antwerpsesteenweg 215 6,2390 Malle,Normal,Non,1992,,1,50 m²,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,1,,Non,2,,Oui,,,,177 kWh/m²/an,20230727-0002952430-RES-1,"oui, attestation conforme",Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2390/malle/rbt38068,RBT38068,Appartement à vendre,199500,Zandstraat 5 5,2390 Malle,Normal,Non,2009,A l’acte,1,49 m²,Non,25 m²,Non,Oui,Non,Non,Non,Non,Non,,,,1,,,Non,2,,Oui,,,,220 kWh/m²/an,20240529-0003261797-RES-5,"oui, attestation conforme",Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Est,,,2,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/2390/malle/rbt38051,RBT38051,Rez-de-chaussée à vendre,259900,Hoogstraatsebaan 41 1,2390 Malle,Excellent,Non,,Immédiatement,1,79 m²,Non,28 m²,Non,Non,Non,Non,Non,Non,Non,,,,1,,,Non,3,Oui,Oui,,,,140 kWh/m²/an,20250120-0003506391-RES-1,"oui, attestation conforme",Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2390/malle/rbt36913,RBT36913,Maison à vendre,1800000,Hoogstraatsebaan 188,2390 Malle,,Non,1968,,4,483 m²,,,Non,Non,Non,Non,Non,Non,Non,,,,2,3,Air pulsé,Non,4,,,8125 m²,,,250 kWh/m²/an,20250402-0003567815-RES-2,,,,"Zone, info non disponible",Pas de risque d’inondation,Information non communiquée,,Est,,Non,,,,,,,,,,,,Double vitrage,,,,,,17 m,38 m,,,,4,,,,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2390/westmalle/rbt29815,RBT29815,Appartement à vendre,195000,Berckhovenstraat 56 B3,2390 Westmalle,Normal,,1972,A convenir,1,67 m²,Non,,,,,,,,,Oui,1,Super équipée,1,1,Gaz,Non,,Oui,Non,,,,167 kWh/m²/an,20191011-0002205588-RES-1,"oui, attestation non conforme",,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Nord-est,,,0,Oui,,204 m²,11/10/2029,,,,,,,,,,,,,,,,,,,,350 m²,41 m,,2260,,,,,,11264 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/2390/westmalle/rbt08237,RBT08237,Appartement à vendre,169900,Berckhovenstraat 56 1,2390 Westmalle,Normal,,1972,A convenir,1,66 m²,Non,,,,,,,,,Oui,1,Super équipée,1,1,Gaz,Non,,Oui,Non,,,,166 kWh/m²/an,20230623-0002927189-RES-1,"oui, attestation non conforme",,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Nord-est,,,0,Oui,,204 m²,23/06/2034,,,,,,,,,,,,,,,,,,,,350 m²,41 m,,2206,,,,,,11000 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2390/malle/rbr58810,RBR58810,Maison à vendre,340000,Sint Lenaartsebaan 36,2390 Malle,,,1950,Immédiatement,4,122 m²,,,,,,,,,,Oui,,Equipée,1,1,Gaz,,4,Oui,Oui,515 m²,,,725 kWh/m²/an,20240712-0003311669-RES-1,,Non,,,Risque moyen,Information non communiquée,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2390/malle/vbc58284,VBC58284,Maison à vendre,463261,,2390 Malle,Nouveau,,,,3,132 m²,,,,,,,,,,,,,1,2,,,3,,,443 m²,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,7 m,7 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2390/malle/rbs88497,RBS88497,Maison à vendre,455000,Elzenlaan 5,2390 Malle,,Non,1975,A l’acte,4,236 m²,,,Non,Non,Non,Non,Non,Non,Non,Oui,1,,1,2,,Non,2,Oui,Oui,4057 m²,,,0 kWh/m²/an,20230816-0002965169-RES-1,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Pas de risque d’inondation,Information non communiquée,,Nord-est,,Non,,,,,,,,,,,,,,,,,,14 m,27 m,,,,2,,,153 m,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/2390/malle/rbs38386,RBS38386,Maison à vendre,595000,Hoogstraatsebaan 211,2390 Malle,Normal,,1966,A convenir,3,150 m²,Non,,,,,,,,,Oui,,Super équipée,1,2,Gaz,Non,3,Oui,Oui,1603 m²,Oui,Oui,320 kWh/m²/an,20201029-0002333086-res-1,"oui, attestation conforme",,,,Pas de risque d’inondation,Information non communiquée,,Ouest,5,,,,,,29/10/2030,,,,,,,,,,,,,,,,,,,,1440 m²,136 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
